horizon,fold,rmse,mae,best_iter,secs
osi_target_t01h,0,0.0185391936150042,0.0049803331606720165,425,23.7
osi_target_t01h,1,0.008237682506448185,0.0033093666753943995,43,9.9
osi_target_t01h,2,0.007984885301976143,0.003613562429531194,44,5.0
osi_target_t01h,3,0.013389786799474503,0.0043876016736113825,315,5.5
osi_target_t01h,4,0.010562247243659579,0.003606594243358569,759,7.5
osi_target_t06h,0,0.015757783595584388,0.004511562472598821,340,4.2
osi_target_t06h,1,0.007998549779627488,0.003018341026974627,61,2.6
osi_target_t06h,2,0.007779738627073779,0.0032729231854658355,109,2.5
osi_target_t06h,3,0.01127837273006718,0.003969658568453625,375,6.2
osi_target_t06h,4,0.010010795692200205,0.0036197892271211236,402,8.3
osi_target_t24h,0,0.009294487655690223,0.003408740083382693,181,3.2
osi_target_t24h,1,0.0073539757709056965,0.0023212294288999557,59,1.9
osi_target_t24h,2,0.006062988877451071,0.002479965732794076,299,7.0
osi_target_t24h,3,0.010080371243863032,0.003859317487170584,705,9.0
osi_target_t24h,4,0.00788698380326437,0.003315689731370438,551,6.7
osi_target_t48h,0,0.006020896554722926,0.002364704321339269,154,2.5
osi_target_t48h,1,0.006266258445781189,0.002141769277855735,13,0.9
osi_target_t48h,2,0.004741011445319063,0.0019001866233652397,125,2.5
osi_target_t48h,3,0.00898440293372308,0.003358442160896706,474,10.9
osi_target_t48h,4,0.009143836570975327,0.003294032660172937,371,4.9
