alpha,rmse,mae,joint,horizon,fold
0.0,0.007096435899552266,0.002969995276205419,0.010066431175757685,osi_target_t01h,0
0.05,0.007085022047727353,0.0029615686327630207,0.010046590680490373,osi_target_t01h,0
0.1,0.007073789389087697,0.0029537204732043303,0.010027509862292028,osi_target_t01h,0
0.2,0.007051856154152402,0.002939681773447847,0.009991537927600248,osi_target_t01h,0
0.35,0.007020301179999095,0.002922019867650544,0.009942321047649638,osi_target_t01h,0
0.5,0.006990247699241996,0.002906753849188402,0.009897001548430397,osi_target_t01h,0
0.75,0.0069436132005238635,0.0028854285210382566,0.00982904172156212,osi_target_t01h,0
1.0,0.0069011607146412515,0.0028690097409642488,0.0097701704556055,osi_target_t01h,0
0.0,0.011182534992739059,0.003942282961685459,0.015124817954424517,osi_target_t01h,1
0.05,0.0111906762651798,0.003932919207722286,0.015123595472902086,osi_target_t01h,1
0.1,0.011199060870194332,0.003924598240055568,0.0151236591102499,osi_target_t01h,1
0.2,0.011216535945113038,0.003910489890192447,0.015127025835305485,osi_target_t01h,1
0.35,0.011244393849383139,0.0038958361658668196,0.015140230015249959,osi_target_t01h,1
0.5,0.01127412292129859,0.003888121772908409,0.015162244694207,osi_target_t01h,1
0.75,0.01132756462930565,0.0038856550137782012,0.01521321964308385,osi_target_t01h,1
1.0,0.011385731055035491,0.003893619343165399,0.01527935039820089,osi_target_t01h,1
0.0,0.012886249152197752,0.004127354248043882,0.017013603400241634,osi_target_t01h,2
0.05,0.012895574593110864,0.004155933728751881,0.017051508321862745,osi_target_t01h,2
0.1,0.012909961608901288,0.004192380287157587,0.017102341896058873,osi_target_t01h,2
0.2,0.01295382517239735,0.0042710602108725305,0.01722488538326988,osi_target_t01h,2
0.35,0.013056915742009467,0.004393131907916772,0.017450047649926238,osi_target_t01h,2
0.5,0.013203773065931092,0.004518858833005089,0.01772263189893618,osi_target_t01h,2
0.75,0.013541694171439514,0.004734832900697912,0.018276527072137425,osi_target_t01h,2
1.0,0.013988171753477231,0.004956289100241515,0.018944460853718745,osi_target_t01h,2
0.0,0.017242506520742804,0.004685097315218005,0.02192760383596081,osi_target_t01h,3
0.05,0.01724203614997687,0.004666466620150183,0.021908502770127052,osi_target_t01h,3
0.1,0.01724181991111998,0.004648354742872855,0.021890174653992834,osi_target_t01h,3
0.2,0.01724214301730476,0.004615713875654699,0.02185785689295946,osi_target_t01h,3
0.35,0.017244340908362486,0.004574955182092627,0.021819296090455114,osi_target_t01h,3
0.5,0.017248409848051673,0.004541410431503443,0.021789820279555117,osi_target_t01h,3
0.75,0.017259032294337583,0.004499415493485032,0.021758447787822613,osi_target_t01h,3
1.0,0.017273418908481487,0.00446566573874366,0.021739084647225147,osi_target_t01h,3
0.0,0.011377304142811278,0.0033159856333858525,0.014693289776197131,osi_target_t01h,4
0.05,0.011379805182284888,0.003316669480650586,0.014696474662935475,osi_target_t01h,4
0.1,0.011382361029712242,0.003317558926298255,0.014699919956010497,osi_target_t01h,4
0.2,0.011387626514224503,0.003319843792599505,0.014707470306824007,osi_target_t01h,4
0.35,0.011395902655795029,0.00332482316267876,0.01472072581847379,osi_target_t01h,4
0.5,0.011404615583956145,0.003331363648220972,0.014735979232177118,osi_target_t01h,4
0.75,0.011420057379129144,0.0033450175435229025,0.014765074922652046,osi_target_t01h,4
1.0,0.011436644714344224,0.0033620912613809895,0.014798735975725213,osi_target_t01h,4
0.0,0.012400073962883994,0.0038075818322015407,0.016207655795085534,osi_target_t01h,global
0.05,0.01240248383241279,0.003806183468427196,0.016208667300839988,osi_target_t01h,global
0.1,0.012406100570898044,0.0038068318405865987,0.016212932411484644,osi_target_t01h,global
0.2,0.012416936076920213,0.003810943130387552,0.016227879207307765,osi_target_t01h,global
0.35,0.012442097816426197,0.0038218449605522935,0.016263942776978492,osi_target_t01h,global
0.5,0.012477800692351958,0.0038370890707060865,0.016314889763058043,osi_target_t01h,global
0.75,0.012560337411290139,0.003870004684800386,0.016430342096090525,osi_target_t01h,global
1.0,0.012670767250872877,0.0039094007929398895,0.016580168043812765,osi_target_t01h,global
0.0,0.006353158331792319,0.0026810884637529482,0.009034246795545268,osi_target_t06h,0
0.05,0.006344954145557426,0.0026769996816006854,0.009021953827158112,osi_target_t06h,0
0.1,0.006336916172313834,0.0026736985443689505,0.009010614716682784,osi_target_t06h,0
0.2,0.0063213268707971275,0.002667994810627156,0.008989321681424283,osi_target_t06h,0
0.35,0.006299162918925229,0.002661323697482477,0.008960486616407706,osi_target_t06h,0
0.5,0.006278352756607944,0.0026566664775816737,0.008935019234189618,osi_target_t06h,0
0.75,0.006246828744794042,0.002652499031292671,0.008899327776086713,osi_target_t06h,0
1.0,0.006219237284936201,0.0026516417259284026,0.008870879010864604,osi_target_t06h,0
0.0,0.010143276218291428,0.003705718189178845,0.013848994407470273,osi_target_t06h,1
0.05,0.010149256252357254,0.0037025660284620153,0.013851822280819269,osi_target_t06h,1
0.1,0.010155383011115323,0.0037002162047573384,0.013855599215872661,osi_target_t06h,1
0.2,0.010168071906166197,0.0036982433990663914,0.013866315305232588,osi_target_t06h,1
0.35,0.010188126270595024,0.003699606757089,0.013887733027684025,osi_target_t06h,1
0.5,0.01020930183091516,0.003704706087227025,0.013914007918142185,osi_target_t06h,1
0.75,0.01024696982011402,0.0037220849914331583,0.013969054811547178,osi_target_t06h,1
1.0,0.01028733864761911,0.003746598453358332,0.014033937100977441,osi_target_t06h,1
0.0,0.013720966116515798,0.0044692178750727705,0.018190183991588567,osi_target_t06h,2
0.05,0.01372280328115144,0.0044822249255565,0.01820502820670794,osi_target_t06h,2
0.1,0.013729879358795681,0.004506471210372507,0.01823635056916819,osi_target_t06h,2
0.2,0.013759656636876614,0.0045822185116782795,0.018341875148554895,osi_target_t06h,2
0.35,0.013843026410858768,0.004706036290366579,0.018549062701225347,osi_target_t06h,2
0.5,0.013972192261760935,0.004833871966552794,0.01880606422831373,osi_target_t06h,2
0.75,0.014285583116086471,0.005053660945458867,0.019339244061545337,osi_target_t06h,2
1.0,0.014714384689152106,0.0052807259459703715,0.01999511063512248,osi_target_t06h,2
0.0,0.013871512602335575,0.004238940147192013,0.01811045274952759,osi_target_t06h,3
0.05,0.013866262548990897,0.004221355243386113,0.01808761779237701,osi_target_t06h,3
0.1,0.013861222843877651,0.004204573008718548,0.018065795852596198,osi_target_t06h,3
0.2,0.0138517353981858,0.004172955437259053,0.018024690835444855,osi_target_t06h,3
0.35,0.013838972417487754,0.004129263785583311,0.017968236203071065,osi_target_t06h,3
0.5,0.013827920661030911,0.004093184317577401,0.017921104978608313,osi_target_t06h,3
0.75,0.013812956300507617,0.004044107367816813,0.01785706366832443,osi_target_t06h,3
1.0,0.013801974212487085,0.004004739629752331,0.017806713842239415,osi_target_t06h,3
0.0,0.009507878706212038,0.0031413070953964875,0.012649185801608525,osi_target_t06h,4
0.05,0.00951095250398177,0.0031413304585920726,0.012652282962573844,osi_target_t06h,4
0.1,0.009514067512711092,0.003141454382689437,0.01265552189540053,osi_target_t06h,4
0.2,0.009520450078911311,0.003142186925869552,0.012662637004780864,osi_target_t06h,4
0.35,0.009530379166141445,0.0031448060379357023,0.012675185204077146,osi_target_t06h,4
0.5,0.009540711707634741,0.0031490261933339006,0.012689737900968641,osi_target_t06h,4
0.75,0.009558823107642805,0.0031587232974019,0.012717546405044706,osi_target_t06h,4
1.0,0.009578076414249057,0.0031711756222999312,0.012749252036548989,osi_target_t06h,4
0.0,0.011088283938682797,0.003647009735561875,0.014735293674244672,osi_target_t06h,global
0.05,0.011088083777123604,0.0036446539672644876,0.014732737744388092,osi_target_t06h,global
0.1,0.011089294151833393,0.0036450528227563524,0.014734346974589745,osi_target_t06h,global
0.2,0.011095923502584452,0.0036525293416608965,0.01474845284424535,osi_target_t06h,global
0.35,0.011116330437694156,0.003668075935267156,0.014784406372961311,osi_target_t06h,global
0.5,0.011149210859074941,0.0036874189788362642,0.014836629837911206,osi_target_t06h,global
0.75,0.011231299638925177,0.0037262324075812993,0.014957532046506477,osi_target_t06h,global
1.0,0.011346654555012485,0.0037710782747175375,0.015117732829730023,osi_target_t06h,global
0.0,0.004515664475715293,0.0020766225371742866,0.006592287012889579,osi_target_t24h,0
0.05,0.004512676041764958,0.002075940871899969,0.006588616913664927,osi_target_t24h,0
0.1,0.004510023378814608,0.002076278987958727,0.006586302366773335,osi_target_t24h,0
0.2,0.004505721233590409,0.002078422564222041,0.00658414379781245,osi_target_t24h,0
0.35,0.004501749502215939,0.0020838822058243567,0.006585631708040296,osi_target_t24h,0
0.5,0.004500744130353362,0.0020917766727891586,0.0065925208031425205,osi_target_t24h,0
0.75,0.004505617059110803,0.0021075519103500584,0.006613168969460861,osi_target_t24h,0
1.0,0.004518588773882261,0.0021271336452220327,0.0066457224191042935,osi_target_t24h,0
0.0,0.008742806271347698,0.003615638623066729,0.012358444894414428,osi_target_t24h,1
0.05,0.0087399255862563,0.003570032518878924,0.012309958105135223,osi_target_t24h,1
0.1,0.008742654299668898,0.003525534567990053,0.012268188867658951,osi_target_t24h,1
0.2,0.00876490819630669,0.0034395887900473356,0.012204496986354025,osi_target_t24h,1
0.35,0.00883988330710518,0.003319239912093683,0.012159123219198863,osi_target_t24h,1
0.5,0.008963591738866508,0.003208615430989639,0.012172207169856147,osi_target_t24h,1
0.75,0.00927113287855698,0.003073848640859875,0.012344981519416855,osi_target_t24h,1
1.0,0.009687050314243018,0.0030367380318137276,0.012723788346056746,osi_target_t24h,1
0.0,0.013118497905957403,0.003951595166832197,0.0170700930727896,osi_target_t24h,2
0.05,0.013132053345679934,0.003980436105369318,0.01711248945104925,osi_target_t24h,2
0.1,0.013151058315628229,0.004013666932823839,0.017164725248452067,osi_target_t24h,2
0.2,0.01320567795257816,0.004086155765434522,0.017291833718012684,osi_target_t24h,2
0.35,0.013328783930589724,0.004200510566288866,0.017529294496878588,osi_target_t24h,2
0.5,0.013499960685522196,0.004318497612232192,0.01781845829775439,osi_target_t24h,2
0.75,0.013887033627450224,0.004521772332130254,0.018408805959580478,osi_target_t24h,2
1.0,0.01439228080732282,0.004732574367637413,0.019124855174960233,osi_target_t24h,2
0.0,0.005996399527439563,0.0029847135472963766,0.008981113074735939,osi_target_t24h,3
0.05,0.0059676791696375315,0.0029509338146328002,0.008918612984270331,osi_target_t24h,3
0.1,0.005940537478528641,0.002917484338518964,0.008858021817047606,osi_target_t24h,3
0.2,0.005891075961131909,0.002851705390816214,0.008742781351948123,osi_target_t24h,3
0.35,0.00582901770085409,0.0027642578101931253,0.008593275511047216,osi_target_t24h,3
0.5,0.005781192697088534,0.0026906989381930775,0.00847189163528161,osi_target_t24h,3
0.75,0.0057289857232890274,0.0026171588855101098,0.008346144608799138,osi_target_t24h,3
1.0,0.005707316389523573,0.002579393647119712,0.008286710036643285,osi_target_t24h,3
0.0,0.007569257443912915,0.002548844116547503,0.010118101560460419,osi_target_t24h,4
0.05,0.007571939475448237,0.0025494721060120764,0.010121411581460314,osi_target_t24h,4
0.1,0.007574690477116222,0.0025504125411575608,0.010125103018273782,osi_target_t24h,4
0.2,0.007580397462287343,0.0025534519344734834,0.010133849396760826,osi_target_t24h,4
0.35,0.0075894568447576055,0.0025599319253323295,0.010149388770089935,osi_target_t24h,4
0.5,0.007599065621303418,0.002567889121355938,0.010166954742659357,osi_target_t24h,4
0.75,0.007616201533437746,0.0025838764434250577,0.010200077976862804,osi_target_t24h,4
1.0,0.007634716449967739,0.0026025968373669405,0.01023731328733468,osi_target_t24h,4
0.0,0.008509872105922097,0.003033055367953781,0.011542927473875877,osi_target_t24h,global
