horizon,outer_fold,selection_type,allowed_folds,selected_alpha,alpha,n,rmse,mae,sse
osi_target_t01h,0,outer_train_inner_cv,"[1, 2, 3, 4]",0.35,0.0,27313,0.01226283825795964,0.0037473446164281205,4.107252522073818
osi_target_t01h,0,outer_train_inner_cv,"[1, 2, 3, 4]",0.35,0.05,27313,0.012194127746777817,0.0037271823360274887,4.0613543738488715
osi_target_t01h,0,outer_train_inner_cv,"[1, 2, 3, 4]",0.35,0.1,27313,0.012138353767715618,0.0037127417403351338,4.024287374011367
osi_target_t01h,0,outer_train_inner_cv,"[1, 2, 3, 4]",0.35,0.2,27313,0.012066400860141399,0.003695909521827498,3.976718985677385
osi_target_t01h,0,outer_train_inner_cv,"[1, 2, 3, 4]",0.35,0.35,27313,0.012061001154868058,0.0037072754222200696,3.973160624551142
osi_target_t01h,0,outer_train_inner_cv,"[1, 2, 3, 4]",0.35,0.5,27313,0.012176240544461878,0.0037554198310928615,4.049448153486462
osi_target_t01h,0,outer_train_inner_cv,"[1, 2, 3, 4]",0.35,0.75,27313,0.012608660993837444,0.0038894186839963543,4.342175183486984
osi_target_t01h,0,outer_train_inner_cv,"[1, 2, 3, 4]",0.35,1.0,27313,0.013306596965983922,0.004087054719191994,4.836190624649714
osi_target_t01h,1,outer_train_inner_cv,"[0, 2, 3, 4]",0.35,0.0,27456,0.011500569112815745,0.0033219238147995365,3.6314153968064966
osi_target_t01h,1,outer_train_inner_cv,"[0, 2, 3, 4]",0.35,0.05,27456,0.011420761863198965,0.0032958095146548307,3.581190454969667
osi_target_t01h,1,outer_train_inner_cv,"[0, 2, 3, 4]",0.35,0.1,27456,0.011353438522198672,0.0032758243420466723,3.5390939477107777
osi_target_t01h,1,outer_train_inner_cv,"[0, 2, 3, 4]",0.35,0.2,27456,0.011256341190918163,0.0032545397131629773,3.4788184381266456
osi_target_t01h,1,outer_train_inner_cv,"[0, 2, 3, 4]",0.35,0.35,27456,0.011204705450128444,0.003269605450543429,3.446975167497934
osi_target_t01h,1,outer_train_inner_cv,"[0, 2, 3, 4]",0.35,0.5,27456,0.011263717617458768,0.003331419933951342,3.4833793618400053
osi_target_t01h,1,outer_train_inner_cv,"[0, 2, 3, 4]",0.35,0.75,27456,0.011591516657395004,0.0034999084759957293,3.68907762314289
osi_target_t01h,1,outer_train_inner_cv,"[0, 2, 3, 4]",0.35,1.0,27456,0.012169291242748745,0.003710405873641947,4.066004324576698
osi_target_t01h,2,outer_train_inner_cv,"[0, 1, 3, 4]",0.2,0.0,27313,0.01084783022548443,0.003238142939070949,3.2140687628732993
osi_target_t01h,2,outer_train_inner_cv,"[0, 1, 3, 4]",0.2,0.05,27313,0.010801229307422418,0.003228157775722652,3.186513604465692
osi_target_t01h,2,outer_train_inner_cv,"[0, 1, 3, 4]",0.2,0.1,27313,0.010771501113458619,0.0032287153534033552,3.168997277347743
osi_target_t01h,2,outer_train_inner_cv,"[0, 1, 3, 4]",0.2,0.2,27313,0.010762293466157978,0.0032475943486383312,3.163581776280065
osi_target_t01h,2,outer_train_inner_cv,"[0, 1, 3, 4]",0.2,0.35,27313,0.010876636563688369,0.0033236455544747817,3.231161302120964
osi_target_t01h,2,outer_train_inner_cv,"[0, 1, 3, 4]",0.2,0.5,27313,0.011138496234155576,0.003451037231186953,3.388617344460192
osi_target_t01h,2,outer_train_inner_cv,"[0, 1, 3, 4]",0.2,0.75,27313,0.011867192563342082,0.0037443723448531635,3.846496873228917
osi_target_t01h,2,outer_train_inner_cv,"[0, 1, 3, 4]",0.2,1.0,27313,0.012896563877912479,0.00408268075046299,4.542735301776342
