fipsCode,stateAbbr,severity_tier,fold
18009,IN,4,0
18013,IN,4,1
18023,IN,3,3
18025,IN,4,2
18027,IN,0,2
18029,IN,1,1
18033,IN,2,1
18035,IN,3,1
18037,IN,0,3
18039,IN,1,4
18041,IN,3,2
18043,IN,1,4
18045,IN,2,3
18047,IN,2,4
18051,IN,0,1
18059,IN,0,3
18061,IN,2,3
18065,IN,3,3
18067,IN,1,2
18069,IN,3,0
18071,IN,0,0
18073,IN,1,2
18077,IN,2,2
18083,IN,0,2
18085,IN,4,3
18087,IN,0,2
18089,IN,2,4
18091,IN,3,0
18093,IN,3,1
18095,IN,2,0
18097,IN,0,1
18099,IN,4,3
18101,IN,2,4
18103,IN,4,0
18105,IN,2,3
18107,IN,1,1
18109,IN,1,2
18111,IN,4,2
18113,IN,1,1
18117,IN,4,4
18121,IN,4,1
18123,IN,0,3
18125,IN,1,0
18127,IN,4,2
18129,IN,0,4
18131,IN,4,4
18133,IN,1,4
18135,IN,4,0
18137,IN,2,0
18139,IN,2,2
18141,IN,3,4
18143,IN,2,2
18145,IN,3,4
18147,IN,0,0
18149,IN,4,3
18151,IN,4,1
18153,IN,1,3
18155,IN,0,4
18157,IN,0,1
18159,IN,2,0
18161,IN,0,0
18163,IN,0,4
18165,IN,4,4
18167,IN,1,3
18169,IN,3,3
18171,IN,1,0
18173,IN,1,3
18175,IN,3,4
18177,IN,2,1
18179,IN,3,0
18181,IN,3,2
18183,IN,3,1
39017,OH,0,1
39023,OH,2,1
39025,OH,0,1
39027,OH,0,0
39029,OH,3,2
39031,OH,4,2
39033,OH,3,4
39035,OH,3,4
39037,OH,2,0
39039,OH,2,1
39045,OH,2,2
39049,OH,3,1
39051,OH,2,2
39053,OH,0,4
39055,OH,4,0
39059,OH,4,0
39061,OH,0,2
39063,OH,1,0
39065,OH,1,3
39069,OH,1,0
39073,OH,2,2
39075,OH,4,3
39077,OH,3,1
39081,OH,4,4
39085,OH,1,2
39087,OH,0,3
39089,OH,4,1
39091,OH,3,3
39093,OH,2,3
39095,OH,1,1
39097,OH,2,4
39099,OH,0,0
39101,OH,2,0
39103,OH,2,4
39105,OH,0,1
39107,OH,4,3
39109,OH,1,1
39111,OH,3,2
39113,OH,1,4
39115,OH,3,2
39117,OH,4,4
39119,OH,4,1
39121,OH,3,1
39123,OH,0,0
39125,OH,4,1
39127,OH,4,0
39129,OH,0,2
39131,OH,1,3
39133,OH,3,0
39135,OH,1,0
39137,OH,3,0
39139,OH,4,2
39141,OH,0,3
39143,OH,1,4
39145,OH,0,3
39147,OH,1,4
39149,OH,4,3
39151,OH,2,4
39153,OH,2,0
39155,OH,1,1
39157,OH,4,2
39159,OH,3,3
39161,OH,3,3
39163,OH,1,2
39165,OH,0,2
39167,OH,0,4
39169,OH,3,4
39171,OH,2,3
39173,OH,2,1
39175,OH,1,2
42005,PA,4,3
42007,PA,4,0
42009,PA,4,0
42013,PA,1,0
42015,PA,1,4
42019,PA,4,1
42021,PA,3,2
42023,PA,3,2
42025,PA,1,1
42027,PA,1,0
42029,PA,3,1
42031,PA,4,4
42033,PA,4,2
42035,PA,1,3
42039,PA,3,1
42041,PA,1,3
42043,PA,0,0
42045,PA,0,2
42047,PA,3,4
42049,PA,3,0
42051,PA,2,4
42053,PA,4,3
42055,PA,0,1
42057,PA,1,4
42059,PA,3,3
42061,PA,1,2
42063,PA,4,2
42065,PA,3,0
42067,PA,0,4
42069,PA,0,2
42075,PA,2,1
42077,PA,2,4
42079,PA,0,1
42081,PA,0,0
42083,PA,2,2
42085,PA,3,4
42089,PA,2,1
42091,PA,1,1
42095,PA,2,0
42097,PA,0,3
42101,PA,0,0
42103,PA,2,0
42109,PA,2,2
42113,PA,1,2
42115,PA,2,3
42119,PA,0,4
42121,PA,4,1
42125,PA,4,4
42127,PA,2,3
42129,PA,4,3
42131,PA,3,3
42133,PA,0,3
54007,WV,4,4
54009,WV,4,0
54013,WV,4,2
54015,WV,4,2
54019,WV,2,2
54023,WV,2,4
54025,WV,0,0
54027,WV,0,4
54029,WV,4,4
54031,WV,1,4
54033,WV,1,4
54035,WV,3,0
54037,WV,1,1
54039,WV,2,3
54041,WV,3,4
54043,WV,3,2
54045,WV,2,4
54047,WV,3,3
54053,WV,0,1
54055,WV,1,0
54057,WV,0,0
54059,WV,3,1
54063,WV,0,2
54067,WV,2,3
54069,WV,4,3
54071,WV,2,0
54073,WV,3,2
54075,WV,0,4
54077,WV,1,0
54079,WV,0,2
54081,WV,0,1
54083,WV,2,0
54085,WV,4,3
54087,WV,4,0
54089,WV,1,1
54091,WV,4,1
54093,WV,1,2
54095,WV,3,4
54097,WV,1,3
54099,WV,3,1
54101,WV,2,1
54103,WV,3,3
54105,WV,2,2
54107,WV,0,3
54109,WV,1,3
