timestamp_et,fipsCode,countyName,stateName,stateAbbr,in_event_window,split,severity_tier,outageCount,customersTracked,outage_pct,P_t,N_t,D_t,R_t,osi,peak_pct,peak_customers,time_to_restore_h,event_duration_h,outage_pct_lag1h,osi_lag1h,outage_pct_lag3h,osi_lag3h,outage_pct_lag6h,osi_lag6h,outage_pct_lag24h,osi_lag24h,outage_pct_lag48h,osi_lag48h,osi_target_t01h,osi_target_t03h,osi_target_t06h,osi_target_t24h,osi_target_t48h,osi_delta_t01h,osi_delta_t03h,osi_delta_t06h,osi_delta_t24h,osi_delta_t48h,gust,wind_speed_10m,wind_dir_10m,t2m,d2m,sp,mslma,blh,tp,rain,csnow,sdwe,tcc,lcc,mcc,hcc,sdswrf,direct_rad,diffuse_rad,r2,vpd,et0,soil_moist
3/11/2026 0:00,18009,Blackford County,Indiana,IN,FALSE,TRAIN,4,0,6531,0,0,0,0,0,0,0.113054149,737,23,168,,,,,,,,,,,0,0,0,0,0.0001,0,0,0,0,0.0001,26.4,15.2,204.9791667,293.3868056,290.3088889,976.9,1008.2,1040,0,0,0,0,99,9,33,98,0,0,0,85,0.33,0.04,0.298
3/11/2026 1:00,18009,Blackford County,Indiana,IN,FALSE,TRAIN,4,0,6531,0,0,0,0,0,0,0.113054149,737,23,168,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,23.1,12.5,210.9541667,293.4968056,290.1159722,976.8,1008.1,1155,0.6,0.6,0,0,100,35,77,100,0,0,0,88,0.26,0.03,0.306
3/11/2026 2:00,18009,Blackford County,Indiana,IN,FALSE,TRAIN,4,0,6531,0,0,0,0,0,0,0.113054149,737,23,168,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,26.7,16.2,216.6416667,293.4825,290.1155556,975.5,1007,620,0,0,0,0,100,33,45,100,0,0,0,96,0.09,0,0.287
3/11/2026 3:00,18009,Blackford County,Indiana,IN,FALSE,TRAIN,4,0,6531,0,0,0,0,0,0,0.113054149,737,23,168,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,32.2,17.5,229.8027778,293.6813889,290.4480556,975.5,1007,390,0.2,0.2,0,0,100,100,55,96,0,0,0,97,0.06,0,0.291
3/11/2026 4:00,18009,Blackford County,Indiana,IN,FALSE,TRAIN,4,0,6531,0,0,0,0,0,0,0.113054149,737,23,168,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,25.8,19.2,218.3125,292.9477778,290.6665278,974.4,1005.9,730,0,0,0,0,92,23,16,88,0,0,0,96,0.07,0,0.292
3/11/2026 5:00,18009,Blackford County,Indiana,IN,FALSE,TRAIN,4,0,6531,0,0,0,0,0,0,0.113054149,737,23,168,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,22.5,12.7,209.1986111,292.3009722,290.2963889,974.1,1005.5,965,0,0,0,0,100,37,55,100,0,0,0,92,0.15,0.01,0.292
3/11/2026 6:00,18009,Blackford County,Indiana,IN,FALSE,TRAIN,4,0,6531,0,0,0,0,0,0,0.113054149,737,23,168,0,0,0,0,0,0,,,,,0,0,0,0,0.0001,0,0,0,0,0.0001,14.6,8.5,207.1972222,292.30625,290.4981944,974.3,1005.9,730,0.3,0.3,0,0,100,100,44,100,0,0,0,96,0.07,0,0.297
3/11/2026 7:00,18009,Blackford County,Indiana,IN,FALSE,TRAIN,4,0,6531,0,0,0,0,0,0,0.113054149,737,23,168,0,0,0,0,0,0,,,,,0,0,0,0.0001,0.0003,0,0,0,0.0001,0.0003,15.2,13.5,246.4180556,291.2375,289.2288889,972.6,1004.1,575,0.4,0.4,0,0,100,13,23,100,0,0,0,95,0.1,0,0.303
3/11/2026 8:00,18009,Blackford County,Indiana,IN,FALSE,TRAIN,4,0,6531,0,0,0,0,0,0,0.113054149,737,23,168,0,0,0,0,0,0,,,,,0,0,0,0.0004,0.0001,0,0,0,0.0004,0.0001,17.2,16.7,230.2875,290.0904167,288.67125,970.7,1002,985,0.8,0.8,0,0,100,78,95,100,0,0,0,92,0.17,0.02,0.4
3/11/2026 9:00,18009,Blackford County,Indiana,IN,FALSE,TRAIN,4,0,6531,0,0,0,0,0,0,0.113054149,737,23,168,0,0,0,0,0,0,,,,,0,0,0,0.0009,0.0001,0,0,0,0.0009,0.0001,26.1,12.8,244.3847222,288.3647222,287.0419444,971,1002.3,1245,3,3,0,0,100,91,100,100,12,0,12,91,0.19,0.04,0.435
