fipsCode,rural_urban_code,is_metro,pop_density,n_utilities,pct_forest,pct_developed,pct_agriculture,pct_water,pct_wetland,tree_canopy_pct,tree_canopy_std
18001,6,0,105.65449882571278,10,5.24,9.29,80.87,0.14,1.16,5.1,18.45
18003,2,1,586.4905932002694,9,7.16,22.57,56.81,0.48,2.15,10.31,23.47
18005,3,1,202.01521147678838,7,24.68,11.66,55.05,0.53,1.49,22.42,34.37
18007,3,1,21.453467061072548,6,0.57,5.98,92.03,0.02,0.24,0.68,6.94
18009,6,0,73.36977131449298,2,8.04,9.3,78.1,0.12,1.16,7.78,22.7
18011,1,1,167.45086664660488,10,4.69,9.56,77.84,0.1,0.67,5.18,18.15
18013,1,1,49.59943762132853,11,83.22,5.4,6.85,0.89,0.57,69.72,26.9
18015,3,1,54.55307751455702,9,8.71,7.73,78.14,0.73,1.57,9.17,25.2
18017,4,0,91.88533184440827,6,10.46,9.41,74.42,0.54,1.25,10.8,26.92
18019,1,1,325.0904986603138,9,38.98,14.13,35.04,0.47,0.59,35.21,38.27
18021,3,1,74.00999528686977,8,24.62,8.54,59.61,0.55,1.1,21.77,34.79
18023,6,0,81.9370253809275,12,3.45,8.47,84.74,0.04,1.07,4.23,17.49
18025,8,0,34.44221920117161,12,69.84,6.36,18.63,0.74,0.32,58.75,35.17
18027,7,0,77.71802511114282,5,12.4,7.92,69.04,1.06,2.41,12.45,28.13
18029,1,1,166.11336647595036,6,50.52,10.28,31.65,0.57,0.77,42.24,37.89
18031,6,0,71.05284227303669,4,15.02,8.02,72.64,0.16,0.11,12.68,28.75
18033,4,0,119.24184965917097,6,8.78,10.13,68.62,0.27,5.57,11.83,26.88
18035,3,1,285.3871532668867,14,7.08,16.62,69.74,0.66,1.52,8.28,22.38
18037,5,0,102.13052583783227,7,32.14,9.15,49.82,1.05,2.46,28.1,36.89
18039,3,1,447.03360342900424,6,4.31,20.25,54.79,0.67,9.41,12.95,26.68
18041,6,0,108.81732880317315,10,23.89,8.71,63.59,0.07,0.19,20.31,34.36
18043,1,1,542.029481368746,3,43.15,19.93,26.02,0.25,0.74,41.21,37.4
18045,8,0,41.64929797977902,5,15.99,6.7,72.44,0.51,1.57,14.77,30.6
18047,1,1,59.27014161017008,20,44.17,6.59,43.23,1.34,0.22,37.02,39.89
18049,7,0,55.592976062193856,13,6.02,7.97,77.12,0.65,4.25,8.94,24.78
18051,6,0,67.7318368237024,4,8.33,8.19,68.42,1.8,6.21,13.28,29.29
18053,4,0,161.01386814733013,6,7.85,12.64,74.89,0.22,1.05,7.79,22.21
18055,6,0,56.78295773714221,11,39.75,7.19,45.52,0.52,0.91,33.52,38.48
18057,1,1,881.0245028078089,8,5.24,18.87,49.81,0.96,1.26,10.08,21.23
18059,1,1,260.9516220687348,12,5.11,12.3,72.79,0.14,0.91,6.23,19.14
18061,1,1,81.9161063704298,8,47.73,7.42,39.48,0.42,0.4,40.69,39.66
18063,1,1,429.5668865846121,7,9.81,13.5,62.32,0.1,0.14,9.92,23.81
18065,6,0,124.81963480289348,17,8.89,10.42,76.43,0.34,0.6,8.51,23.7
18067,3,1,285.449922760946,3,4.31,15.02,74.08,0.32,1.32,5.95,19.33
18069,6,0,95.8134809230098,5,11.64,9.53,72.05,0.96,0.96,10.95,26.5
18071,4,0,91.03915012477734,8,31.78,8.45,49.31,0.44,5.71,31.39,38.63
18073,1,1,58.815784091016496,5,7.3,7.8,78.57,0.22,1.52,7.39,22.12
18075,6,0,53.34128179567846,2,7.95,7.97,79.63,0.05,1.11,7.09,21.75
18077,6,0,91.8966313678047,11,45.84,8.36,37.53,0.3,2.49,39.19,39.39
18079,6,0,73.3216390350501,5,41.83,7.58,44.38,0.22,1.07,36.04,39.68
18081,1,1,504.8608545019585,7,13.22,16.4,56.89,0.38,0.41,13.82,27.62
18083,7,0,70.33703916594905,10,6.33,8.75,75.14,1.31,3.56,9.21,24.8
18085,4,0,150.98374141654247,9,8.28,11.25,65.73,2.82,6.37,12.53,27.79
18087,8,0,106.53996581796636,1,2.44,8.36,65.66,1.79,16.82,13.73,28.55
18089,1,1,999.6304443523853,4,5.75,35.67,39.17,1.01,5.87,12.48,23.88
18091,3,1,187.8977344720581,4,9.93,12.66,62.16,0.51,8.53,16.65,30.72
18093,6,0,100.21465449455609,11,48.99,8.32,36.96,0.51,0.44,40.71,38.67
18095,1,1,287.9463191817233,13,5.2,16.64,71.79,0.16,1.52,7.13,20.51
18097,1,1,2467.709846299537,10,6.06,68.68,8.2,1.58,0.43,17.09,22.61
18099,6,0,103.90702047280072,8,8.63,10.21,68.59,1.09,6.13,12.89,28.66
18101,9,0,29.223210643596932,6,66.27,6.92,21.43,0.96,0.66,54.8,36.45
18103,6,0,96.19565725298737,11,11.26,10.16,72.99,0.41,0.99,11.21,27.25
18105,3,1,354.14415823979147,14,58.61,12.13,17.77,3.81,0.43,50.53,37.0
18107,6,0,75.17633485713726,19,9.83,7.83,78.4,0.17,0.56,9.3,25.26
18109,1,1,177.74383339982393,10,38.76,10.17,43.05,0.57,0.6,33.6,38.46
18111,1,1,34.42399301206177,3,6.98,6.61,77.54,0.13,3.21,8.09,23.13
18113,6,0,115.51139831842322,11,9.56,9.31,63.52,1.41,10.47,15.42,29.89
18115,1,1,68.9497071250872,4,51.45,7.13,35.9,1.03,0.35,41.78,38.51
18117,8,0,49.86965044429849,4,56.39,6.82,30.97,1.89,0.15,46.69,38.95
18119,3,1,55.3368425662423,4,55.54,6.04,31.81,0.73,0.66,45.69,38.49
18121,8,0,36.32806810330061,4,37.74,6.13,49.56,1.07,1.78,32.47,39.09
18123,7,0,50.217409885580444,12,66.27,6.52,21.78,0.98,0.91,56.77,36.62
18125,8,0,36.63818756101083,14,33.44,6.47,41.69,0.9,5.87,34.45,39.1
18127,1,1,414.27795629908087,3,10.06,19.1,51.04,0.39,8.18,14.79,28.01
18129,2,1,61.60949416604322,3,10.61,7.93,67.6,2.19,7.03,16.41,32.41
18131,8,0,28.855515641923876,6,8.04,6.88,77.9,0.12,3.1,9.54,25.39
18133,6,0,76.42712652409239,14,32.26,7.74,54.37,0.44,0.2,27.22,37.58
18135,6,0,54.162524821898224,6,5.6,7.91,82.36,0.09,1.25,5.51,19.5
18137,6,0,64.94833051419843,3,38.26,7.46,48.26,0.3,1.13,31.66,38.61
18139,6,0,41.045069525733595,6,5.01,6.64,85.12,0.08,1.06,5.25,19.41
18141,2,1,596.1631208224248,1,8.9,23.94,51.84,0.53,5.54,16.72,29.49
18143,6,0,128.06553136406333,4,37.86,9.3,43.02,0.86,3.76,35.51,39.3
18145,1,1,109.58650235590774,11,5.75,9.42,79.72,0.14,1.06,6.3,20.56
18147,8,0,49.91334587349333,4,21.74,8.23,60.77,0.71,3.69,21.8,35.27
18149,8,0,75.59902289433369,5,14.41,8.78,60.86,0.92,5.44,16.79,31.1
18151,7,0,111.51594994109199,5,4.18,10.43,55.1,4.01,19.78,18.26,31.27
18153,3,1,46.550075179564,8,20.09,7.71,58.06,1.79,3.0,20.07,33.71
18155,8,0,44.12520755358276,3,57.18,5.96,30.94,1.03,0.63,46.67,38.43
18157,3,1,373.3260612445884,4,10.25,13.01,67.54,0.52,1.72,11.85,26.87
18159,1,1,58.950457709822906,4,0.97,8.17,87.47,0.01,1.49,2.2,12.65
18161,8,0,43.96640488399258,12,19.24,6.91,68.75,1.98,0.34,16.32,31.95
18163,2,1,771.785696182594,1,14.56,28.71,43.36,0.78,2.18,21.61,31.92
18165,3,1,60.09866406297109,2,21.37,8.92,61.77,0.99,2.12,19.92,33.73
18167,3,1,262.9949659060447,4,21.74,16.35,48.78,1.22,4.04,23.6,34.28
18169,6,0,75.08623581098824,6,13.22,8.77,70.51,1.04,1.16,12.8,28.47
18171,3,1,23.14323119225471,10,13.12,5.77,76.84,0.35,0.91,11.93,28.11
18173,2,1,166.12867351842118,4,25.99,10.51,41.44,1.24,5.25,30.04,37.95
18175,1,1,54.8620411060364,8,41.18,6.54,47.18,0.23,1.25,35.01,39.24
18177,5,0,165.65589361774718,16,14.94,11.84,67.96,0.17,0.56,13.69,28.72
18179,2,1,76.5579615863439,4,5.57,8.4,81.78,0.11,1.07,5.71,19.83
18181,6,0,48.86959089816765,8,3.54,7.84,84.62,0.66,0.73,3.99,16.79
18183,2,1,101.87364968178501,8,10.44,9.15,71.79,0.75,3.03,11.17,26.59
39001,8,0,47.059980692554205,10,57.02,5.85,31.87,0.29,0.18,49.38,39.71
39003,3,1,253.89941272947587,9,7.56,16.81,69.73,0.58,0.64,7.15,20.34
39005,6,0,123.99234179926331,6,26.74,9.93,56.79,0.54,1.74,23.39,35.21
39007,1,1,138.91174114120355,2,36.64,11.59,32.67,0.93,11.38,19.65,32.7
39009,4,0,123.9588286693001,4,70.72,8.74,15.27,0.31,0.18,61.84,34.71
39011,4,0,115.65367354722356,12,6.73,10.56,77.53,1.06,0.55,5.68,19.12
39013,3,1,124.95371833896851,3,53.26,9.94,26.63,0.58,0.25,45.04,39.47
39015,1,1,89.21635902419237,11,30.86,8.02,55.27,0.58,0.26,25.0,35.78
39017,1,1,836.7217199075178,7,18.02,25.23,41.33,0.52,0.16,18.87,29.03
39019,2,1,67.70414990778418,9,51.21,8.11,33.13,1.04,0.85,40.61,38.6
39021,6,0,90.24727164641172,4,10.78,7.76,76.87,0.26,0.76,9.73,25.23
39023,3,1,343.5417942363277,9,9.6,17.48,65.66,1.03,0.64,9.83,23.97
39025,1,1,460.9354104596176,3,40.37,16.04,31.2,1.11,0.88,34.97,35.77
39027,6,0,102.80100500588838,12,11.37,8.82,75.3,0.33,0.18,9.49,24.91
39029,4,0,191.52330563376287,4,41.3,13.24,37.82,0.42,0.73,34.71,37.93
39031,7,0,64.9251922000145,6,52.58,7.4,32.55,0.48,0.94,45.56,40.14
39033,4,0,104.59561262347096,12,8.45,10.15,77.35,0.15,0.75,7.98,23.14
39035,1,1,2766.2496601348944,3,13.84,77.18,0.74,0.09,1.45,10.11,22.16
39037,6,0,86.7427029344715,7,5.76,8.85,82.04,0.07,0.3,4.92,18.26
39039,6,0,93.05380820955762,4,7.83,9.72,73.89,0.68,4.03,9.31,23.88
39041,1,1,483.187069786243,14,15.65,12.37,52.69,2.44,0.53,16.19,29.2
39043,3,1,300.9374675392727,8,15.4,19.21,52.72,1.11,3.06,7.21,21.51
39045,1,1,315.0911173404828,3,21.79,12.09,57.64,0.6,0.38,20.54,33.77
39047,6,0,71.24455223853312,10,4.12,7.42,85.37,0.08,0.29,3.67,15.88
39049,1,1,2486.4122458717998,20,7.12,52.05,21.25,0.64,0.34,15.28,24.16
39051,2,1,105.34716854195544,13,4.2,9.24,79.49,0.15,2.4,6.25,20.34
39053,6,0,62.6326946808863,2,60.29,7.91,21.12,0.41,0.26,54.72,37.34
39055,1,1,238.2304572515681,2,47.49,14.7,21.5,0.94,5.59,44.74,35.78
39057,2,1,406.0756808882644,11,13.17,18.43,59.91,0.2,0.47,13.88,27.66
39059,6,0,73.60195086701769,4,58.14,8.78,25.99,0.96,0.83,48.76,38.65
39061,1,1,2048.6650986220716,8,22.95,59.07,6.9,0.96,0.26,33.62,30.91
39063,4,0,141.00632160872797,12,5.49,11.23,78.4,0.4,0.79,5.49,18.93
39065,6,0,65.27102904648606,6,6.21,7.78,82.67,0.06,0.96,5.65,19.57
39067,8,0,35.99771868290778,8,55.89,7.23,26.06,1.61,0.49,45.57,38.64
39069,6,0,66.49309709406731,17,3.02,9.07,83.31,0.87,1.27,3.94,16.13
39071,6,0,78.31908072867255,4,25.39,7.37,62.52,0.71,0.14,21.16,34.68
39073,1,1,66.57183547479288,2,75.04,6.65,11.99,0.16,0.11,67.17,31.84
39075,9,0,104.64148564592574,4,36.22,7.78,50.26,0.14,1.17,30.22,38.55
39077,4,0,118.97552736152531,8,13.45,9.81,70.03,0.34,2.35,13.62,28.96
39079,7,0,77.68782391591499,8,53.2,7.99,21.21,0.16,1.3,53.12,37.84
39081,3,1,159.87531044004095,11,59.94,11.7,20.4,0.71,0.08,50.59,38.05
39083,6,0,119.35510431766747,10,29.6,8.83,55.94,0.37,0.55,25.58,36.43
39085,1,1,1013.98581062215,4,33.92,42.08,9.65,0.33,1.08,9.36,23.86
39087,2,1,128.4533258582645,11,74.25,9.58,8.04,0.42,0.17,66.66,31.0
39089,1,1,261.59304235549774,7,31.12,12.08,48.14,0.24,0.45,27.33,36.57
39091,4,0,100.65265704062317,8,13.93,9.2,69.01,1.69,1.41,12.48,27.95
39093,1,1,638.0037655391257,8,14.86,25.08,40.48,0.35,8.24,12.08,26.04
39095,2,1,1269.7070942130608,2,8.4,42.44,30.12,1.78,4.3,10.45,22.76
39097,1,1,93.90432924347174,13,4.59,6.8,85.17,0.17,0.25,4.05,16.63
39099,2,1,555.5349176598387,2,27.16,27.95,30.97,1.33,3.12,27.27,32.96
39101,4,0,161.85702881151602,10,6.65,10.86,77.34,0.13,1.0,6.68,20.89
39103,1,1,432.9485116720754,6,24.92,17.43,42.25,0.42,2.8,24.11,33.36
39105,8,0,51.63896882073657,2,67.12,7.24,18.18,0.63,0.06,58.5,35.55
39107,7,0,91.96297261976696,11,4.3,8.86,78.84,3.4,1.05,4.1,16.62
39109,2,1,267.53328639497084,11,8.6,13.8,71.3,0.27,0.46,8.41,22.46
39111,8,0,29.38006270109764,14,74.17,6.49,14.98,0.29,0.02,62.41,34.75
39113,2,1,1164.6389380582154,19,11.45,41.3,36.97,0.52,0.35,15.86,26.23
39115,8,0,33.14394728226058,10,67.94,6.41,20.46,0.73,0.05,57.74,37.01
39117,1,1,86.0554384555484,5,21.15,8.23,65.98,0.24,0.61,17.66,32.04
39119,4,0,130.02865273906534,6,51.09,10.34,30.33,0.94,0.53,43.98,39.45
39121,9,0,35.467559320510745,11,64.77,6.59,19.71,0.97,0.06,53.94,37.41
39123,3,1,158.48616310902503,6,2.94,14.87,58.87,3.04,9.34,3.61,14.62
39125,8,0,45.159425180706506,3,4.05,8.11,82.64,0.62,1.84,4.43,16.96
39127,1,1,86.79704510801396,12,55.68,7.73,28.81,0.31,0.5,47.39,39.27
39129,1,1,116.78250625764109,3,7.58,8.11,78.89,0.6,0.37,7.15,21.86
39131,9,0,61.524208828546904,14,58.75,6.93,22.85,0.34,0.17,55.39,38.15
39133,2,1,331.9101834900687,2,35.12,16.48,29.73,2.3,5.89,34.87,35.85
39135,6,0,96.64416753505972,5,14.23,8.89,73.18,0.29,0.19,11.95,27.5
39137,6,0,71.39447315663732,14,2.21,8.9,84.38,0.12,1.73,3.04,14.09
39139,3,1,252.2803551074848,11,26.53,15.58,50.15,0.62,1.49,24.68,35.19
39141,4,0,111.86423606129738,4,42.12,7.99,43.34,0.39,0.33,38.01,40.35
39143,4,0,144.26588224194253,7,5.36,11.93,72.86,0.55,3.77,6.91,20.48
39145,4,0,121.29383119231962,5,64.04,8.71,16.1,0.52,0.28,61.02,35.95
39147,4,0,99.93895731690962,7,8.23,10.0,77.9,0.21,0.64,7.46,22.16
39149,4,0,118.30044942656507,11,9.31,9.86,76.09,0.38,0.47,7.83,22.49
39151,2,1,651.9864776621481,7,20.02,30.13,38.09,0.49,1.68,21.36,31.86
39153,2,1,1309.5390818448557,6,24.76,52.42,6.61,1.27,2.88,34.64,32.91
39155,2,1,327.0394288612891,5,31.2,20.01,29.26,1.96,9.87,34.05,35.02
39157,4,0,164.30889735040986,8,48.53,11.84,29.39,0.47,0.98,42.21,39.64
