fipsCode,county_name,total_pixels,pct_forest,pct_developed,pct_agriculture,pct_water,pct_wetland,pct_barren,pct_shrub,pct_grassland,pct_unmapped,cls_11,cls_21,cls_22,cls_23,cls_24,cls_31,cls_41,cls_42,cls_43,cls_52,cls_71,cls_81,cls_82,cls_90,cls_95,cls_100,cls_101,cls_102,cls_103,cls_104
39063,Hancock,1535719,5.49,11.23,78.4,0.4,0.79,0.03,0.0,0.0,3.65,0.4,2.96,6.29,1.57,0.41,0.03,5.42,0.0,0.06,0.0,0.0,0.93,77.47,0.62,0.17,2.62,0.96,0.02,0.05,0.01
39003,Allen,1170809,7.56,16.81,69.73,0.58,0.64,0.07,0.01,0.0,4.61,0.58,4.83,8.3,2.61,1.07,0.07,7.45,0.01,0.1,0.01,0.0,3.93,65.8,0.41,0.23,3.2,1.28,0.02,0.09,0.02
42007,Beaver,1277801,54.83,20.72,16.29,1.64,0.39,0.13,0.0,0.02,5.98,1.64,10.38,6.1,2.92,1.32,0.13,52.0,0.24,2.59,0.0,0.02,14.87,1.42,0.37,0.02,3.01,1.57,0.02,0.81,0.56
39085,Lake,664923,33.92,42.08,9.65,0.33,1.08,0.24,0.0,0.13,12.57,0.33,17.42,14.38,8.08,2.2,0.24,32.24,0.05,1.62,0.0,0.13,7.07,2.59,0.84,0.24,9.13,1.82,0.03,0.99,0.59
54075,Pocahontas,2710367,87.69,2.31,6.23,0.08,0.28,0.69,0.0,0.0,2.71,0.08,2.02,0.24,0.05,0.01,0.69,59.32,3.86,24.51,0.0,0.0,6.22,0.01,0.23,0.05,0.27,0.28,0.0,0.95,1.21
42053,Forest,1238853,82.9,2.55,2.45,0.6,1.75,0.04,0.04,0.03,9.63,0.6,2.24,0.27,0.04,0.01,0.04,54.99,3.94,23.97,0.04,0.03,2.26,0.19,1.64,0.11,0.25,0.24,0.09,1.56,7.48
18073,Jasper,1615554,7.3,7.8,78.57,0.22,1.52,0.02,0.03,0.34,4.2,0.22,3.1,3.89,0.65,0.17,0.02,7.01,0.1,0.19,0.03,0.34,1.67,76.9,1.19,0.33,1.94,1.77,0.08,0.3,0.11
18151,Steuben,927976,4.18,10.43,55.1,4.01,19.78,0.03,0.02,0.01,6.44,4.01,4.5,4.55,1.17,0.21,0.03,3.96,0.11,0.11,0.02,0.01,7.75,47.36,18.46,1.32,2.86,2.85,0.45,0.19,0.09
39047,Fayette,1171286,4.12,7.42,85.37,0.08,0.29,0.01,0.0,0.0,2.71,0.08,3.4,3.12,0.74,0.15,0.01,3.99,0.01,0.11,0.0,0.0,5.93,79.44,0.23,0.06,1.77,0.88,0.0,0.06,0.0
42117,Tioga,3272276,65.2,5.6,22.71,0.29,1.15,0.29,0.02,0.01,4.75,0.29,4.27,1.09,0.21,0.03,0.29,45.07,1.81,18.32,0.02,0.01,21.99,0.72,0.94,0.21,0.98,0.74,0.08,0.78,2.17
