fipsCode,county_name,tree_canopy_pct,tree_canopy_std,tree_canopy_min_pct,tree_canopy_max_pct,valid_pixels,non_processing_pixels,valid_pixel_pct
18001,Adams,5.1,18.45,0.0,96.0,978332,0,100.0
18003,Allen,10.31,23.47,0.0,97.0,1899276,0,100.0
18005,Bartholomew,22.42,34.37,0.0,96.0,1178544,0,100.0
18007,Benton,0.68,6.94,0.0,92.0,1169836,0,100.0
18009,Blackford,7.78,22.7,0.0,96.0,476505,0,100.0
18011,Boone,5.18,18.15,0.0,97.0,1217934,0,100.0
18013,Brown,69.72,26.9,0.0,97.0,911202,0,100.0
18015,Carroll,9.17,25.2,0.0,98.0,1079193,0,100.0
18017,Cass,10.8,26.92,0.0,97.0,1193847,0,100.0
18019,Clark,35.21,38.27,0.0,98.0,1083849,0,100.0
18021,Clay,21.77,34.79,0.0,97.0,1036918,0,100.0
18023,Clinton,4.23,17.49,0.0,96.0,1166199,0,100.0
18025,Crawford,58.75,35.17,0.0,99.0,888580,0,100.0
18027,Daviess,12.45,28.13,0.0,99.0,1257240,0,100.0
18029,Dearborn,42.24,37.89,0.0,97.0,884618,0,100.0
18031,Decatur,12.68,28.75,0.0,97.0,1074330,0,100.0
18033,DeKalb,11.83,26.88,0.0,96.0,1047105,0,100.0
18035,Delaware,8.28,22.38,0.0,97.0,1139332,0,100.0
18037,Dubois,28.1,36.89,0.0,98.0,1252777,0,100.0
18039,Elkhart,12.95,26.68,0.0,96.0,1346692,0,100.0
18041,Fayette,20.31,34.36,0.0,97.0,619191,0,100.0
18043,Floyd,41.21,37.4,0.0,98.0,430270,0,100.0
18045,Fountain,14.77,30.6,0.0,98.0,1144990,0,100.0
18047,Franklin,37.02,39.89,0.0,97.0,1125348,0,100.0
18049,Fulton,8.94,24.78,0.0,96.0,1068411,0,100.0
18051,Gibson,13.28,29.29,0.0,99.0,1436876,0,100.0
18053,Grant,7.79,22.21,0.0,97.0,1193975,0,100.0
18055,Greene,33.52,38.48,0.0,99.0,1571000,0,100.0
18057,Hamilton,10.08,21.23,0.0,97.0,1158207,0,100.0
18059,Hancock,6.23,19.14,0.0,95.0,883553,0,100.0
18061,Harrison,40.69,39.66,0.0,99.0,1398950,0,100.0
18063,Hendricks,9.92,23.81,0.0,97.0,1176375,0,100.0
18065,Henry,8.51,23.7,0.0,97.0,1136236,0,100.0
18067,Howard,5.95,19.33,0.0,97.0,845837,0,100.0
18069,Huntington,10.95,26.5,0.0,98.0,1115743,0,100.0
18071,Jackson,31.39,38.63,0.0,97.0,1478930,0,100.0
18073,Jasper,7.39,22.12,0.0,95.0,1615554,0,100.0
18075,Jay,7.09,21.75,0.0,97.0,1105311,0,100.0
18077,Jefferson,39.19,39.39,0.0,97.0,1044636,0,100.0
18079,Jennings,36.04,39.68,0.0,97.0,1088789,0,100.0
18081,Johnson,13.82,27.62,0.0,97.0,926051,0,100.0
18083,Knox,9.21,24.8,0.0,99.0,1507656,0,100.0
18085,Kosciusko,12.53,27.79,0.0,97.0,1595407,0,100.0
18087,LaGrange,13.73,28.55,0.0,96.0,1112838,0,100.0
18089,Lake,12.48,23.88,0.0,97.0,1803258,0,100.0
18091,LaPorte,16.65,30.72,0.0,95.0,1764810,0,100.0
18093,Lawrence,40.71,38.67,0.0,98.0,1300542,0,100.0
18095,Madison,7.13,20.51,0.0,96.0,1303363,0,100.0
18097,Marion,17.09,22.61,0.0,98.0,1159741,0,100.0
18099,Marshall,12.89,28.66,0.0,97.0,1294274,0,100.0
18101,Martin,54.8,36.45,0.0,98.0,979621,0,100.0
18103,Miami,11.21,27.25,0.0,96.0,1086033,0,100.0
18105,Monroe,50.53,37.0,0.0,97.0,1183687,0,100.0
18107,Montgomery,9.3,25.26,0.0,97.0,1454468,0,100.0
18109,Morgan,33.6,38.46,0.0,97.0,1178246,0,100.0
18111,Newton,8.09,23.13,0.0,94.0,1160978,0,100.0
18113,Noble,15.42,29.89,0.0,97.0,1201269,0,100.0
18115,Ohio,41.78,38.51,0.0,97.0,251663,0,100.0
18117,Orange,46.69,38.95,0.0,97.0,1174674,0,100.0
18119,Owen,45.69,38.49,0.0,98.0,1116057,0,100.0
18121,Parke,32.47,39.09,0.0,99.0,1294999,0,100.0
18123,Perry,56.77,36.62,0.0,99.0,1111700,0,100.0
18125,Pike,34.45,39.1,0.0,99.0,981616,0,100.0
18127,Porter,14.79,28.01,0.0,97.0,1501703,0,100.0
18129,Posey,16.41,32.41,0.0,99.0,1207548,0,100.0
18131,Pulaski,9.54,25.39,0.0,96.0,1250500,0,100.0
18133,Putnam,27.22,37.58,0.0,97.0,1389096,0,100.0
18135,Randolph,5.51,19.5,0.0,97.0,1304532,0,100.0
18137,Ripley,31.66,38.61,0.0,97.0,1289429,0,100.0
18139,Rush,5.25,19.41,0.0,97.0,1175449,0,100.0
18141,St. Joseph,16.72,29.49,0.0,97.0,1327751,0,100.0
18143,Scott,35.51,39.3,0.0,97.0,554679,0,100.0
18145,Shelby,6.3,20.56,0.0,98.0,1187814,0,100.0
18147,Spencer,21.8,35.27,0.0,99.0,1155460,0,100.0
18149,Starke,16.79,31.1,0.0,96.0,898443,0,100.0
18151,Steuben,18.26,31.27,0.0,96.0,927984,0,100.0
18153,Sullivan,20.07,33.71,0.0,99.0,1306816,0,100.0
18155,Switzerland,46.67,38.43,0.0,98.0,643419,0,100.0
18157,Tippecanoe,11.85,26.87,0.0,97.0,1448211,0,100.0
18159,Tipton,2.2,12.65,0.0,96.0,749861,0,100.0
18161,Union,16.32,31.95,0.0,97.0,475339,0,100.0
18163,Vanderburgh,21.61,31.92,0.0,99.0,681642,0,100.0
18165,Vermillion,19.92,33.73,0.0,98.0,747952,0,100.0
18167,Vigo,23.6,34.28,0.0,99.0,1181197,0,100.0
18169,Wabash,12.8,28.47,0.0,97.0,1211465,0,100.0
18171,Warren,11.93,28.11,0.0,97.0,1054414,0,100.0
18173,Warrick,30.04,37.95,0.0,99.0,1125368,0,100.0
18175,Washington,35.01,39.24,0.0,98.0,1486626,0,100.0
18177,Wayne,13.69,28.72,0.0,96.0,1163595,0,100.0
18179,Wells,5.71,19.83,0.0,97.0,1065478,0,100.0
18181,White,3.99,16.79,0.0,95.0,1463975,0,100.0
18183,Whitley,11.17,26.59,0.0,97.0,972592,0,100.0
39001,Adams,49.38,39.71,0.0,98.0,1687191,0,100.0
39003,Allen,7.15,20.34,0.0,96.0,1170809,0,100.0
39005,Ashland,23.39,35.21,0.0,97.0,1228321,0,100.0
39007,Ashtabula,19.65,32.7,0.0,97.0,3936815,480,99.99
39009,Athens,61.84,34.71,0.0,97.0,1463108,0,100.0
39011,Auglaize,5.68,19.12,0.0,96.0,1156585,0,100.0
39013,Belmont,45.04,39.47,0.0,97.0,1557791,0,100.0
39015,Brown,25.0,35.78,0.0,98.0,1418668,0,100.0
39017,Butler,18.87,29.03,0.0,96.0,1352726,0,100.0
39019,Carroll,40.61,38.6,0.0,97.0,1148216,0,100.0
39021,Champaign,9.73,25.23,0.0,97.0,1236916,0,100.0
39023,Clark,9.83,23.97,0.0,97.0,1155442,0,100.0
39025,Clermont,34.97,35.77,0.0,98.0,1324426,0,100.0
