model,horizon,n,rmse,mae,evidence
v1.5.6_direct,1,34177,0.011979379161386963,0.003589460367520188,recomputed_saved_oof
v1.8_rule,1,34177,0.011676613766703987,0.003502269606663692,recomputed_saved_oof
v1.12,1,34177,0.011676613766703987,0.003502269606663692,recomputed_saved_oof
v1.5.6_direct,6,32982,0.010676993494381172,0.003551014118356163,recomputed_saved_oof
v1.8_rule,6,32982,0.01032059984086345,0.003300881630204454,recomputed_saved_oof
v1.12,6,32982,0.01032059984086345,0.003300881630204454,recomputed_saved_oof
v1.5.6_direct,24,28680,0.008463831869463107,0.0029427287130505816,recomputed_saved_oof
v1.8_rule,24,28680,0.008372823768376928,0.0029248130640176667,recomputed_saved_oof
v1.12,24,28680,0.008208972775349635,0.002576572092079163,recomputed_saved_oof
v1.5.6_direct,48,22944,0.007644415252022217,0.002303061665451808,recomputed_saved_oof
v1.8_rule,48,22944,0.007593428433818521,0.0023066625802577725,recomputed_saved_oof
v1.12,48,22944,0.007550371388803475,0.002048971348454991,recomputed_saved_oof
code_phase2_dem_eval,1,34177,0.0119576848349751,0.0035909305794398,saved_summary_not_independent_selection
code_phase2_dem_eval,6,32982,0.0105624359902642,0.0034586355280037,saved_summary_not_independent_selection
code_phase2_dem_eval,24,28680,0.0083446661161519,0.0028749039825037,saved_summary_not_independent_selection
code_phase2_dem_eval,48,22944,0.0075227626354732,0.0022715515875271,saved_summary_not_independent_selection
code_phase2_dem_eval_v156,1,34177,0.0116273800295752,0.0037037034448231,saved_summary_not_independent_selection
code_phase2_dem_eval_v156,6,32982,0.0106450994638671,0.0034956865165646,saved_summary_not_independent_selection
code_phase2_dem_eval_v156,24,28680,0.0084507654692811,0.0029224371608757,saved_summary_not_independent_selection
code_phase2_dem_eval_v156,48,22944,0.0076264917735447,0.0022420279554351,saved_summary_not_independent_selection
