window,variant,counties,nearest_percentile_ge095_count,fifth_percentile_ge095_count
early,context,239,14,13
early,context_dem,239,14,11
early,context_rank,239,11,13
early,full_cache_rank,239,13,12
early,weather_only,239,12,11
late,context,239,14,13
late,context_dem,239,13,11
late,context_rank,239,10,13
late,full_cache_rank,239,13,12
late,weather_only,239,11,12
renewed,context,239,14,14
renewed,context_dem,239,15,11
renewed,context_rank,239,14,9
renewed,full_cache_rank,239,12,12
renewed,weather_only,239,16,14
second_wave,context,239,14,13
second_wave,context_dem,239,13,10
second_wave,context_rank,239,14,14
second_wave,full_cache_rank,239,14,13
second_wave,weather_only,239,12,11
