split,fipsCode,rows,columns,frozen_equal_at_tolerance,nan_mask_equal,max_abs_difference,mismatching_cells,future_nan,future_large_constant,weather_positive_control_changes_features
train,18025,144,163,True,True,1.1102230246251565e-15,0,True,True,True
train,18035,144,163,True,True,8.881784197001252e-16,0,True,True,
train,18043,144,163,True,True,4.440892098500626e-16,0,True,True,
train,18059,144,163,True,True,0.0,0,True,True,
train,18069,144,163,True,True,8.881784197001252e-16,0,True,True,
train,18083,144,163,True,True,8.881784197001252e-16,0,True,True,
train,18091,144,163,True,True,1.7763568394002505e-15,0,True,True,
train,18099,144,163,True,True,1.7763568394002505e-15,0,True,True,
train,18107,144,163,True,True,1.0842021724855044e-19,0,True,True,
train,18117,144,163,True,True,0.0,0,True,True,
train,18127,144,163,True,True,1.7763568394002505e-15,0,True,True,
train,18135,144,163,True,True,1.5543122344752192e-15,0,True,True,
train,18143,144,163,True,True,0.0,0,True,True,
train,18151,144,163,True,True,0.0,0,True,True,
train,18159,144,163,True,True,1.3322676295501878e-15,0,True,True,
train,18167,144,163,True,True,0.0,0,True,True,
train,18175,144,163,True,True,5.684341886080802e-14,0,True,True,
train,18183,144,163,True,True,1.7763568394002505e-15,0,True,True,
train,39027,144,163,True,True,1.9984014443252818e-15,0,True,True,
train,39035,144,163,True,True,1.7763568394002505e-15,0,True,True,
train,39049,144,163,True,True,5.637851296924623e-18,0,True,True,
train,39059,144,163,True,True,5.995204332975845e-15,0,True,True,
train,39069,144,163,True,True,2.220446049250313e-15,0,True,True,
train,39081,144,163,True,True,1.5543122344752192e-15,0,True,True,
train,39091,144,163,True,True,3.9968028886505635e-15,0,True,True,
train,39099,144,163,True,True,3.552713678800501e-15,0,True,True,
train,39107,144,163,True,True,2.220446049250313e-15,0,True,True,
train,39115,144,163,True,True,1.5543122344752192e-15,0,True,True,
train,39123,144,163,True,True,4.440892098500626e-16,0,True,True,
train,39131,144,163,True,True,1.0842021724855044e-19,0,True,True,
train,39139,144,163,True,True,5.204170427930421e-18,0,True,True,
train,39147,144,163,True,True,1.3010426069826053e-18,0,True,True,
train,39155,144,163,True,True,1.5543122344752192e-15,0,True,True,
train,39163,144,163,True,True,3.552713678800501e-15,0,True,True,
train,39171,144,163,True,True,2.886579864025407e-15,0,True,True,
train,42007,144,163,True,True,7.105427357601002e-15,0,True,True,
train,42019,144,163,True,True,0.0,0,True,True,
train,42027,144,163,True,True,1.7763568394002505e-15,0,True,True,
train,42035,144,163,True,True,0.0,0,True,True,
train,42045,144,163,True,True,3.552713678800501e-15,0,True,True,
train,42053,144,163,True,True,1.4210854715202004e-14,0,True,True,
train,42061,144,163,True,True,0.0,0,True,True,
train,42069,144,163,True,True,0.0,0,True,True,
train,42081,144,163,True,True,0.0,0,True,True,
train,42091,144,163,True,True,8.881784197001252e-16,0,True,True,
train,42103,144,163,True,True,0.0,0,True,True,
train,42119,144,163,True,True,8.881784197001252e-16,0,True,True,
train,42129,144,163,True,True,1.7763568394002505e-15,0,True,True,
train,54009,144,163,True,True,5.773159728050814e-15,0,True,True,
train,54023,144,163,True,True,4.440892098500626e-16,0,True,True,
train,54031,144,163,True,True,1.3322676295501878e-15,0,True,True,
train,54039,144,163,True,True,2.842170943040401e-14,0,True,True,
train,54047,144,163,True,True,0.0,0,True,True,
train,54059,144,163,True,True,1.734723475976807e-18,0,True,True,
train,54071,144,163,True,True,0.0,0,True,True,
train,54079,144,163,True,True,5.421010862427522e-20,0,True,True,
train,54087,144,163,True,True,1.734723475976807e-18,0,True,True,
train,54095,144,163,True,True,9.75781955236954e-19,0,True,True,
train,54103,144,163,True,True,1.3010426069826053e-18,0,True,True,
test,18001,144,163,True,True,0.0,0,True,True,
test,18011,144,163,True,True,0.0,0,True,True,
test,18021,144,163,True,True,0.0,0,True,True,
test,18055,144,163,True,True,1.7763568394002505e-15,0,True,True,
test,18079,144,163,True,True,2.220446049250313e-15,0,True,True,
test,39001,144,163,True,True,5.551115123125783e-16,0,True,True,
test,39009,144,163,True,True,2.6645352591003757e-15,0,True,True,
test,39019,144,163,True,True,2.220446049250313e-15,0,True,True,
test,39047,144,163,True,True,0.0,0,True,True,
test,39079,144,163,True,True,1.4432899320127035e-15,0,True,True,
test,42011,144,163,True,True,0.0,0,True,True,
test,42073,144,163,True,True,1.5543122344752192e-15,0,True,True,
test,42105,144,163,True,True,0.0,0,True,True,
test,42123,144,163,True,True,0.0,0,True,True,
test,54011,144,163,True,True,0.0,0,True,True,
test,54051,144,163,True,True,0.0,0,True,True,
