model,reference,purpose,horizon,metric,difference,ci_2_5,ci_97_5,bootstrap_improvement_probability,replicates,resampling_unit,evaluation_status
B1_target_aligned,B0_lightgbm,目标时刻对齐相对基线,osi_target_t01h,rmse,-0.00011630176056913293,-0.00028759933284421967,2.5681613503400145e-05,0.9445,2000,county_full_trajectory,strict_nested_cv
B1_target_aligned,B0_lightgbm,目标时刻对齐相对基线,osi_target_t01h,mae,-8.903126240308564e-05,-0.00014735364542309124,-2.874276708305692e-05,0.997,2000,county_full_trajectory,strict_nested_cv
B3_gru_huber,B0_lightgbm,主 GRU 相对基线,osi_target_t01h,rmse,2.538420446670381e-06,-9.875988418808897e-06,1.2553310269982014e-05,0.3685,2000,county_full_trajectory,strict_nested_cv
B3_gru_huber,B0_lightgbm,主 GRU 相对基线,osi_target_t01h,mae,-2.1118857998333063e-05,-2.9439480906536236e-05,-1.3593474584227133e-05,1.0,2000,county_full_trajectory,strict_nested_cv
B3_gru_huber,B1_target_aligned,主 GRU 相对目标时刻对齐,osi_target_t01h,rmse,0.0001188401810158033,-1.995435687449157e-05,0.0002829371814729414,0.05,2000,county_full_trajectory,strict_nested_cv
B3_gru_huber,B1_target_aligned,主 GRU 相对目标时刻对齐,osi_target_t01h,mae,6.791240440475257e-05,8.40235318732359e-06,0.00012660004738174047,0.0175,2000,county_full_trajectory,strict_nested_cv
B3_gru_huber,B2_mlp_huber,GRU 时序相对非时序 MLP,osi_target_t01h,rmse,2.538420446670381e-06,-9.875988418808897e-06,1.2553310269982014e-05,0.3685,2000,county_full_trajectory,strict_nested_cv
B3_gru_huber,B2_mlp_huber,GRU 时序相对非时序 MLP,osi_target_t01h,mae,-2.1118857998333063e-05,-2.9439480906536236e-05,-1.3593474584227133e-05,1.0,2000,county_full_trajectory,strict_nested_cv
B3_gru_huber,B4_constant_mean,主 GRU 相对常数校正,osi_target_t01h,rmse,2.538420446670381e-06,-9.875988418808897e-06,1.2553310269982014e-05,0.3685,2000,county_full_trajectory,strict_nested_cv
B3_gru_huber,B4_constant_mean,主 GRU 相对常数校正,osi_target_t01h,mae,-2.1118857998333063e-05,-2.9439480906536236e-05,-1.3593474584227133e-05,1.0,2000,county_full_trajectory,strict_nested_cv
B3_gru_huber,B5_gru_no_future,加入未来气象相对无未来气象,osi_target_t01h,rmse,-2.7062367315543873e-06,-1.1300295928624426e-05,4.995484313173156e-06,0.73,2000,county_full_trajectory,strict_nested_cv
B3_gru_huber,B5_gru_no_future,加入未来气象相对无未来气象,osi_target_t01h,mae,1.1747742485276273e-05,4.515094928052549e-06,1.9513174137100425e-05,0.001,2000,county_full_trajectory,strict_nested_cv
B5_gru_no_future,B0_lightgbm,无未来气象 GRU 相对基线,osi_target_t01h,rmse,5.244657178224768e-06,-1.2651911626294704e-05,2.1635378295924153e-05,0.3015,2000,county_full_trajectory,strict_nested_cv
B5_gru_no_future,B0_lightgbm,无未来气象 GRU 相对基线,osi_target_t01h,mae,-3.2866600483609336e-05,-4.787354313895825e-05,-1.9265270023144634e-05,1.0,2000,county_full_trajectory,strict_nested_cv
