model,fipsCode,outer_fold,horizon,rmse,mae,n,sse,sae,evaluation_status
B0_lightgbm,18009,0,osi_target_t01h,0.006460470401878121,0.003775291903430052,143,0.005968487927336685,0.5398667421904975,strict_nested_cv
B0_lightgbm,18013,1,osi_target_t01h,0.02940571321022765,0.014054243879889747,143,0.12365152362450846,2.009756874824234,strict_nested_cv
B0_lightgbm,18023,3,osi_target_t01h,0.0020466381955613357,0.000812962888459141,143,0.00059898809020487,0.11625369304965716,strict_nested_cv
B0_lightgbm,18025,2,osi_target_t01h,0.012237212054551706,0.002224662125544538,143,0.021414158318133376,0.3181266839528689,strict_nested_cv
B0_lightgbm,18027,2,osi_target_t01h,0.004188932439743256,0.0018211380282247608,143,0.002509243162816874,0.2604227380361408,strict_nested_cv
B0_lightgbm,18029,1,osi_target_t01h,0.0015376701654925232,0.0005993523719025307,143,0.00033811342391195,0.08570738918206189,strict_nested_cv
B0_lightgbm,18033,1,osi_target_t01h,0.0031287270373846978,0.0013626786667818589,143,0.0013998174010480698,0.1948630493498058,strict_nested_cv
B0_lightgbm,18035,1,osi_target_t01h,0.0019913911294146326,0.0010120865919015052,143,0.0005670863241345139,0.14472838264191523,strict_nested_cv
B0_lightgbm,18037,3,osi_target_t01h,0.002889920910560646,0.0012619454931924478,143,0.001194284930309281,0.18045820552652003,strict_nested_cv
B0_lightgbm,18039,4,osi_target_t01h,0.0026562808635282255,0.0018735713719461972,143,0.0010089834077103145,0.2679207061883062,strict_nested_cv
B0_lightgbm,18041,2,osi_target_t01h,0.004889581993369576,0.0022420258842525886,143,0.003418845725993412,0.3206097014481202,strict_nested_cv
B0_lightgbm,18043,4,osi_target_t01h,0.0018932026777848904,0.0007343043919088534,143,0.0005125429422215787,0.10500552804296603,strict_nested_cv
B0_lightgbm,18045,3,osi_target_t01h,0.0019617125793318308,0.0007768301282060117,143,0.0005503092228789504,0.11108670833345968,strict_nested_cv
B0_lightgbm,18047,4,osi_target_t01h,0.003319452493812241,0.001219177530293672,143,0.001575683374790712,0.1743423868319951,strict_nested_cv
B0_lightgbm,18051,1,osi_target_t01h,0.001029071281191224,0.0003542256256821077,143,0.0001514352413534743,0.0506542644725414,strict_nested_cv
B0_lightgbm,18059,3,osi_target_t01h,0.0012729081303158806,0.0003883955239845844,143,0.00023170220047607072,0.05554055992979556,strict_nested_cv
B0_lightgbm,18061,3,osi_target_t01h,0.003925001348688972,0.001604027398062098,143,0.0022030058889710657,0.22937591792288003,strict_nested_cv
B0_lightgbm,18065,3,osi_target_t01h,0.0021778723495241964,0.0011162523384685497,143,0.0006782672998275523,0.15962408440100262,strict_nested_cv
B0_lightgbm,18067,2,osi_target_t01h,0.0016779103423969226,0.0005359783505294733,143,0.0004025997857485258,0.07664490412571467,strict_nested_cv
B0_lightgbm,18069,0,osi_target_t01h,0.001403457919957851,0.0007711302343930177,143,0.0002816662610322157,0.11027162351820152,strict_nested_cv
B0_lightgbm,18071,0,osi_target_t01h,0.004144137045443829,0.001563947170140821,143,0.0024558636747530472,0.2236444453301374,strict_nested_cv
