model,outer_fold,scope,horizon,horizon_hours,rmse,mae,n,evaluation_status
B0_lightgbm,0,horizon,osi_target_t01h,1,0.006905504195238797,0.0028079496428057237,6864,strict_nested_cv
B0_lightgbm,1,horizon,osi_target_t01h,1,0.010589380060781145,0.003802136879737203,6721,strict_nested_cv
B0_lightgbm,2,horizon,osi_target_t01h,1,0.0132746986538036,0.004062905327047875,6864,strict_nested_cv
B0_lightgbm,3,horizon,osi_target_t01h,1,0.01617455020297243,0.003984613064856302,6864,strict_nested_cv
B0_lightgbm,4,horizon,osi_target_t01h,1,0.011206415414837344,0.0033633477016946013,6864,strict_nested_cv
B0_lightgbm,0,horizon,osi_target_t06h,6,0.006559168180563329,0.002661373741479778,6624,strict_nested_cv
B0_lightgbm,1,horizon,osi_target_t06h,6,0.010143129046857421,0.003585321161658089,6486,strict_nested_cv
B0_lightgbm,2,horizon,osi_target_t06h,6,0.01329903791007774,0.004076058650922269,6624,strict_nested_cv
B0_lightgbm,3,horizon,osi_target_t06h,6,0.012955489059549777,0.0038975456016658795,6624,strict_nested_cv
B0_lightgbm,4,horizon,osi_target_t06h,6,0.00926490811731434,0.0030996815075330073,6624,strict_nested_cv
B0_lightgbm,0,horizon,osi_target_t24h,24,0.004684581929444758,0.0020577158214223346,5760,strict_nested_cv
B0_lightgbm,1,horizon,osi_target_t24h,24,0.009048791536299733,0.002890907369404602,5640,strict_nested_cv
B0_lightgbm,2,horizon,osi_target_t24h,24,0.012975113420532487,0.0038381051593533912,5760,strict_nested_cv
B0_lightgbm,3,horizon,osi_target_t24h,24,0.006463691097095688,0.0029327616977171704,5760,strict_nested_cv
B0_lightgbm,4,horizon,osi_target_t24h,24,0.007564171059757988,0.0024680134833463146,5760,strict_nested_cv
B0_lightgbm,0,horizon,osi_target_t48h,48,0.003684217197438346,0.0015928072139641042,4608,strict_nested_cv
B0_lightgbm,1,horizon,osi_target_t48h,48,0.005924551814568944,0.002002395855566995,4512,strict_nested_cv
B0_lightgbm,2,horizon,osi_target_t48h,48,0.01307361975550093,0.003303440349739617,4608,strict_nested_cv
B0_lightgbm,3,horizon,osi_target_t48h,48,0.005353180348209095,0.0021504856550680846,4608,strict_nested_cv
B0_lightgbm,4,horizon,osi_target_t48h,48,0.007076946284327644,0.002113269961859664,4608,strict_nested_cv
B1_equal_mean,0,horizon,osi_target_t01h,1,0.006650852527592966,0.0026749905731986265,6864,strict_nested_cv
B1_equal_mean,1,horizon,osi_target_t01h,1,0.010580830997091391,0.0036745514973103503,6721,strict_nested_cv
B1_equal_mean,2,horizon,osi_target_t01h,1,0.012960013240889369,0.004005635182446384,6864,strict_nested_cv
B1_equal_mean,3,horizon,osi_target_t01h,1,0.016144155160855257,0.003978963843888303,6864,strict_nested_cv
B1_equal_mean,4,horizon,osi_target_t01h,1,0.01116165943868571,0.0032408520168011145,6864,strict_nested_cv
B1_equal_mean,0,horizon,osi_target_t06h,6,0.006428923211183153,0.0025534722163883822,6624,strict_nested_cv
B1_equal_mean,1,horizon,osi_target_t06h,6,0.010125778966957159,0.0034861577396202753,6486,strict_nested_cv
B1_equal_mean,2,horizon,osi_target_t06h,6,0.012878974101453257,0.0039119234252739,6624,strict_nested_cv
