horizon,left,right,pearson_error_correlation
osi_target_t24h,lgbm_direct,lgbm_component,0.989911490577905
osi_target_t24h,lgbm_direct,xgboost_direct,0.957270351331762
osi_target_t24h,lgbm_direct,catboost_direct,0.9558062680428723
osi_target_t24h,lgbm_direct,xgboost_component,0.9611020384780435
osi_target_t24h,lgbm_direct,catboost_component,0.9524343043157613
osi_target_t24h,lgbm_component,xgboost_direct,0.9557271791219689
osi_target_t24h,lgbm_component,catboost_direct,0.9556126952775175
osi_target_t24h,lgbm_component,xgboost_component,0.9599859868922307
osi_target_t24h,lgbm_component,catboost_component,0.952212002589481
osi_target_t24h,xgboost_direct,catboost_direct,0.9648837317471419
osi_target_t24h,xgboost_direct,xgboost_component,0.994235526242146
osi_target_t24h,xgboost_direct,catboost_component,0.9618906246101312
osi_target_t24h,catboost_direct,xgboost_component,0.9675365722340501
osi_target_t24h,catboost_direct,catboost_component,0.9779899276166737
osi_target_t24h,xgboost_component,catboost_component,0.9674446697962933
osi_target_t48h,lgbm_direct,lgbm_component,0.9923435914590417
osi_target_t48h,lgbm_direct,xgboost_direct,0.9759496939411405
osi_target_t48h,lgbm_direct,catboost_direct,0.9743981707948101
osi_target_t48h,lgbm_direct,xgboost_component,0.9773640179341442
osi_target_t48h,lgbm_direct,catboost_component,0.9729126300313095
osi_target_t48h,lgbm_component,xgboost_direct,0.9778907759560551
osi_target_t48h,lgbm_component,catboost_direct,0.9758306780341759
osi_target_t48h,lgbm_component,xgboost_component,0.9801825038955381
osi_target_t48h,lgbm_component,catboost_component,0.9759615656275539
osi_target_t48h,xgboost_direct,catboost_direct,0.9751464892306971
osi_target_t48h,xgboost_direct,xgboost_component,0.9946530075793513
osi_target_t48h,xgboost_direct,catboost_component,0.9766936412908617
osi_target_t48h,catboost_direct,xgboost_component,0.9795096256170415
osi_target_t48h,catboost_direct,catboost_component,0.9892321064356551
osi_target_t48h,xgboost_component,catboost_component,0.9819995943413504
