candidate,horizon,target_day,rmse,mae,n
L0,osi_target_t01h,2026-03-14,0.020589142610550382,0.006549871723679655,5497
L0,osi_target_t01h,2026-03-15,0.009880463757485978,0.004572409863010714,5736
L0,osi_target_t01h,2026-03-16,0.01003090028313731,0.004352683746070752,5736
L0,osi_target_t01h,2026-03-17,0.011095861068363428,0.003628095022720199,5736
L0,osi_target_t01h,2026-03-18,0.005430933752789219,0.0008120157244783729,5736
L0,osi_target_t01h,2026-03-19,0.0009971514889400349,0.00024312561381179313,5736
L1,osi_target_t01h,2026-03-14,0.020589142610550382,0.006549871723679655,5497
L1,osi_target_t01h,2026-03-15,0.009880463757485978,0.004572409863010714,5736
L1,osi_target_t01h,2026-03-16,0.01003090028313731,0.004352683746070752,5736
L1,osi_target_t01h,2026-03-17,0.011095861068363428,0.003628095022720199,5736
L1,osi_target_t01h,2026-03-18,0.005430933752789219,0.0008120157244783729,5736
L1,osi_target_t01h,2026-03-19,0.0009971514889400349,0.00024312561381179313,5736
L2,osi_target_t01h,2026-03-14,0.020589142610550382,0.006549871723679655,5497
L2,osi_target_t01h,2026-03-15,0.009880463757485978,0.004572409863010714,5736
L2,osi_target_t01h,2026-03-16,0.01003090028313731,0.004352683746070752,5736
L2,osi_target_t01h,2026-03-17,0.011095861068363428,0.003628095022720199,5736
L2,osi_target_t01h,2026-03-18,0.005430933752789219,0.0008120157244783729,5736
L2,osi_target_t01h,2026-03-19,0.0009971514889400349,0.00024312561381179313,5736
L0,osi_target_t06h,2026-03-14,0.01867334180755887,0.006463405251636797,4302
L0,osi_target_t06h,2026-03-15,0.009880463757485978,0.004572409863010714,5736
L0,osi_target_t06h,2026-03-16,0.01003090028313731,0.004352683746070752,5736
L0,osi_target_t06h,2026-03-17,0.011095861068363428,0.003628095022720199,5736
L0,osi_target_t06h,2026-03-18,0.005430933752789219,0.0008120157244783729,5736
L0,osi_target_t06h,2026-03-19,0.0009971514889400349,0.00024312561381179313,5736
L1,osi_target_t06h,2026-03-14,0.01867334180755887,0.006463405251636797,4302
L1,osi_target_t06h,2026-03-15,0.009880463757485978,0.004572409863010714,5736
L1,osi_target_t06h,2026-03-16,0.01003090028313731,0.004352683746070752,5736
L1,osi_target_t06h,2026-03-17,0.011095861068363428,0.003628095022720199,5736
L1,osi_target_t06h,2026-03-18,0.005430933752789219,0.0008120157244783729,5736
L1,osi_target_t06h,2026-03-19,0.0009971514889400349,0.00024312561381179313,5736
L2,osi_target_t06h,2026-03-14,0.01867334180755887,0.006463405251636797,4302
L2,osi_target_t06h,2026-03-15,0.009880463757485978,0.004572409863010714,5736
L2,osi_target_t06h,2026-03-16,0.01003090028313731,0.004352683746070752,5736
L2,osi_target_t06h,2026-03-17,0.011095861068363428,0.003628095022720199,5736
L2,osi_target_t06h,2026-03-18,0.005430933752789219,0.0008120157244783729,5736
L2,osi_target_t06h,2026-03-19,0.0009971514889400349,0.00024312561381179313,5736
L0,osi_target_t24h,2026-03-15,0.010484588525813146,0.005037746754401847,5736
L0,osi_target_t24h,2026-03-16,0.010455428032186456,0.0046772930160345165,5736
L0,osi_target_t24h,2026-03-17,0.01135221681186221,0.00389035970670431,5736
L0,osi_target_t24h,2026-03-18,0.00548382153056103,0.0008713286226567968,5736
L0,osi_target_t24h,2026-03-19,0.0010810398108892815,0.0003046660680180726,5736
L1,osi_target_t24h,2026-03-15,0.01064172601951434,0.004771766033630261,5736
L1,osi_target_t24h,2026-03-16,0.01032523693246,0.004386608901673092,5736
L1,osi_target_t24h,2026-03-17,0.011412182626176952,0.0037003686069022406,5736
L1,osi_target_t24h,2026-03-18,0.005401186330436163,0.0006716954168105059,5736
L1,osi_target_t24h,2026-03-19,0.0009798434574934934,0.00020826285077987943,5736
L2,osi_target_t24h,2026-03-15,0.010422251509517446,0.004711660824483072,5736
L2,osi_target_t24h,2026-03-16,0.010273422329668892,0.004387477201724591,5736
L2,osi_target_t24h,2026-03-17,0.011239142165984215,0.003729554741479467,5736
L2,osi_target_t24h,2026-03-18,0.005401186330436163,0.0006716954168105059,5736
L2,osi_target_t24h,2026-03-19,0.0009798434574934934,0.00020826285077987943,5736
L0,osi_target_t48h,2026-03-16,0.009982761611877148,0.0044132402598700314,5736
L0,osi_target_t48h,2026-03-17,0.010896556647474371,0.0035244221252533274,5736
L0,osi_target_t48h,2026-03-18,0.005472214379419479,0.0008209669937766401,5736
L0,osi_target_t48h,2026-03-19,0.0010190858412793525,0.0002411147631826363,5736
L1,osi_target_t48h,2026-03-16,0.009902355396728723,0.00420730543406059,5736
L1,osi_target_t48h,2026-03-17,0.011025637908576233,0.003469097661265315,5736
L1,osi_target_t48h,2026-03-18,0.00543909895605804,0.0007130244752218194,5736
L1,osi_target_t48h,2026-03-19,0.0009632513445478349,0.0001801932179220443,5736
L2,osi_target_t48h,2026-03-16,0.00990031598846555,0.004215629531323868,5736
L2,osi_target_t48h,2026-03-17,0.01085411939202209,0.0034595863356117126,5736
L2,osi_target_t48h,2026-03-18,0.00543909895605804,0.0007130244752218194,5736
L2,osi_target_t48h,2026-03-19,0.0009632513445478349,0.0001801932179220443,5736
