candidate,horizon,rmse,mae,n,prediction_mean,prediction_max,zero_pct
L0,osi_target_t01h,0.010683002911169644,0.0032883188402159907,34177,0.005680632266626929,0.4994263077203009,50.56031834274513
L1,osi_target_t01h,0.010683002911169644,0.0032883188402159907,34177,0.005680632266626929,0.4994263077203009,50.56031834274513
L2,osi_target_t01h,0.010683002911169644,0.0032883188402159907,34177,0.005680632266626929,0.4994263077203009,50.56031834274513
L0,osi_target_t06h,0.009696165799144481,0.003157640544858214,32982,0.004857851833261545,0.31015228430160396,51.188527075374445
L1,osi_target_t06h,0.009696165799144481,0.003157640544858214,32982,0.004857851833261545,0.31015228430160396,51.188527075374445
L2,osi_target_t06h,0.009696165799144481,0.003157640544858214,32982,0.004857851833261545,0.31015228430160396,51.188527075374445
L0,osi_target_t24h,0.008094958237266874,0.002818108889202019,28680,0.0031193965929298827,0.12275092142981842,55.89958158995816
L1,osi_target_t24h,0.007937402149965644,0.0026000737202288397,28680,0.0028096063895379922,0.10982000193416164,60.0976290097629
L2,osi_target_t24h,0.007918134856272884,0.00263796584027466,28680,0.002980252009050527,0.12275092142981842,60.0976290097629
L0,osi_target_t48h,0.007386039443917857,0.0022817618160767186,22944,0.0022050698593754636,0.07290287846958597,62.02493026499303
L1,osi_target_t48h,0.00733395674890965,0.0020968224637933457,22944,0.001885165998719842,0.06503176432069643,66.91509762900976
L2,osi_target_t48h,0.007313159737981613,0.002156003913490247,22944,0.0020562286265487697,0.07290287846958597,66.91509762900976
