candidate,horizon,fold,rmse,mae,n
L0,osi_target_t01h,0,0.00649627007224563,0.002635110290976331,6864
L0,osi_target_t01h,1,0.009869159421452112,0.0034151726679737143,6721
L0,osi_target_t01h,2,0.012634175404294012,0.0038836577881071438,6864
L0,osi_target_t01h,3,0.015387133227847715,0.0036747639709935154,6864
L0,osi_target_t01h,4,0.008221230589243267,0.0029014829777470963,6864
L1,osi_target_t01h,0,0.00649627007224563,0.002635110290976331,6864
L1,osi_target_t01h,1,0.009869159421452112,0.0034151726679737143,6721
L1,osi_target_t01h,2,0.012634175404294012,0.0038836577881071438,6864
L1,osi_target_t01h,3,0.015387133227847715,0.0036747639709935154,6864
L1,osi_target_t01h,4,0.008221230589243267,0.0029014829777470963,6864
L2,osi_target_t01h,0,0.00649627007224563,0.002635110290976331,6864
L2,osi_target_t01h,1,0.009869159421452112,0.0034151726679737143,6721
L2,osi_target_t01h,2,0.012634175404294012,0.0038836577881071438,6864
L2,osi_target_t01h,3,0.015387133227847715,0.0036747639709935154,6864
L2,osi_target_t01h,4,0.008221230589243267,0.0029014829777470963,6864
L0,osi_target_t06h,0,0.0064058406635748265,0.0025564682578704317,6624
L0,osi_target_t06h,1,0.009589776626990655,0.0032969915302070944,6486
L0,osi_target_t06h,2,0.012688807942972615,0.00382442534743075,6624
L0,osi_target_t06h,3,0.01219396978873611,0.0034040990211685112,6624
L0,osi_target_t06h,4,0.00806893369197394,0.0028077032504759745,6624
L1,osi_target_t06h,0,0.0064058406635748265,0.0025564682578704317,6624
L1,osi_target_t06h,1,0.009589776626990655,0.0032969915302070944,6486
L1,osi_target_t06h,2,0.012688807942972615,0.00382442534743075,6624
L1,osi_target_t06h,3,0.01219396978873611,0.0034040990211685112,6624
L1,osi_target_t06h,4,0.00806893369197394,0.0028077032504759745,6624
L2,osi_target_t06h,0,0.0064058406635748265,0.0025564682578704317,6624
L2,osi_target_t06h,1,0.009589776626990655,0.0032969915302070944,6486
L2,osi_target_t06h,2,0.012688807942972615,0.00382442534743075,6624
L2,osi_target_t06h,3,0.01219396978873611,0.0034040990211685112,6624
L2,osi_target_t06h,4,0.00806893369197394,0.0028077032504759745,6624
L0,osi_target_t24h,0,0.004722006437624519,0.0021059088433387193,5760
L0,osi_target_t24h,1,0.008926834627565224,0.0029095390774955274,5640
L0,osi_target_t24h,2,0.012860189555137309,0.0038187202582121555,5760
L0,osi_target_t24h,3,0.0061831058424843465,0.002799674455534234,5760
L0,osi_target_t24h,4,0.007428758397301128,0.0024404211477509086,5760
L1,osi_target_t24h,0,0.0047581804201271265,0.0019439150794346549,5760
L1,osi_target_t24h,1,0.008355874463129739,0.0026294916513926524,5640
L1,osi_target_t24h,2,0.012993641392600902,0.003519718591636733,5760
L1,osi_target_t24h,3,0.006706335152872781,0.0028149709991630457,5760
L1,osi_target_t24h,4,0.0075787412604211655,0.002368461928795382,5760
L2,osi_target_t24h,0,0.004573130116166147,0.0019122640183288865,5760
L2,osi_target_t24h,1,0.008988597507955515,0.002771505602433754,5640
L2,osi_target_t24h,2,0.012653558257365959,0.003551094729702874,5760
L2,osi_target_t24h,3,0.006328362848855007,0.0027189165190280766,5760
L2,osi_target_t24h,4,0.007413432666777534,0.0023302107706534682,5760
L0,osi_target_t48h,0,0.0036632306388987446,0.0015956445257807718,4608
L0,osi_target_t48h,1,0.005855181393125153,0.0019970723373512436,4512
L0,osi_target_t48h,2,0.013066410316828946,0.0032591786642496433,4608
L0,osi_target_t48h,3,0.0053724652793763,0.002168728024357481,4608
L0,osi_target_t48h,4,0.006925166870368426,0.0021494377477357354,4608
L1,osi_target_t48h,0,0.003595432747050425,0.0014409833185006179,4608
L1,osi_target_t48h,1,0.005785107619808799,0.0018566328726319832,4512
L1,osi_target_t48h,2,0.013488348931038235,0.003221919769830113,4608
L1,osi_target_t48h,3,0.005434711353366143,0.002097087228517679,4608
L1,osi_target_t48h,4,0.006905518345112641,0.0019064086790006604,4608
L2,osi_target_t48h,0,0.0036050626751581005,0.0014543949944725942,4608
L2,osi_target_t48h,1,0.005845619094492325,0.0018744117663456836,4512
L2,osi_target_t48h,2,0.013015180327829739,0.0031744122937563835,4608
L2,osi_target_t48h,3,0.00540705599166044,0.0020996962758472737,4608
L2,osi_target_t48h,4,0.006869148587206297,0.0019262112768916456,4608
