version,model_family,strategy,horizon,feature_version,rmse,mae,max_rounds,early_stopping_rounds
v1.8_C0,LightGBM,direct_osi,osi_target_t01h,v1.5.6,0.011979379161386963,0.0035894603675201875,2000,100
v1.8_C0,LightGBM,direct_osi,osi_target_t06h,v1.5.6,0.010676993494381172,0.0035510141183561625,2000,100
v1.8_C0,LightGBM,direct_osi,osi_target_t24h,v1.5.6,0.008463831869463107,0.0029427287130505816,2000,100
v1.8_C0,LightGBM,direct_osi,osi_target_t48h,v1.5.6,0.007644415252022217,0.0023030616654518086,2000,100
v1.9,XGBoost,direct_osi,osi_target_t01h,v1.5.6,0.012043940713067153,0.003498229225986764,4000,100
v1.9,XGBoost,direct_osi,osi_target_t06h,v1.5.6,0.010660518030069762,0.0032607381223893686,4000,100
v1.9,XGBoost,direct_osi,osi_target_t24h,v1.5.6,0.008712558791012303,0.002713104225942726,4000,100
v1.9,XGBoost,direct_osi,osi_target_t48h,v1.5.6,0.007926178033315738,0.002122147989637791,4000,100
v1.10,CatBoost,direct_osi,osi_target_t01h,v1.5.6,0.012228192044245587,0.003427025315195186,4000,100
v1.10,CatBoost,direct_osi,osi_target_t06h,v1.5.6,0.010716768612631624,0.003339242727254627,4000,100
v1.10,CatBoost,direct_osi,osi_target_t24h,v1.5.6,0.008683365643492836,0.0027345724107400164,4000,100
v1.10,CatBoost,direct_osi,osi_target_t48h,v1.5.6,0.007894751894576267,0.002125073898437284,4000,100
v1.8_C1,LightGBM,component_osi,osi_target_t01h,v1.5.6,0.011865427114391812,0.003526919842147216,2000,100
v1.8_C1,LightGBM,component_osi,osi_target_t06h,v1.5.6,0.010512561705099621,0.003389107513172991,2000,100
v1.8_C1,LightGBM,component_osi,osi_target_t24h,v1.5.6,0.008372823768376926,0.0029248130640176667,2000,100
v1.8_C1,LightGBM,component_osi,osi_target_t48h,v1.5.6,0.007593428433818521,0.0023066625802577725,2000,100
v2.4,XGBoost,component_osi,osi_target_t01h,v1.5.6,0.012039457081452813,0.0034105128772544784,8000,100
v2.4,XGBoost,component_osi,osi_target_t06h,v1.5.6,0.01065798817947317,0.003220964949098953,8000,100
v2.4,XGBoost,component_osi,osi_target_t24h,v1.5.6,0.008580166926726196,0.0026422016036934046,8000,100
v2.4,XGBoost,component_osi,osi_target_t48h,v1.5.6,0.007858128798568587,0.002069537979591426,8000,100
v2.5,CatBoost,component_osi,osi_target_t01h,v1.5.6,0.012086856753495308,0.003374731947906409,4000,100
v2.5,CatBoost,component_osi,osi_target_t06h,v1.5.6,0.0109398268648882,0.003231149976481516,4000,100
v2.5,CatBoost,component_osi,osi_target_t24h,v1.5.6,0.008527133894635268,0.0026223109121066308,4000,100
v2.5,CatBoost,component_osi,osi_target_t48h,v1.5.6,0.007703131005493808,0.002036728764904327,4000,100
v1.16_ET-A,ExtraTrees,direct_osi,osi_target_t24h,v1.5.6,0.008906021213660903,0.002992653512424833,600,
v1.16_ET-A,ExtraTrees,direct_osi,osi_target_t48h,v1.5.6,0.008252288712852522,0.0023952747179939713,600,
v1.16_ET-B,ExtraTrees,direct_osi,osi_target_t24h,v1.5.6,0.008945556655827767,0.002942551352938061,600,
v1.16_ET-B,ExtraTrees,direct_osi,osi_target_t48h,v1.5.6,0.008235155065001217,0.002345127209350503,600,
v1.17_RF,RandomForest,direct_osi,osi_target_t24h,v1.5.6,0.008873046991512278,0.002996329706079619,600,
v1.17_RF,RandomForest,direct_osi,osi_target_t48h,v1.5.6,0.007937212053998359,0.0023868694879847665,600,
