horizon,model,rmse,mae,n,fold,baseline_rmse,rmse_change_pct_vs_v1.8,improved_vs_v1.8
osi_target_t01h,v1.8_rule,0.006541321178004252,0.002647253429183568,6864,0,0.006541321178004252,0.0,False
osi_target_t01h,lgbm_direct,0.0067469594960947645,0.0027580723020106143,6864,0,0.006541321178004252,3.1436817195582556,False
osi_target_t01h,xgboost_direct,0.006984030869387957,0.0026758179258648163,6864,0,0.006541321178004252,6.767894120110696,False
osi_target_t01h,catboost_direct,0.0067852877639114455,0.002768916192995947,6864,0,0.006541321178004252,3.729622491669593,False
osi_target_t01h,xgboost_component,0.007046926229358897,0.0026087351513350183,6864,0,0.006541321178004252,7.729402632831794,False
osi_target_t01h,catboost_component,0.006467612409786471,0.0025356371359481155,6864,0,0.006541321178004252,-1.126817751521414,True
osi_target_t01h,simple_average,0.0063815391829919015,0.0024976693876950008,6864,0,0.006541321178004252,-2.4426563176508043,True
osi_target_t01h,static_convex,0.006456439902093081,0.002586975378286881,6864,0,0.006541321178004252,-1.2976166985438908,True
osi_target_t01h,safe_convex,0.006460666683331003,0.0025898498836657924,6864,0,0.006541321178004252,-1.233000069534218,True
osi_target_t01h,v1.8_rule,0.01026302044858961,0.0038598805322090255,6721,1,0.01026302044858961,0.0,False
osi_target_t01h,lgbm_direct,0.010571187648977265,0.003787790201269374,6721,1,0.01026302044858961,3.0026949856658103,False
osi_target_t01h,xgboost_direct,0.010106676895112411,0.003386592670270814,6721,1,0.01026302044858961,-1.5233678453664523,True
osi_target_t01h,catboost_direct,0.010471654342169723,0.003520588326717042,6721,1,0.01026302044858961,2.032870290234934,False
osi_target_t01h,xgboost_component,0.009825834968992246,0.0031934956866870017,6721,1,0.01026302044858961,-4.259813003270818,True
osi_target_t01h,catboost_component,0.009896135184981504,0.003360995509214641,6721,1,0.01026302044858961,-3.5748273663288255,True
osi_target_t01h,simple_average,0.009883557947352592,0.003339359544168043,6721,1,0.01026302044858961,-3.6973764510930596,True
osi_target_t01h,static_convex,0.010218979631575883,0.0036923806219997615,6721,1,0.01026302044858961,-0.4291213998290133,True
osi_target_t01h,safe_convex,0.010221500125602374,0.0036955945269848112,6721,1,0.01026302044858961,-0.4045624111851165,True
osi_target_t01h,v1.8_rule,0.012899847398152354,0.0040243548612994865,6864,2,0.012899847398152354,0.0,False
osi_target_t01h,lgbm_direct,0.013206768052934397,0.004068154497334365,6864,2,0.012899847398152354,2.3792580277035125,False
osi_target_t01h,xgboost_direct,0.013261427211930072,0.004136165897446481,6864,2,0.012899847398152354,2.802977450954236,False
osi_target_t01h,catboost_direct,0.012948029528016361,0.003681070523918697,6864,2,0.012899847398152354,0.37350930113257963,False
osi_target_t01h,xgboost_component,0.013358660342521119,0.0040416824796611385,6864,2,0.012899847398152354,3.556731565944582,False
osi_target_t01h,catboost_component,0.012844682917758182,0.0038634595237171296,6864,2,0.012899847398152354,-0.4276366897338124,True
osi_target_t01h,simple_average,0.012832371430404933,0.003774433608448457,6864,2,0.012899847398152354,-0.5230757051985391,True
osi_target_t01h,static_convex,0.012897372345262488,0.0039469867331891045,6864,2,0.012899847398152354,-0.01918668348139807,True
osi_target_t01h,safe_convex,0.012895808669694152,0.003950268860000011,6864,2,0.012899847398152354,-0.03130834290938633,True
