horizon,model,threshold,rmse,mae,n
osi_target_t01h,v1.8_rule,0.0283,0.04835694012959966,0.029978960146099617,1713
osi_target_t01h,lgbm_direct,0.0283,0.04909099431414752,0.03028742134429663,1713
osi_target_t01h,xgboost_direct,0.0283,0.048687027803512396,0.030040916665971636,1713
osi_target_t01h,catboost_direct,0.0283,0.050729822774652766,0.03041928512906649,1713
osi_target_t01h,xgboost_component,0.0283,0.04904992802888766,0.029997803245568524,1713
osi_target_t01h,catboost_component,0.0283,0.0501144842695127,0.029915919095378638,1713
osi_target_t01h,simple_average,0.0283,0.04860151917693251,0.0291562887299837,1713
osi_target_t01h,static_convex,0.0283,0.04897393904559904,0.030150715481071875,1713
osi_target_t01h,safe_convex,0.0283,0.048947975412785595,0.030145063136669648,1713
osi_target_t06h,v1.8_rule,0.0236,0.042223612375256,0.027757535231926988,1652
osi_target_t06h,lgbm_direct,0.0236,0.04321257759195849,0.028045918731034146,1652
osi_target_t06h,xgboost_direct,0.0236,0.04288212130795215,0.02807989083847155,1652
osi_target_t06h,catboost_direct,0.0236,0.04300388641766375,0.027289614665808194,1652
osi_target_t06h,xgboost_component,0.0236,0.0431051053842319,0.028135633703787098,1652
osi_target_t06h,catboost_component,0.0236,0.04493215314654923,0.029134656937122368,1652
osi_target_t06h,simple_average,0.0236,0.04256926635846643,0.02741290935150093,1652
osi_target_t06h,static_convex,0.0236,0.042316623230507174,0.027620478537749245,1652
osi_target_t06h,safe_convex,0.0236,0.04231498088935895,0.027631788809060132,1652
osi_target_t24h,v1.8_rule,0.0154,0.034383846492070436,0.023368625013955608,1440
osi_target_t24h,lgbm_direct,0.0154,0.03471962095073862,0.023544019354931656,1440
osi_target_t24h,xgboost_direct,0.0154,0.03535112011519944,0.023331858434309547,1440
osi_target_t24h,catboost_direct,0.0154,0.03509162581448876,0.023776470064565312,1440
osi_target_t24h,xgboost_component,0.0154,0.03505862099923497,0.022877911347936406,1440
osi_target_t24h,catboost_component,0.0154,0.0349106115933814,0.02330368436145754,1440
osi_target_t24h,simple_average,0.0154,0.034662332190549074,0.023062153994417706,1440
osi_target_t24h,static_convex,0.0154,0.03476886443993241,0.023428018387649865,1440
osi_target_t24h,safe_convex,0.0154,0.03474935312419152,0.023425066842260762,1440
osi_target_t48h,v1.8_rule,0.0099,0.0317458753451752,0.019713120381094497,1156
osi_target_t48h,lgbm_direct,0.0099,0.031873134376755284,0.01981753264148785,1156
osi_target_t48h,xgboost_direct,0.0099,0.033457178055464214,0.020714120242876853,1156
osi_target_t48h,catboost_direct,0.0099,0.03335595300421822,0.02066517176891929,1156
osi_target_t48h,xgboost_component,0.0099,0.033330054870908614,0.02061517021718318,1156
osi_target_t48h,catboost_component,0.0099,0.03264409933351114,0.020069148479355096,1156
osi_target_t48h,simple_average,0.0099,0.0326415550145209,0.020141493156588197,1156
osi_target_t48h,static_convex,0.0099,0.03237820392108773,0.01986986948149769,1156
osi_target_t48h,safe_convex,0.0099,0.03229715296280489,0.019846357721483184,1156
