horizon,model,rmse,mae,n,rmse_change_pct_vs_v1.8,mae_change_pct_vs_v1.8
osi_target_t01h,v1.8_rule,0.011676613766703986,0.003502269606663691,34177,0.0,0.0
osi_target_t01h,lgbm_direct,0.011979379161386963,0.0035894603675201875,34177,2.59292120757062,2.489550224534409
osi_target_t01h,xgboost_direct,0.012043940713067153,0.003498229225986755,34177,3.145834517628776,-0.11536463866883562
osi_target_t01h,catboost_direct,0.012228192044245589,0.003427025315195176,34177,4.72378626682366,-2.14844372133286
osi_target_t01h,xgboost_component,0.012039457081452815,0.00341051287725447,34177,3.107436128301866,-2.6199219281872965
osi_target_t01h,catboost_component,0.01208685675349531,0.0033747319479064002,34177,3.513372926328495,-3.641571697239643
osi_target_t01h,simple_average,0.011763358429018045,0.0032989236252286276,34177,0.7428922806491434,-5.806120152719307
osi_target_t01h,static_convex,0.011820623277095377,0.0034259304349186447,34177,1.2333156963882486,-2.179705742807392
osi_target_t01h,safe_convex,0.011813478565105107,0.0034273704766731306,34177,1.1721274775003065,-2.1385883556209295
osi_target_t06h,v1.8_rule,0.01032059984086345,0.003300881630204454,32982,0.0,0.0
osi_target_t06h,lgbm_direct,0.010676993494381172,0.0035510141183561625,32982,3.4532261594584446,7.577747892044684
osi_target_t06h,xgboost_direct,0.010660518030069762,0.00326073812238936,32982,3.2935894661901166,-1.2161450276727326
osi_target_t06h,catboost_direct,0.010716768612631624,0.0033392427272546164,32982,3.8386215711956995,1.1621470063979844
osi_target_t06h,xgboost_component,0.01065798817947317,0.0032209649490989437,32982,3.2690768347965804,-2.421070794367153
osi_target_t06h,catboost_component,0.010939826864888202,0.0032311499764815068,32982,5.999913121066669,-2.112516034651879
osi_target_t06h,simple_average,0.010423895132057692,0.0031558095970616986,32982,1.0008651898822274,-4.394948059187742
osi_target_t06h,static_convex,0.010392878137700798,0.00326693144569326,32982,0.7003303873014177,-1.028518690295821
osi_target_t06h,safe_convex,0.010390576200597737,0.003267429742370311,32982,0.6780260916349201,-1.013422824012955
osi_target_t24h,v1.8_rule,0.008372823768376926,0.0029248130640176667,28680,0.0,0.0
osi_target_t24h,lgbm_direct,0.008463831869463107,0.0029427287130505816,28680,1.086946334997596,0.6125399689067779
osi_target_t24h,xgboost_direct,0.008712558791012303,0.0027131042259427177,28680,4.05759194309705,-7.23837159644437
osi_target_t24h,catboost_direct,0.008683365643492837,0.0027345724107400073,28680,3.7089264471179773,-6.504369650767883
osi_target_t24h,xgboost_component,0.008580166926726196,0.0026422016036933963,28680,2.476382688626244,-9.662547798390275
osi_target_t24h,catboost_component,0.00852713389463527,0.002622310912106623,28680,1.8429878679777412,-10.342614905292846
osi_target_t24h,simple_average,0.008424653377037312,0.0026109498873011783,28680,0.6190218508615786,-10.731050834590794
osi_target_t24h,static_convex,0.008443706671468596,0.002816922264942104,28680,0.8465830053581813,-3.688810078253635
osi_target_t24h,safe_convex,0.00843757288024612,0.002825312584765577,28680,0.7733246711072894,-3.401943203693536
osi_target_t48h,v1.8_rule,0.007593428433818521,0.0023066625802577725,22944,0.0,0.0
osi_target_t48h,lgbm_direct,0.007644415252022217,0.0023030616654518086,22944,0.6714597845765891,-0.15610929993764566
osi_target_t48h,xgboost_direct,0.007926178033315738,0.0021221479896377836,22944,4.382073293998068,-7.999201625725815
osi_target_t48h,catboost_direct,0.00789475189457627,0.0021250738984372767,22944,3.9682136123882605,-7.872355643806516
osi_target_t48h,xgboost_component,0.007858128798568589,0.002069537979591419,22944,3.4859137352395875,-10.2799864486402
osi_target_t48h,catboost_component,0.0077031310054938105,0.00203672876490432,22944,1.4447040968571079,-11.702353767029383
osi_target_t48h,simple_average,0.007700121848271035,0.0020437430383301435,22944,1.405075656963306,-11.398266230089337
osi_target_t48h,static_convex,0.0076871136454487515,0.0022243321698682725,22944,1.2337669663545991,-3.5692437677772304
osi_target_t48h,safe_convex,0.007673923605883991,0.002233780818874219,22944,1.0600636164156407,-3.1596195302829533
