horizon,model,rmse,mae,n,fipsCode
osi_target_t01h,v1.8_rule,0.006423160936726885,0.003654681472668231,143,18009
osi_target_t01h,simple_average,0.005840042409438954,0.003199955258394304,143,18009
osi_target_t01h,tail_protected,0.006423160936726885,0.003654681472668231,143,18009
osi_target_t01h,v1.8_rule,0.02968268551958135,0.013822389651887194,143,18013
osi_target_t01h,simple_average,0.029447143888174352,0.013162324910099702,143,18013
osi_target_t01h,tail_protected,0.02968268551958135,0.013822389651887194,143,18013
osi_target_t01h,v1.8_rule,0.0016363039960650702,0.0007306372337483934,143,18023
osi_target_t01h,simple_average,0.0013198528926619405,0.0005401119373323294,143,18023
osi_target_t01h,tail_protected,0.0016363039960650702,0.0007306372337483934,143,18023
osi_target_t01h,v1.8_rule,0.011980142895370948,0.002160708280293888,143,18025
osi_target_t01h,simple_average,0.01234751734204195,0.0022415778769541606,143,18025
osi_target_t01h,tail_protected,0.011980142895370948,0.002160708280293888,143,18025
osi_target_t01h,v1.8_rule,0.0032104120777484216,0.0012785406803098244,143,18027
osi_target_t01h,simple_average,0.003050382034520929,0.0012293984952569314,143,18027
osi_target_t01h,tail_protected,0.0032104120777484216,0.0012785406803098244,143,18027
osi_target_t01h,v1.8_rule,0.0016949005838364716,0.0009156654578061941,143,18029
osi_target_t01h,simple_average,0.0014385762730569848,0.0005209781040721967,143,18029
osi_target_t01h,tail_protected,0.0016949005838364716,0.0009156654578061941,143,18029
osi_target_t01h,v1.8_rule,0.003185070436265886,0.0013173914892495244,143,18033
osi_target_t01h,simple_average,0.0032127169038565838,0.0013014667305028787,143,18033
osi_target_t01h,tail_protected,0.003185070436265886,0.0013173914892495244,143,18033
osi_target_t01h,v1.8_rule,0.0021506864566633484,0.001263056891516061,143,18035
osi_target_t01h,simple_average,0.0020450681269515384,0.0009937156180925939,143,18035
osi_target_t01h,tail_protected,0.0021506864566633484,0.001263056891516061,143,18035
osi_target_t01h,v1.8_rule,0.0028047970558023297,0.0011892401881683267,143,18037
osi_target_t01h,simple_average,0.0024364177977142555,0.0010065640354206087,143,18037
osi_target_t01h,tail_protected,0.0028047970558023297,0.0011892401881683267,143,18037
osi_target_t01h,v1.8_rule,0.0021143529131854473,0.001611954302498564,143,18039
osi_target_t01h,simple_average,0.0018161671296968828,0.0011525368883367644,143,18039
osi_target_t01h,tail_protected,0.0021143529131854473,0.001611954302498564,143,18039
osi_target_t01h,v1.8_rule,0.005170684999334257,0.0020739991525561665,143,18041
osi_target_t01h,simple_average,0.004940394276374379,0.0018013379847911406,143,18041
osi_target_t01h,tail_protected,0.005170684999334257,0.0020739991525561665,143,18041
osi_target_t01h,v1.8_rule,0.002086815302590899,0.0008812290598355806,143,18043
osi_target_t01h,simple_average,0.0019151305083797369,0.0007942063278970923,143,18043
osi_target_t01h,tail_protected,0.002086815302590899,0.0008812290598355806,143,18043
osi_target_t01h,v1.8_rule,0.002003561084968036,0.0008105828053118236,143,18045
osi_target_t01h,simple_average,0.0015065288102948469,0.0005687058554573629,143,18045
osi_target_t01h,tail_protected,0.002003561084968036,0.0008105828053118236,143,18045
osi_target_t01h,v1.8_rule,0.0031219754274265364,0.0013415685778660465,143,18047
osi_target_t01h,simple_average,0.003135690257521265,0.0012450888858593122,143,18047
osi_target_t01h,tail_protected,0.0031219754274265364,0.0013415685778660465,143,18047
osi_target_t01h,v1.8_rule,0.001591388191045934,0.0008765010444269012,143,18051
osi_target_t01h,simple_average,0.00123989281905885,0.0003582525556820857,143,18051
osi_target_t01h,tail_protected,0.001591388191045934,0.0008765010444269012,143,18051
osi_target_t01h,v1.8_rule,0.0012541190201709597,0.0004325859049687198,143,18059
osi_target_t01h,simple_average,0.0011183552751581165,0.0003377998153266959,143,18059
osi_target_t01h,tail_protected,0.0012541190201709597,0.0004325859049687198,143,18059
osi_target_t01h,v1.8_rule,0.003966269821228861,0.0016125523338364187,143,18061
osi_target_t01h,simple_average,0.0039150046614179436,0.0015266382802478844,143,18061
osi_target_t01h,tail_protected,0.003966269821228861,0.0016125523338364187,143,18061
osi_target_t01h,v1.8_rule,0.0021753774966153864,0.0009257754830668504,143,18065
osi_target_t01h,simple_average,0.002118766612974404,0.0007978241872106765,143,18065
osi_target_t01h,tail_protected,0.0021753774966153864,0.0009257754830668504,143,18065
osi_target_t01h,v1.8_rule,0.0017115662839249676,0.0005212130956050757,143,18067
osi_target_t01h,simple_average,0.0017177926101125751,0.00044350591062125935,143,18067
osi_target_t01h,tail_protected,0.0017115662839249676,0.0005212130956050757,143,18067
osi_target_t01h,v1.8_rule,0.001023049361312369,0.0005242800924774474,143,18069
