horizon,model,rmse,mae,n,fold,baseline_rmse,rmse_change_pct_vs_v1.8,improved_vs_v1.8
osi_target_t01h,v1.8_rule,0.006541321178004252,0.002647253429183568,6864,0,0.006541321178004252,0.0,False
osi_target_t01h,simple_average,0.0063815391829919015,0.0024976693876950008,6864,0,0.006541321178004252,-2.4426563176508043,True
osi_target_t01h,tail_protected,0.006541321178004252,0.002647253429183568,6864,0,0.006541321178004252,0.0,False
osi_target_t01h,v1.8_rule,0.01026302044858961,0.0038598805322090255,6721,1,0.01026302044858961,0.0,False
osi_target_t01h,simple_average,0.009883557947352592,0.003339359544168043,6721,1,0.01026302044858961,-3.6973764510930596,True
osi_target_t01h,tail_protected,0.01026302044858961,0.0038598805322090255,6721,1,0.01026302044858961,0.0,False
osi_target_t01h,v1.8_rule,0.012899847398152354,0.0040243548612994865,6864,2,0.012899847398152354,0.0,False
osi_target_t01h,simple_average,0.012832371430404933,0.003774433608448457,6864,2,0.012899847398152354,-0.5230757051985391,True
osi_target_t01h,tail_protected,0.012899847398152354,0.0040243548612994865,6864,2,0.012899847398152354,0.0,False
osi_target_t01h,v1.8_rule,0.015796981008485887,0.003823243061489669,6864,3,0.015796981008485887,0.0,False
osi_target_t01h,simple_average,0.01607198062816693,0.003832612432063913,6864,3,0.015796981008485887,1.7408365530940273,False
osi_target_t01h,tail_protected,0.015796981008485887,0.003823243061489669,6864,3,0.015796981008485887,0.0,False
osi_target_t01h,v1.8_rule,0.010816713121384675,0.0031640663767522376,6864,4,0.010816713121384675,0.0,False
osi_target_t01h,simple_average,0.01138631556672993,0.0030513855687456294,6864,4,0.010816713121384675,5.265947603058341,False
osi_target_t01h,tail_protected,0.010816713121384675,0.0031640663767522376,6864,4,0.010816713121384675,0.0,False
osi_target_t06h,v1.8_rule,0.006391079868926069,0.002547593902723483,6624,0,0.006391079868926069,0.0,False
osi_target_t06h,simple_average,0.006348921715472568,0.0024187140664055327,6624,0,0.006391079868926069,-0.6596405352165546,True
osi_target_t06h,tail_protected,0.006391079868926069,0.002547593902723483,6624,0,0.006391079868926069,0.0,False
osi_target_t06h,v1.8_rule,0.009842708287427995,0.0036942997724429536,6486,1,0.009842708287427995,0.0,False
osi_target_t06h,simple_average,0.009167317094801687,0.0031151803632070807,6486,1,0.009842708287427995,-6.861843030428727,True
osi_target_t06h,tail_protected,0.009842708287427995,0.0036942997724429536,6486,1,0.009842708287427995,0.0,False
osi_target_t06h,v1.8_rule,0.012832778950453254,0.0039346099358838465,6624,2,0.012832778950453254,0.0,False
osi_target_t06h,simple_average,0.012965867120920578,0.003857731888910455,6624,2,0.012832778950453254,1.0370954801073973,False
osi_target_t06h,tail_protected,0.012832778950453254,0.0039346099358838465,6624,2,0.012832778950453254,0.0,False
osi_target_t06h,v1.8_rule,0.012394881928140122,0.003438409401754992,6624,3,0.012394881928140122,0.0,False
osi_target_t06h,simple_average,0.012912415651825151,0.0035728825400662533,6624,3,0.012394881928140122,4.175382441603337,False
osi_target_t06h,tail_protected,0.012394881928140122,0.003438409401754992,6624,3,0.012394881928140122,0.0,False
osi_target_t06h,v1.8_rule,0.008736992392214486,0.002897691349513629,6624,4,0.008736992392214486,0.0,False
osi_target_t06h,simple_average,0.009142339861653588,0.0028136926843472,6624,4,0.008736992392214486,4.639439423116665,False
osi_target_t06h,tail_protected,0.008736992392214486,0.002897691349513629,6624,4,0.008736992392214486,0.0,False
osi_target_t24h,v1.8_rule,0.004676006104653076,0.002068686988798557,5760,0,0.004676006104653076,0.0,False
