horizon,model,rmse,mae,n,rmse_change_pct_vs_v1.8,mae_change_pct_vs_v1.8
osi_target_t01h,v1.8_rule,0.011676613766703986,0.003502269606663691,34177,0.0,0.0
osi_target_t01h,simple_average,0.011763358429018045,0.0032989236252286276,34177,0.7428922806491434,-5.806120152719307
osi_target_t01h,tail_protected,0.011676613766703986,0.003502269606663691,34177,0.0,0.0
osi_target_t06h,v1.8_rule,0.01032059984086345,0.003300881630204454,32982,0.0,0.0
osi_target_t06h,simple_average,0.010423895132057692,0.0031558095970616986,32982,1.0008651898822274,-4.394948059187742
osi_target_t06h,tail_protected,0.01032059984086345,0.003300881630204454,32982,0.0,0.0
osi_target_t24h,v1.8_rule,0.008372823768376926,0.0029248130640176667,28680,0.0,0.0
osi_target_t24h,simple_average,0.008424653377037312,0.0026109498873011783,28680,0.6190218508615786,-10.731050834590794
osi_target_t24h,tail_protected,0.008208972775349635,0.002576572092079163,28680,-1.9569382750671882,-11.906435191456055
osi_target_t48h,v1.8_rule,0.007593428433818521,0.0023066625802577725,22944,0.0,0.0
osi_target_t48h,simple_average,0.007700121848271035,0.0020437430383301435,22944,1.405075656963306,-11.398266230089337
osi_target_t48h,tail_protected,0.007550371388803473,0.0020489713484549915,22944,-0.5670303656683862,-11.171604984981531
