scope,fold,horizon,threshold,tail_quantile
outer,0,osi_target_t01h,,
outer,1,osi_target_t01h,,
outer,2,osi_target_t01h,,
outer,3,osi_target_t01h,,
outer,4,osi_target_t01h,,
final,all,osi_target_t01h,,
outer,0,osi_target_t06h,,
outer,1,osi_target_t06h,,
outer,2,osi_target_t06h,,
outer,3,osi_target_t06h,,
outer,4,osi_target_t06h,,
final,all,osi_target_t06h,,
outer,0,osi_target_t24h,0.016022358836091474,0.95
outer,1,osi_target_t24h,0.02000994872652051,0.95
outer,2,osi_target_t24h,0.015683189092139154,0.95
outer,3,osi_target_t24h,0.015840006827799017,0.95
outer,4,osi_target_t24h,0.016477485331178845,0.95
final,all,osi_target_t24h,0.016752192502383582,0.95
outer,0,osi_target_t48h,0.012384705967266376,0.95
outer,1,osi_target_t48h,0.015554805907291837,0.95
outer,2,osi_target_t48h,0.011306512330508296,0.95
outer,3,osi_target_t48h,0.01210319853212704,0.95
outer,4,osi_target_t48h,0.01257572831574742,0.95
final,all,osi_target_t48h,0.01270889239880478,0.95
