horizon,model,rmse,mae,n,fipsCode
osi_target_t01h,v1.12,0.006423160936726885,0.003654681472668231,143,18009
osi_target_t01h,weighted_alignment,0.0063136909843102855,0.0035499684147081794,143,18009
osi_target_t01h,weighted_alignment_plus_tail,0.0063136909843102855,0.0035499684147081794,143,18009
osi_target_t01h,v1.12,0.02968268551958135,0.013822389651887194,143,18013
osi_target_t01h,weighted_alignment,0.03022371036247303,0.014276624328703616,143,18013
osi_target_t01h,weighted_alignment_plus_tail,0.03022371036247303,0.014276624328703616,143,18013
osi_target_t01h,v1.12,0.0016363039960650702,0.0007306372337483934,143,18023
osi_target_t01h,weighted_alignment,0.0015935915796825104,0.0008231268626752128,143,18023
osi_target_t01h,weighted_alignment_plus_tail,0.0015935915796825104,0.0008231268626752128,143,18023
osi_target_t01h,v1.12,0.011980142895370948,0.002160708280293888,143,18025
osi_target_t01h,weighted_alignment,0.012031020612443856,0.002179396199106863,143,18025
osi_target_t01h,weighted_alignment_plus_tail,0.012031020612443856,0.002179396199106863,143,18025
osi_target_t01h,v1.12,0.0032104120777484216,0.0012785406803098244,143,18027
osi_target_t01h,weighted_alignment,0.0031294126014613176,0.0012426913543435538,143,18027
osi_target_t01h,weighted_alignment_plus_tail,0.0031294126014613176,0.0012426913543435538,143,18027
osi_target_t01h,v1.12,0.0016949005838364716,0.0009156654578061941,143,18029
osi_target_t01h,weighted_alignment,0.0020040217547059418,0.0014762817284867035,143,18029
osi_target_t01h,weighted_alignment_plus_tail,0.0020040217547059418,0.0014762817284867035,143,18029
osi_target_t01h,v1.12,0.003185070436265886,0.0013173914892495244,143,18033
osi_target_t01h,weighted_alignment,0.0033026363978561814,0.001665949886967718,143,18033
osi_target_t01h,weighted_alignment_plus_tail,0.0033026363978561814,0.001665949886967718,143,18033
osi_target_t01h,v1.12,0.0021506864566633484,0.001263056891516061,143,18035
osi_target_t01h,weighted_alignment,0.002392439808145292,0.0017780470312102905,143,18035
osi_target_t01h,weighted_alignment_plus_tail,0.002392439808145292,0.0017780470312102905,143,18035
osi_target_t01h,v1.12,0.0028047970558023297,0.0011892401881683267,143,18037
osi_target_t01h,weighted_alignment,0.0026882723498070984,0.0011684543766939072,143,18037
osi_target_t01h,weighted_alignment_plus_tail,0.0026882723498070984,0.0011684543766939072,143,18037
osi_target_t01h,v1.12,0.0021143529131854473,0.001611954302498564,143,18039
osi_target_t01h,weighted_alignment,0.002043647665864731,0.0015066883524801453,143,18039
osi_target_t01h,weighted_alignment_plus_tail,0.002043647665864731,0.0015066883524801453,143,18039
osi_target_t01h,v1.12,0.005170684999334257,0.0020739991525561665,143,18041
osi_target_t01h,weighted_alignment,0.005249928619159754,0.0020717389708163705,143,18041
osi_target_t01h,weighted_alignment_plus_tail,0.005249928619159754,0.0020717389708163705,143,18041
osi_target_t01h,v1.12,0.002086815302590899,0.0008812290598355806,143,18043
osi_target_t01h,weighted_alignment,0.0022881703141938384,0.000967596603613366,143,18043
osi_target_t01h,weighted_alignment_plus_tail,0.0022881703141938384,0.000967596603613366,143,18043
osi_target_t01h,v1.12,0.002003561084968036,0.0008105828053118236,143,18045
osi_target_t01h,weighted_alignment,0.0022423197828655757,0.0009366927611721888,143,18045
osi_target_t01h,weighted_alignment_plus_tail,0.0022423197828655757,0.0009366927611721888,143,18045
osi_target_t01h,v1.12,0.0031219754274265364,0.0013415685778660465,143,18047
osi_target_t01h,weighted_alignment,0.003048382944844283,0.001210111174903543,143,18047
osi_target_t01h,weighted_alignment_plus_tail,0.003048382944844283,0.001210111174903543,143,18047
osi_target_t01h,v1.12,0.001591388191045934,0.0008765010444269012,143,18051
osi_target_t01h,weighted_alignment,0.0019439564882444802,0.0014130722918977514,143,18051
osi_target_t01h,weighted_alignment_plus_tail,0.0019439564882444802,0.0014130722918977514,143,18051
osi_target_t01h,v1.12,0.0012541190201709597,0.0004325859049687198,143,18059
osi_target_t01h,weighted_alignment,0.00124364663585799,0.00044996972570201117,143,18059
osi_target_t01h,weighted_alignment_plus_tail,0.00124364663585799,0.00044996972570201117,143,18059
osi_target_t01h,v1.12,0.003966269821228861,0.0016125523338364187,143,18061
osi_target_t01h,weighted_alignment,0.003994963781330389,0.0016163507273384157,143,18061
osi_target_t01h,weighted_alignment_plus_tail,0.003994963781330389,0.0016163507273384157,143,18061
osi_target_t01h,v1.12,0.0021753774966153864,0.0009257754830668504,143,18065
osi_target_t01h,weighted_alignment,0.0021962589263687963,0.0008737001263340073,143,18065
osi_target_t01h,weighted_alignment_plus_tail,0.0021962589263687963,0.0008737001263340073,143,18065
osi_target_t01h,v1.12,0.0017115662839249676,0.0005212130956050757,143,18067
osi_target_t01h,weighted_alignment,0.0017569871683069701,0.0005374721163765786,143,18067
osi_target_t01h,weighted_alignment_plus_tail,0.0017569871683069701,0.0005374721163765786,143,18067
osi_target_t01h,v1.12,0.001023049361312369,0.0005242800924774474,143,18069
osi_target_t01h,weighted_alignment,0.0010595584035250575,0.0005335775830283962,143,18069
osi_target_t01h,weighted_alignment_plus_tail,0.0010595584035250575,0.0005335775830283962,143,18069
osi_target_t01h,v1.12,0.0038879578638369265,0.0015674088078421714,143,18071
osi_target_t01h,weighted_alignment,0.00452185934491665,0.001832586365753053,143,18071
osi_target_t01h,weighted_alignment_plus_tail,0.00452185934491665,0.001832586365753053,143,18071
osi_target_t01h,v1.12,0.0038453592997056475,0.0022962742464135923,143,18073
osi_target_t01h,weighted_alignment,0.004099943534278577,0.0024472607064847302,143,18073
osi_target_t01h,weighted_alignment_plus_tail,0.004099943534278577,0.0024472607064847302,143,18073
osi_target_t01h,v1.12,0.004929562191929267,0.0014831180534448493,143,18077
osi_target_t01h,weighted_alignment,0.004936197333215847,0.0014861563054374461,143,18077
osi_target_t01h,weighted_alignment_plus_tail,0.004936197333215847,0.0014861563054374461,143,18077
osi_target_t01h,v1.12,0.0034568296485317208,0.0016421378148241575,143,18083
osi_target_t01h,weighted_alignment,0.0033909348433665974,0.0016149673040810417,143,18083
osi_target_t01h,weighted_alignment_plus_tail,0.0033909348433665974,0.0016149673040810417,143,18083
osi_target_t01h,v1.12,0.005056687402420574,0.004204315260127714,143,18085
osi_target_t01h,weighted_alignment,0.004382662956049549,0.0035733427764605584,143,18085
