horizon,model,threshold,rmse,mae,n
osi_target_t01h,v1.12,0.0283,0.04835694012959966,0.029978960146099617,1713
osi_target_t01h,weighted_alignment,0.0283,0.04841432479696669,0.030154901584251895,1713
osi_target_t01h,weighted_alignment_plus_tail,0.0283,0.04841432479696669,0.030154901584251895,1713
osi_target_t06h,v1.12,0.0236,0.042223612375256,0.027757535231926988,1652
osi_target_t06h,weighted_alignment,0.0236,0.04231922606189445,0.0279926001855895,1652
osi_target_t06h,weighted_alignment_plus_tail,0.0236,0.04231922606189445,0.0279926001855895,1652
osi_target_t24h,v1.12,0.0154,0.033843886578561355,0.02266599901186152,1440
osi_target_t24h,weighted_alignment,0.0154,0.034421730310173364,0.023165619710380763,1440
osi_target_t24h,weighted_alignment_plus_tail,0.0154,0.033843886578561355,0.02266599901186152,1440
osi_target_t48h,v1.12,0.0099,0.031718291702869085,0.019650486973729564,1156
osi_target_t48h,weighted_alignment,0.0099,0.032142734665702645,0.019507387987823362,1156
osi_target_t48h,weighted_alignment_plus_tail,0.0099,0.031718291702869085,0.019650486973729564,1156
