horizon,subset,model,rmse,mae,n
osi_target_t01h,actual_top5,v1.12,0.04835694012959966,0.029978960146099617,1713
osi_target_t01h,actual_top5,tail_specialist_nested,0.04861513673973833,0.030117575947191794,1713
osi_target_t01h,predicted_top5,v1.12,0.053118141709492056,0.030858529524581714,988
osi_target_t01h,predicted_top5,tail_specialist_nested,0.05377874251907066,0.03132826009646686,988
osi_target_t06h,actual_top5,v1.12,0.042223612375256,0.027757535231926988,1652
osi_target_t06h,actual_top5,tail_specialist_nested,0.042648239542604736,0.027855527617061383,1652
osi_target_t06h,predicted_top5,v1.12,0.0453000073964157,0.02827809693807936,947
osi_target_t06h,predicted_top5,tail_specialist_nested,0.046275311072658386,0.028625612863396623,947
osi_target_t24h,actual_top5,v1.12,0.033843886578561355,0.02266599901186152,1440
osi_target_t24h,actual_top5,tail_specialist_nested,0.033843886578561355,0.02266599901186152,1440
osi_target_t24h,predicted_top5,v1.12,0.03118291993282752,0.020569513108669876,823
osi_target_t24h,predicted_top5,tail_specialist_nested,0.03118291993282752,0.020569513108669876,823
osi_target_t48h,actual_top5,v1.12,0.031718291702869085,0.019650486973729564,1156
osi_target_t48h,actual_top5,tail_specialist_nested,0.031718291702869085,0.019650486973729564,1156
osi_target_t48h,predicted_top5,v1.12,0.033823057957603354,0.021041960312639524,612
osi_target_t48h,predicted_top5,tail_specialist_nested,0.033823057957603354,0.021041960312639524,612
