horizon,model,rmse,mae,n,fipsCode
osi_target_t24h,v1.8_rule,0.002762229398671642,0.0016298963096017323,120,18009
osi_target_t24h,v1.12,0.002353608262439342,0.0013860089970777942,120,18009
osi_target_t24h,RF,0.002759236996805672,0.001615080209593337,120,18009
osi_target_t24h,v1.8_rule,0.03323935719777512,0.016086206134655397,120,18013
osi_target_t24h,v1.12,0.03242683168859347,0.014755866671806674,120,18013
osi_target_t24h,RF,0.03246824709959127,0.015807843173882737,120,18013
osi_target_t24h,v1.8_rule,0.0017180787266366953,0.0010187194565955064,120,18023
osi_target_t24h,v1.12,0.001263181751950949,0.0005803381212467931,120,18023
osi_target_t24h,RF,0.0016611982430780974,0.0007756183472442103,120,18023
osi_target_t24h,v1.8_rule,0.01313634004161296,0.002687104894727832,120,18025
osi_target_t24h,v1.12,0.013503400788462322,0.002761273696524238,120,18025
osi_target_t24h,RF,0.013622764656361494,0.0026251640059437287,120,18025
osi_target_t24h,v1.8_rule,0.003898385887501892,0.0017361814832498402,120,18027
osi_target_t24h,v1.12,0.0036374049270948305,0.001452149455235708,120,18027
osi_target_t24h,RF,0.004426339470804653,0.0020332720681859725,120,18027
osi_target_t24h,v1.8_rule,0.0026121982440554053,0.00226971542792404,120,18029
osi_target_t24h,v1.12,0.001688052088721397,0.000620129319992128,120,18029
osi_target_t24h,RF,0.0019121370764443272,0.0006992530075188445,120,18029
osi_target_t24h,v1.8_rule,0.0036824866278592485,0.0021658268149536424,120,18033
osi_target_t24h,v1.12,0.0036031102256720775,0.0013287608404420259,120,18033
osi_target_t24h,RF,0.003657902037046094,0.0013672560171029053,120,18033
osi_target_t24h,v1.8_rule,0.0025980590600900473,0.0020099391918053443,120,18035
osi_target_t24h,v1.12,0.001990791264310525,0.0007406643583554649,120,18035
osi_target_t24h,RF,0.001846854476365072,0.0007029932608935602,120,18035
osi_target_t24h,v1.8_rule,0.0030635888642532253,0.0014992590108871275,120,18037
osi_target_t24h,v1.12,0.0026467893041546282,0.0012131521050963072,120,18037
osi_target_t24h,RF,0.003887438850086933,0.001799816324248566,120,18037
osi_target_t24h,v1.8_rule,0.0018000558367992669,0.0012791800896456026,120,18039
osi_target_t24h,v1.12,0.0015399027137713698,0.0008478635559563586,120,18039
osi_target_t24h,RF,0.0017962480902993848,0.001479392264152877,120,18039
osi_target_t24h,v1.8_rule,0.005759589453098009,0.0023352885325945614,120,18041
osi_target_t24h,v1.12,0.005928093357614986,0.0023284461574646646,120,18041
osi_target_t24h,RF,0.006008785130883005,0.002396178862285638,120,18041
osi_target_t24h,v1.8_rule,0.0026029473944975865,0.0011347756755184857,120,18043
osi_target_t24h,v1.12,0.0023386357023633493,0.001063721610020556,120,18043
osi_target_t24h,RF,0.0022388783696765304,0.0009450696768281294,120,18043
osi_target_t24h,v1.8_rule,0.0031570286218854733,0.001508016089433309,120,18045
osi_target_t24h,v1.12,0.0024998501838807714,0.0010063995112982753,120,18045
osi_target_t24h,RF,0.003053689928716923,0.0012287251733519929,120,18045
osi_target_t24h,v1.8_rule,0.003389742538030669,0.0015096490823810098,120,18047
osi_target_t24h,v1.12,0.003382206038767147,0.0014602691639959743,120,18047
osi_target_t24h,RF,0.0038029783501517408,0.0014457486842239637,120,18047
osi_target_t24h,v1.8_rule,0.0025332684866599684,0.0021639686602535585,120,18051
osi_target_t24h,v1.12,0.0014684496017504482,0.0005027196405277078,120,18051
osi_target_t24h,RF,0.0013415145799564026,0.0005005151913328377,120,18051
osi_target_t24h,v1.8_rule,0.0013236319112879872,0.0005207475586413941,120,18059
osi_target_t24h,v1.12,0.001198116377387095,0.00037734131029683294,120,18059
osi_target_t24h,RF,0.0012611247594055451,0.00042715296545654547,120,18059
osi_target_t24h,v1.8_rule,0.004200923944198266,0.0017943136787035917,120,18061
osi_target_t24h,v1.12,0.0043804269229276134,0.0017991146724487689,120,18061
osi_target_t24h,RF,0.004527775643617668,0.0020333377859625234,120,18061
