config,horizon,rank,feature,importance
RF,osi_target_t24h,1,hours_since_obs,0.08600434293104117
RF,osi_target_t24h,2,pct_forest,0.07913240373613153
RF,osi_target_t24h,3,cumul_gust_since_onset,0.06567459963414049
RF,osi_target_t24h,4,mslma_t,0.04735526008525511
RF,osi_target_t24h,5,gust_x_hso,0.04348953485511352
RF,osi_target_t24h,6,last_P_t,0.04246300724268632
RF,osi_target_t24h,7,last_outage_pct,0.03184993498795313
RF,osi_target_t24h,8,total_tp_next_24h,0.027614956217471013
RF,osi_target_t24h,9,last_osi,0.026254385718830268
RF,osi_target_t24h,10,sp_t,0.020332485416320815
RF,osi_target_t24h,11,tp_rate_next_24h,0.01967379498726915
RF,osi_target_t24h,12,gust_gt30_since_onset,0.018451074601363762
RF,osi_target_t24h,13,last_D_t,0.018281734925000567
RF,osi_target_t24h,14,min_t2m_next_48h,0.01609223016741366
RF,osi_target_t24h,15,wind_speed_max_next_48h,0.014761907041106378
RF,osi_target_t24h,16,min_t2m_next_24h,0.013727966846433555
RF,osi_target_t24h,17,soil_gust_x_phase,0.012373633131918289
RF,osi_target_t24h,18,gust_at_t48h,0.012261736451998403
RF,osi_target_t24h,19,t2m_at_t48h,0.011947294073458273
RF,osi_target_t24h,20,d2m_t,0.011393762266082113
RF,osi_target_t24h,21,t2m_at_t24h,0.011376476996738029
RF,osi_target_t24h,22,dewpoint_c_t,0.011376027012467604
RF,osi_target_t24h,23,gust_peak4h_mean_next_24h,0.0110945447032121
RF,osi_target_t24h,24,log_customers,0.011033266053424754
RF,osi_target_t24h,25,total_tp_next_48h,0.009690909102591003
RF,osi_target_t24h,26,cumul_tp_since_onset,0.00911077059656949
RF,osi_target_t24h,27,gust_gt30_frac_next_48h,0.008999715500960244
RF,osi_target_t24h,28,osi_trend_last6h,0.008724926436249907
RF,osi_target_t24h,29,pct_unmapped,0.008226603980707112
RF,osi_target_t24h,30,gust_x_phase,0.008213869117138681
RF,osi_target_t24h,31,gust_max_next_24h,0.007708322732871718
RF,osi_target_t24h,32,tp_rate_next_48h,0.007317685772581258
RF,osi_target_t24h,33,pct_forest_classified,0.007087340973226537
RF,osi_target_t24h,34,gust_gt30_next_48h,0.00651280568305463
RF,osi_target_t24h,35,tree_canopy_std,0.0064545305893687465
RF,osi_target_t24h,36,wind_speed_max_next_24h,0.006223949449505569
RF,osi_target_t24h,37,pop_density,0.0061798687173763404
RF,osi_target_t24h,38,pct_wetland,0.006169353915877898
RF,osi_target_t24h,39,days_since_onset,0.006168632683294515
RF,osi_target_t24h,40,gust_mean_next_48h,0.006142133367802447
RF,osi_target_t24h,41,wind_speed_at_t48h,0.006030322372983765
RF,osi_target_t24h,42,gust_peak4h_mean_next_48h,0.005803459220337439
RF,osi_target_t24h,43,last_N_t,0.00552620323171612
RF,osi_target_t24h,44,soil_moist_t,0.0052506018254502105
RF,osi_target_t24h,45,forest_x_customers,0.0046157563859411145
RF,osi_target_t24h,46,wind_sin_t,0.0044464468838767675
RF,osi_target_t24h,47,gust_mean_next_24h,0.004374262109712731
RF,osi_target_t24h,48,storm_phase,0.00429634991245535
RF,osi_target_t24h,49,gust_last_obs,0.004236401265745237
RF,osi_target_t24h,50,pressure_change_6h,0.004188932993028251
RF,osi_target_t24h,51,wind_speed_max_next_6h,0.004002864880383182
RF,osi_target_t24h,52,min_t2m_next_6h,0.0037910637851949094
RF,osi_target_t24h,53,gust_max_last6h_obs,0.003787356653482407
RF,osi_target_t24h,54,storm_onset_mean_osi,0.0037829582601107375
RF,osi_target_t24h,55,t2m_at_t6h,0.003714981709562706
RF,osi_target_t24h,56,outage_pct_max_72h,0.003636612590936674
RF,osi_target_t24h,57,pct_water,0.003526523425361672
RF,osi_target_t24h,58,wind_speed_at_t24h,0.003493486774682806
RF,osi_target_t24h,59,gust_gt30_frac_next_24h,0.0032467953383340793
RF,osi_target_t24h,60,last_R_t,0.0031869180356697184
RF,osi_target_t24h,61,gust_mean_next_6h,0.003077778547776947
RF,osi_target_t24h,62,storm_onset_max_osi,0.0030705688544117164
RF,osi_target_t24h,63,gust_peak4h_mean_next_6h,0.003044382949350019
RF,osi_target_t24h,64,gust_max_next_48h,0.0029271178344609542
RF,osi_target_t24h,65,hours_since_peak,0.0028575161553923813
RF,osi_target_t24h,66,gust_gt30_next_24h,0.0028560556961560236
RF,osi_target_t24h,67,gust_max_next_6h,0.0027524235113767295
RF,osi_target_t24h,68,lcc_t,0.0026813515709646464
RF,osi_target_t24h,69,tree_canopy_pct,0.002660901487933082
RF,osi_target_t24h,70,temp_change_6h,0.0026445568005342653
RF,osi_target_t24h,71,pct_agriculture,0.0026306257975043873
RF,osi_target_t24h,72,pct_developed,0.0026061639946835663
RF,osi_target_t24h,73,gust_at_t6h,0.0024364652348301667
RF,osi_target_t24h,74,hour_cos,0.0024163686364612035
RF,osi_target_t24h,75,r2_t,0.00241301855700685
RF,osi_target_t24h,76,frac_zero_72h,0.002397051581279296
RF,osi_target_t24h,77,pressure_change_3h,0.002341559346576182
RF,osi_target_t24h,78,gust_max_obs,0.00233761828393998
RF,osi_target_t24h,79,cumul_gust_obs,0.002284362320005034
RF,osi_target_t24h,80,wind_speed_t,0.002273327285288386
RF,osi_target_t24h,81,gust_mean_obs,0.002233167643976399
RF,osi_target_t24h,82,gust_trend_last6h_obs,0.00221076218897746
RF,osi_target_t24h,83,diffuse_rad_t,0.0022105069146021237
RF,osi_target_t24h,84,wind_speed_at_t6h,0.0022101937906661446
RF,osi_target_t24h,85,t2m_at_t1h,0.0022026430562921712
RF,osi_target_t24h,86,blh_t,0.002190758721030259
RF,osi_target_t24h,87,R_t_max_72h,0.002186102767738269
RF,osi_target_t24h,88,gust_at_t24h,0.0021526787980744636
RF,osi_target_t24h,89,gust_gt40_next_24h,0.002100814733557017
RF,osi_target_t24h,90,R_t_mean_72h,0.002077175366256322
RF,osi_target_t24h,91,N_t_max_72h,0.001958266187095088
RF,osi_target_t24h,92,tp_rate_next_6h,0.001865855813829802
RF,osi_target_t24h,93,hour_of_day,0.001862261637650891
RF,osi_target_t24h,94,temp_c_t,0.0018211724478141471
RF,osi_target_t24h,95,pre_event_mean_osi,0.001809292113899037
RF,osi_target_t24h,96,min_t2m_next_1h,0.0017263014964938536
RF,osi_target_t24h,97,wind_speed_max_next_1h,0.0017219510433363412
RF,osi_target_t24h,98,sdswrf_t,0.0017174530642204266
RF,osi_target_t24h,99,outage_pct_mean_72h,0.0016669288876026266
RF,osi_target_t24h,100,osi_max_72h,0.001620492680012151
RF,osi_target_t24h,101,n_utilities,0.0016087819789805736
RF,osi_target_t24h,102,soil_moist_x_gust,0.0015960490926826517
RF,osi_target_t24h,103,N_t_mean_72h,0.0015586612429627025
RF,osi_target_t24h,104,total_tp_next_6h,0.0015405988853116033
RF,osi_target_t24h,105,wind_cos_t,0.0015279117591742043
RF,osi_target_t24h,106,wind_speed_at_t1h,0.0015099149727841625
RF,osi_target_t24h,107,osi_mean_72h,0.0015075649753728464
RF,osi_target_t24h,108,hour_sin,0.0014974526111656945
RF,osi_target_t24h,109,t2m_t,0.0014828744243735367
RF,osi_target_t24h,110,vpd_t,0.0014489014744774487
RF,osi_target_t24h,111,gust_gt40_next_6h,0.0013843589160373046
RF,osi_target_t24h,112,rural_urban_code,0.0013016838999354936
RF,osi_target_t24h,113,osi_std_72h,0.0012792913060821634
RF,osi_target_t24h,114,pre_event_max_outage_pct,0.0011812926388949023
RF,osi_target_t24h,115,gust_gt40_next_48h,0.001175562141470317
RF,osi_target_t24h,116,mcc_t,0.0011317664615611413
RF,osi_target_t24h,117,gust_max_next_1h,0.0011118203805682012
RF,osi_target_t24h,118,direct_rad_t,0.0010706595065591781
RF,osi_target_t24h,119,tp_at_t6h,0.001068628740975626
RF,osi_target_t24h,120,gust_at_t1h,0.0010450104508626739
