horizon,model,rmse,mae,n,fold,baseline_rmse,rmse_change_pct_vs_v1.8,improved_vs_v1.8
osi_target_t24h,v1.8_rule,0.004676006104653076,0.002068686988798557,5760,0,0.004676006104653076,0.0,False
osi_target_t24h,v1.12,0.004547115912935345,0.001882336260677331,5760,0,0.004676006104653076,-2.756416241404658,True
osi_target_t24h,RF,0.004827357983078783,0.002198468118693823,5760,0,0.004676006104653076,3.236776750036685,False
osi_target_t24h,v1.8_rule,0.008690387584105909,0.003610778243058664,5640,1,0.008690387584105909,0.0,False
osi_target_t24h,v1.12,0.008263032601321604,0.0025469453473298403,5640,1,0.008690387584105909,-4.9175595294035706,True
osi_target_t24h,RF,0.009219590544603,0.003119952869741301,5640,1,0.008690387584105909,6.0895208110736565,False
osi_target_t24h,v1.8_rule,0.012820869372120618,0.0038387573473299555,5760,2,0.012820869372120618,0.0,False
osi_target_t24h,v1.12,0.012661692112489091,0.0036515297094518776,5760,2,0.012820869372120618,-1.2415480964002468,True
osi_target_t24h,RF,0.013535477070541905,0.0040355336413573015,5760,2,0.012820869372120618,5.573785035008805,False
osi_target_t24h,v1.8_rule,0.005827216074762783,0.0026500630695669306,5760,3,0.005827216074762783,0.0,False
osi_target_t24h,v1.12,0.00582143408872206,0.0024798964271421945,5760,3,0.005827216074762783,-0.09922381402268643,True
osi_target_t24h,RF,0.006219362121178804,0.0029378944761208467,5760,3,0.005827216074762783,6.729560760830111,False
osi_target_t24h,v1.8_rule,0.007410450047646712,0.0024700706125642463,5760,4,0.007410450047646712,0.0,False
osi_target_t24h,v1.12,0.007334385371080194,0.002321535491945628,5760,4,0.007410450047646712,-1.0264515120869566,True
osi_target_t24h,RF,0.007974433997667582,0.00269237490706111,5760,4,0.007410450047646712,7.610657198883231,False
osi_target_t48h,v1.8_rule,0.003637505972180902,0.0016125080878000183,4608,0,0.003637505972180902,0.0,False
osi_target_t48h,v1.12,0.003539081885677486,0.0014438742657880853,4608,0,0.003637505972180902,-2.7058123685884894,True
osi_target_t48h,RF,0.004312729722592378,0.001876292141427942,4608,0,0.003637505972180902,18.562821767867476,False
osi_target_t48h,v1.8_rule,0.005771282327149259,0.0025272190094480502,4512,1,0.005771282327149259,0.0,False
osi_target_t48h,v1.12,0.005640082137699659,0.001741807681507056,4512,1,0.005771282327149259,-2.273328213946635,True
osi_target_t48h,RF,0.006066120714521796,0.002093658897505848,4512,1,0.005771282327149259,5.10871537137525,False
osi_target_t48h,v1.8_rule,0.012997021644656546,0.00326727110669638,4608,2,0.012997021644656546,0.0,False
osi_target_t48h,v1.12,0.01296807009821058,0.003224491123350797,4608,2,0.012997021644656546,-0.2227552376037556,True
osi_target_t48h,RF,0.013304082561478263,0.003377143615941131,4608,2,0.012997021644656546,2.3625483223532084,False
osi_target_t48h,v1.8_rule,0.004975131815818199,0.0020181512944894894,4608,3,0.004975131815818199,0.0,False
osi_target_t48h,v1.12,0.004992649684802682,0.0018993291074240392,4608,3,0.004975131815818199,0.3521086401929052,False
osi_target_t48h,RF,0.005892147001008993,0.0024093549142025733,4608,3,0.004975131815818199,18.431977666906963,False
osi_target_t48h,v1.8_rule,0.006897809540513561,0.0021127583284630555,4608,4,0.006897809540513561,0.0,False
osi_target_t48h,v1.12,0.006861674057187713,0.0019289553211435631,4608,4,0.006897809540513561,-0.5238689632355076,True
osi_target_t48h,RF,0.006880213935218666,0.002171789316878027,4608,4,0.006897809540513561,-0.25508975264610934,True
