horizon,fipsCode,model,rmse,mae,n
osi_target_t24h,54015,v1.8,0.05010329449103762,0.027926395773390712,120
osi_target_t24h,54015,v1.12,0.05019906122141272,0.0276865063206767,120
osi_target_t24h,54015,v1.12+ExtraTrees,0.05014377002825657,0.027619240276619834,120
osi_target_t24h,54015,v1.12+RandomForest,0.050189912093167185,0.027685152737506453,120
osi_target_t24h,54015,v1.12+ExtraTrees+RandomForest,0.05014377002825657,0.027619240276619834,120
osi_target_t24h,54013,v1.8,0.046066694063380535,0.025416220818921646,120
osi_target_t24h,54013,v1.12,0.046077439783804484,0.025399785852775143,120
osi_target_t24h,54013,v1.12+ExtraTrees,0.04608805988659216,0.025373164724911454,120
osi_target_t24h,54013,v1.12+RandomForest,0.04607568788930498,0.025398372993807285,120
osi_target_t24h,54013,v1.12+ExtraTrees+RandomForest,0.04608805988659216,0.025373164724911454,120
osi_target_t24h,39059,v1.8,0.012760050469366787,0.007029233848055207,120
osi_target_t24h,39059,v1.12,0.012702342842446677,0.006440149976912818,120
osi_target_t24h,39059,v1.12+ExtraTrees,0.01269949137861497,0.006419890460718521,120
osi_target_t24h,39059,v1.12+RandomForest,0.012702342842446677,0.006440149976912818,120
osi_target_t24h,39059,v1.12+ExtraTrees+RandomForest,0.01269949137861497,0.006419890460718521,120
osi_target_t24h,39075,v1.8,0.014603395254890798,0.0072603691227780464,120
osi_target_t24h,39075,v1.12,0.014501461954065507,0.006657722103440178,120
osi_target_t24h,39075,v1.12+ExtraTrees,0.014473125702138443,0.006310758027827229,120
osi_target_t24h,39075,v1.12+RandomForest,0.014501104168404732,0.006648550096272763,120
osi_target_t24h,39075,v1.12+ExtraTrees+RandomForest,0.014473125702138443,0.006310758027827229,120
osi_target_t24h,39117,v1.8,0.01042915796059054,0.006687813222972158,120
osi_target_t24h,39117,v1.12,0.01046376478667987,0.006774781038764938,120
osi_target_t24h,39117,v1.12+ExtraTrees,0.010462704405666785,0.0067640674907034895,120
osi_target_t24h,39117,v1.12+RandomForest,0.01046376478667987,0.006774781038764938,120
osi_target_t24h,39117,v1.12+ExtraTrees+RandomForest,0.010462704405666785,0.0067640674907034895,120
osi_target_t24h,39031,v1.8,0.01133899273463197,0.006626198297220326,120
osi_target_t24h,39031,v1.12,0.011450339704887819,0.006875998534079448,120
osi_target_t24h,39031,v1.12+ExtraTrees,0.011464908935156937,0.006860623269915611,120
osi_target_t24h,39031,v1.12+RandomForest,0.011445622899692852,0.006865044024959467,120
osi_target_t24h,39031,v1.12+ExtraTrees+RandomForest,0.011464908935156937,0.006860623269915611,120
osi_target_t24h,39157,v1.8,0.02650415087486806,0.017486142175248198,120
osi_target_t24h,39157,v1.12,0.024353280352544547,0.015978447097774812,120
osi_target_t24h,39157,v1.12+ExtraTrees,0.024162826649484756,0.015811402313090896,120
osi_target_t24h,39157,v1.12+RandomForest,0.024382772589858156,0.015999465930026643,120
osi_target_t24h,39157,v1.12+ExtraTrees+RandomForest,0.024162826649484756,0.015811402313090896,120
osi_target_t24h,18013,v1.8,0.03323935719777512,0.016086206134655397,120
osi_target_t24h,18013,v1.12,0.03242683168859347,0.014755866671806674,120
osi_target_t24h,18013,v1.12+ExtraTrees,0.032376423129852984,0.014764188525222873,120
osi_target_t24h,18013,v1.12+RandomForest,0.03242683168859347,0.014755866671806674,120
osi_target_t24h,18013,v1.12+ExtraTrees+RandomForest,0.032376423129852984,0.014764188525222873,120
osi_target_t24h,39115,v1.8,0.03449805925365227,0.0071821439452149655,120
osi_target_t24h,39115,v1.12,0.03452840670951879,0.007303248970683833,120
osi_target_t24h,39115,v1.12+ExtraTrees,0.03452847543285202,0.007300583847236674,120
osi_target_t24h,39115,v1.12+RandomForest,0.034528409230216946,0.007303905589077806,120
osi_target_t24h,39115,v1.12+ExtraTrees+RandomForest,0.03452847543285202,0.007300583847236674,120
osi_target_t24h,54007,v1.8,0.024372310139294435,0.013734583590907231,120
osi_target_t24h,54007,v1.12,0.024142064059151883,0.013397437194662425,120
osi_target_t24h,54007,v1.12+ExtraTrees,0.02407640693948697,0.013298380900253074,120
osi_target_t24h,54007,v1.12+RandomForest,0.024142064059151883,0.013397437194662425,120
