horizon,model_a,model_b,residual_correlation
osi_target_t24h,v1.12,ET-A,0.9477875944023162
osi_target_t24h,v1.12,ET-B,0.9550136688716918
osi_target_t24h,v1.12,RF,0.9624063381143175
osi_target_t24h,v1.12,lgbm_direct,0.9862604421084179
osi_target_t24h,v1.12,lgbm_component,0.9891024883984209
osi_target_t24h,v1.12,xgboost_direct,0.9710280951269125
osi_target_t24h,v1.12,catboost_direct,0.9603919810740367
osi_target_t24h,v1.12,xgboost_component,0.9747201106763257
osi_target_t24h,v1.12,catboost_component,0.9762082824916111
osi_target_t24h,ET-A,ET-B,0.9942119832819417
osi_target_t24h,ET-A,RF,0.9465911152930784
osi_target_t24h,ET-A,lgbm_direct,0.9321733590031975
osi_target_t24h,ET-A,lgbm_component,0.9330157154953336
osi_target_t24h,ET-A,xgboost_direct,0.9483689218344921
osi_target_t24h,ET-A,catboost_direct,0.9363027734560745
osi_target_t24h,ET-A,xgboost_component,0.9490870217359121
osi_target_t24h,ET-A,catboost_component,0.9514407583842778
osi_target_t24h,ET-B,RF,0.9501156788883928
osi_target_t24h,ET-B,lgbm_direct,0.9399511380773883
osi_target_t24h,ET-B,lgbm_component,0.9410743975447884
osi_target_t24h,ET-B,xgboost_direct,0.9544975298131025
osi_target_t24h,ET-B,catboost_direct,0.9413061145792826
osi_target_t24h,ET-B,xgboost_component,0.9545821158742541
osi_target_t24h,ET-B,catboost_component,0.9590439689417517
osi_target_t24h,RF,lgbm_direct,0.9548191432693997
osi_target_t24h,RF,lgbm_component,0.9563205051039293
osi_target_t24h,RF,xgboost_direct,0.9352103860064463
osi_target_t24h,RF,catboost_direct,0.9446979966619391
osi_target_t24h,RF,xgboost_component,0.9352028194336138
osi_target_t24h,RF,catboost_component,0.958777803916477
osi_target_t24h,lgbm_direct,lgbm_component,0.9921992525591425
osi_target_t24h,lgbm_direct,xgboost_direct,0.9528287685662238
osi_target_t24h,lgbm_direct,catboost_direct,0.9431853756252272
osi_target_t24h,lgbm_direct,xgboost_component,0.9568038779733252
osi_target_t24h,lgbm_direct,catboost_component,0.9588163853621913
osi_target_t24h,lgbm_component,xgboost_direct,0.9533495791075609
osi_target_t24h,lgbm_component,catboost_direct,0.9438685918633808
osi_target_t24h,lgbm_component,xgboost_component,0.9576546405841447
osi_target_t24h,lgbm_component,catboost_component,0.9604556200744582
osi_target_t24h,xgboost_direct,catboost_direct,0.954676137565063
osi_target_t24h,xgboost_direct,xgboost_component,0.9938489100984998
osi_target_t24h,xgboost_direct,catboost_component,0.9672001809362729
osi_target_t24h,catboost_direct,xgboost_component,0.9564417641098807
osi_target_t24h,catboost_direct,catboost_component,0.9785201265735884
osi_target_t24h,xgboost_component,catboost_component,0.9687258781645134
osi_target_t48h,v1.12,ET-A,0.9431841936572557
osi_target_t48h,v1.12,ET-B,0.9547027525402949
osi_target_t48h,v1.12,RF,0.9626171344162108
osi_target_t48h,v1.12,lgbm_direct,0.9903699341555001
osi_target_t48h,v1.12,lgbm_component,0.9921185832040599
osi_target_t48h,v1.12,xgboost_direct,0.9832979694214787
osi_target_t48h,v1.12,catboost_direct,0.9798874084357504
osi_target_t48h,v1.12,xgboost_component,0.9853045226582656
osi_target_t48h,v1.12,catboost_component,0.9849819980348842
osi_target_t48h,ET-A,ET-B,0.9949772557491905
osi_target_t48h,ET-A,RF,0.9603289627201911
osi_target_t48h,ET-A,lgbm_direct,0.9354834841164055
osi_target_t48h,ET-A,lgbm_component,0.9347526110799035
osi_target_t48h,ET-A,xgboost_direct,0.9384919906836181
osi_target_t48h,ET-A,catboost_direct,0.930791308603937
osi_target_t48h,ET-A,xgboost_component,0.9372122694489685
osi_target_t48h,ET-A,catboost_component,0.9357304098762226
osi_target_t48h,ET-B,RF,0.9670294100675277
osi_target_t48h,ET-B,lgbm_direct,0.9465425993825702
osi_target_t48h,ET-B,lgbm_component,0.9465394062089568
osi_target_t48h,ET-B,xgboost_direct,0.9532607789342311
osi_target_t48h,ET-B,catboost_direct,0.9445532169563392
osi_target_t48h,ET-B,xgboost_component,0.9521736557458021
osi_target_t48h,ET-B,catboost_component,0.9489959372690405
osi_target_t48h,RF,lgbm_direct,0.958829544987193
osi_target_t48h,RF,lgbm_component,0.9615059253504733
osi_target_t48h,RF,xgboost_direct,0.9506653154618075
osi_target_t48h,RF,catboost_direct,0.9498731752273685
osi_target_t48h,RF,xgboost_component,0.9499128354602974
osi_target_t48h,RF,catboost_component,0.9562052681183533
osi_target_t48h,lgbm_direct,lgbm_component,0.9936924575493983
osi_target_t48h,lgbm_direct,xgboost_direct,0.9713612566861204
osi_target_t48h,lgbm_direct,catboost_direct,0.9691239327973601
osi_target_t48h,lgbm_direct,xgboost_component,0.9724239532220845
osi_target_t48h,lgbm_direct,catboost_component,0.9720182821445824
osi_target_t48h,lgbm_component,xgboost_direct,0.9719272469651175
osi_target_t48h,lgbm_component,catboost_direct,0.9689694578098306
osi_target_t48h,lgbm_component,xgboost_component,0.9750793338291286
osi_target_t48h,lgbm_component,catboost_component,0.9737350049845085
osi_target_t48h,xgboost_direct,catboost_direct,0.9758070465353074
osi_target_t48h,xgboost_direct,xgboost_component,0.9949833958689637
osi_target_t48h,xgboost_direct,catboost_component,0.9797780222143959
osi_target_t48h,catboost_direct,xgboost_component,0.9768249636601801
osi_target_t48h,catboost_direct,catboost_component,0.9861339277661647
osi_target_t48h,xgboost_component,catboost_component,0.9822329355673327
