horizon,model,rmse,mae,n,fold,v112_rmse,improved_vs_v1.12,rmse_change_pct_vs_v1.12
osi_target_t24h,v1.8,0.004676006104653076,0.002068686988798557,5760,0,0.004547115912935345,False,2.8345481880299506
osi_target_t24h,v1.12,0.004547115912935345,0.001882336260677331,5760,0,0.004547115912935345,False,0.0
osi_target_t24h,weather_gate_depth2,0.004547115912935345,0.001882336260677331,5760,0,0.004547115912935345,False,0.0
osi_target_t24h,weather_gate_depth3,0.004547115912935345,0.001882336260677331,5760,0,0.004547115912935345,False,0.0
osi_target_t24h,v1.8,0.008690387584105909,0.003610778243058664,5640,1,0.008263032601321604,False,5.171890314410144
osi_target_t24h,v1.12,0.008263032601321604,0.0025469453473298403,5640,1,0.008263032601321604,False,0.0
osi_target_t24h,weather_gate_depth2,0.008263032601321604,0.0025469453473298403,5640,1,0.008263032601321604,False,0.0
osi_target_t24h,weather_gate_depth3,0.008265153423693043,0.0025491181719193004,5640,1,0.008263032601321604,False,0.025666392398115967
osi_target_t24h,v1.8,0.012820869372120618,0.0038387573473299555,5760,2,0.012661692112489091,False,1.2571562964678318
osi_target_t24h,v1.12,0.012661692112489091,0.0036515297094518776,5760,2,0.012661692112489091,False,0.0
osi_target_t24h,weather_gate_depth2,0.012661692112489091,0.0036515297094518776,5760,2,0.012661692112489091,False,0.0
osi_target_t24h,weather_gate_depth3,0.012661692112489091,0.0036515297094518776,5760,2,0.012661692112489091,False,0.0
osi_target_t24h,v1.8,0.005827216074762783,0.0026500630695669306,5760,3,0.00582143408872206,False,0.09932236546188467
osi_target_t24h,v1.12,0.00582143408872206,0.0024798964271421945,5760,3,0.00582143408872206,False,0.0
osi_target_t24h,weather_gate_depth2,0.00582143408872206,0.0024798964271421945,5760,3,0.00582143408872206,False,0.0
osi_target_t24h,weather_gate_depth3,0.00582143408872206,0.0024798964271421945,5760,3,0.00582143408872206,False,0.0
osi_target_t24h,v1.8,0.007410450047646712,0.0024700706125642463,5760,4,0.007334385371080194,False,1.0370968079540077
osi_target_t24h,v1.12,0.007334385371080194,0.002321535491945628,5760,4,0.007334385371080194,False,0.0
osi_target_t24h,weather_gate_depth2,0.007334385371080194,0.002321535491945628,5760,4,0.007334385371080194,False,0.0
osi_target_t24h,weather_gate_depth3,0.007334385371080194,0.002321535491945628,5760,4,0.007334385371080194,False,0.0
osi_target_t48h,v1.8,0.003637505972180902,0.0016125080878000183,4608,0,0.003539081885677486,False,2.78106270730083
osi_target_t48h,v1.12,0.003539081885677486,0.0014438742657880853,4608,0,0.003539081885677486,False,0.0
osi_target_t48h,weather_gate_depth2,0.003539081885677486,0.0014438742657880853,4608,0,0.003539081885677486,False,0.0
osi_target_t48h,weather_gate_depth3,0.003539081885677486,0.0014438742657880853,4608,0,0.003539081885677486,False,0.0
osi_target_t48h,v1.8,0.005771282327149259,0.0025272190094480502,4512,1,0.005640082137699659,False,2.3262106162005303
osi_target_t48h,v1.12,0.005640082137699659,0.001741807681507056,4512,1,0.005640082137699659,False,0.0
osi_target_t48h,weather_gate_depth2,0.005640082137699659,0.001741807681507056,4512,1,0.005640082137699659,False,0.0
osi_target_t48h,weather_gate_depth3,0.005640082137699659,0.001741807681507056,4512,1,0.005640082137699659,False,0.0
osi_target_t48h,v1.8,0.012997021644656546,0.00326727110669638,4608,2,0.01296807009821058,False,0.22325254433934738
osi_target_t48h,v1.12,0.01296807009821058,0.003224491123350797,4608,2,0.01296807009821058,False,0.0
osi_target_t48h,weather_gate_depth2,0.01296807009821058,0.003224491123350797,4608,2,0.01296807009821058,False,0.0
osi_target_t48h,weather_gate_depth3,0.01296807009821058,0.003224491123350797,4608,2,0.01296807009821058,False,0.0
osi_target_t48h,v1.8,0.004975131815818199,0.0020181512944894894,4608,3,0.004992649684802682,True,-0.35087318539103185
osi_target_t48h,v1.12,0.004992649684802682,0.0018993291074240392,4608,3,0.004992649684802682,False,0.0
osi_target_t48h,weather_gate_depth2,0.004992649684802682,0.0018993291074240392,4608,3,0.004992649684802682,False,0.0
osi_target_t48h,weather_gate_depth3,0.004992649684802682,0.0018993291074240392,4608,3,0.004992649684802682,False,0.0
osi_target_t48h,v1.8,0.006897809540513561,0.0021127583284630555,4608,4,0.006861674057187713,False,0.5266278028464022
osi_target_t48h,v1.12,0.006861674057187713,0.0019289553211435631,4608,4,0.006861674057187713,False,0.0
osi_target_t48h,weather_gate_depth2,0.006861674057187713,0.0019289553211435631,4608,4,0.006861674057187713,False,0.0
osi_target_t48h,weather_gate_depth3,0.006861674057187713,0.0019289553211435631,4608,4,0.006861674057187713,False,0.0
