fipsCode,stateAbbr,severity_tier,fold
18009,IN,4,3
18013,IN,4,2
18023,IN,3,4
18025,IN,4,4
18027,IN,0,3
18029,IN,1,3
18033,IN,2,0
18035,IN,3,3
18037,IN,0,3
18039,IN,1,0
18041,IN,3,3
18043,IN,1,4
18045,IN,2,1
18047,IN,2,4
18051,IN,0,2
18059,IN,0,2
18061,IN,2,3
18065,IN,3,0
18067,IN,1,2
18069,IN,3,1
18071,IN,0,1
18073,IN,1,2
18077,IN,2,0
18083,IN,0,0
18085,IN,4,3
18087,IN,0,1
18089,IN,2,3
18091,IN,3,4
18093,IN,3,3
18095,IN,2,1
18097,IN,0,4
18099,IN,4,0
18101,IN,2,2
18103,IN,4,0
18105,IN,2,1
18107,IN,1,2
18109,IN,1,1
18111,IN,4,2
18113,IN,1,3
18117,IN,4,4
18121,IN,4,1
18123,IN,0,0
18125,IN,1,0
18127,IN,4,0
18129,IN,0,2
18131,IN,4,3
18133,IN,1,4
18135,IN,4,4
18137,IN,2,2
18139,IN,2,3
18141,IN,3,0
18143,IN,2,4
18145,IN,3,0
18147,IN,0,1
18149,IN,4,2
18151,IN,4,1
18153,IN,1,1
18155,IN,0,0
18157,IN,0,4
18159,IN,2,4
18161,IN,0,3
18163,IN,0,4
18165,IN,4,1
18167,IN,1,3
18169,IN,3,2
18171,IN,1,1
18173,IN,1,0
18175,IN,3,1
18177,IN,2,2
18179,IN,3,1
18181,IN,3,2
18183,IN,3,4
39017,OH,0,1
39023,OH,2,1
39025,OH,0,2
39027,OH,0,0
39029,OH,3,0
39031,OH,4,2
39033,OH,3,2
39035,OH,3,3
39037,OH,2,1
39039,OH,2,4
39045,OH,2,2
39049,OH,3,2
39051,OH,2,2
39053,OH,0,1
39055,OH,4,4
39059,OH,4,0
39061,OH,0,2
39063,OH,1,2
39065,OH,1,2
39069,OH,1,1
39073,OH,2,3
39075,OH,4,2
39077,OH,3,4
39081,OH,4,1
39085,OH,1,1
39087,OH,0,4
39089,OH,4,3
39091,OH,3,4
39093,OH,2,3
39095,OH,1,0
39097,OH,2,1
39099,OH,0,3
39101,OH,2,0
39103,OH,2,2
39105,OH,0,4
39107,OH,4,4
39109,OH,1,3
39111,OH,3,0
39113,OH,1,2
39115,OH,3,1
39117,OH,4,0
39119,OH,4,1
39121,OH,3,1
39123,OH,0,0
39125,OH,4,0
39127,OH,4,4
39129,OH,0,0
39131,OH,1,0
39133,OH,3,0
39135,OH,1,3
39137,OH,3,2
39139,OH,4,3
39141,OH,0,4
39143,OH,1,4
39145,OH,0,1
39147,OH,1,0
39149,OH,4,1
39151,OH,2,0
39153,OH,2,4
39155,OH,1,4
39157,OH,4,3
39159,OH,3,4
39161,OH,3,1
39163,OH,1,4
39165,OH,0,3
39167,OH,0,2
39169,OH,3,3
39171,OH,2,0
39173,OH,2,3
39175,OH,1,3
42005,PA,4,4
42007,PA,4,1
42009,PA,4,3
42013,PA,1,0
42015,PA,1,4
42019,PA,4,2
42021,PA,3,0
42023,PA,3,1
42025,PA,1,2
42027,PA,1,0
42029,PA,3,3
42031,PA,4,3
42033,PA,4,2
42035,PA,1,3
42039,PA,3,4
42041,PA,1,1
42043,PA,0,3
42045,PA,0,1
42047,PA,3,4
42049,PA,3,3
42051,PA,2,1
42053,PA,4,0
42055,PA,0,2
42057,PA,1,2
42059,PA,3,2
42061,PA,1,1
42063,PA,4,1
42065,PA,3,0
42067,PA,0,2
42069,PA,0,0
42075,PA,2,4
42077,PA,2,0
42079,PA,0,4
42081,PA,0,2
42083,PA,2,2
42085,PA,3,2
42089,PA,2,1
42091,PA,1,4
42095,PA,2,4
42097,PA,0,4
42101,PA,0,3
42103,PA,2,3
42109,PA,2,2
42113,PA,1,3
42115,PA,2,3
42119,PA,0,0
42121,PA,4,0
42125,PA,4,4
42127,PA,2,0
42129,PA,4,4
42131,PA,3,1
42133,PA,0,1
54007,WV,4,0
54009,WV,4,3
54013,WV,4,2
54015,WV,4,4
54019,WV,2,0
54023,WV,2,1
54025,WV,0,3
54027,WV,0,0
54029,WV,4,2
54031,WV,1,2
54033,WV,1,3
54035,WV,3,2
54037,WV,1,3
54039,WV,2,2
54041,WV,3,4
54043,WV,3,1
54045,WV,2,1
54047,WV,3,2
54053,WV,0,1
54055,WV,1,0
54057,WV,0,3
54059,WV,3,1
54063,WV,0,0
54067,WV,2,3
54069,WV,4,1
54071,WV,2,0
54073,WV,3,0
54075,WV,0,1
54077,WV,1,4
54079,WV,0,2
54081,WV,0,2
54083,WV,2,4
54085,WV,4,1
54087,WV,4,4
54089,WV,1,4
54091,WV,4,0
54093,WV,1,1
54095,WV,3,3
54097,WV,1,0
54099,WV,3,3
54101,WV,2,3
54103,WV,3,4
54105,WV,2,4
54107,WV,0,4
54109,WV,1,2
