horizon,candidate,difference,ci_2_5,ci_97_5,improvement_probability,replicates,unit
osi_target_t24h,P__dart_huber,7.344763243417526e-06,1.945756551510096e-06,1.4358727953579049e-05,0.0035,2000,county_full_trajectory
osi_target_t24h,P__tweedie_p13,9.727182447544225e-06,-1.5871486186697483e-05,3.7927700007469095e-05,0.2475,2000,county_full_trajectory
osi_target_t24h,P__tweedie_p15,5.841656667513254e-06,-2.180614777768557e-05,3.4181578411522383e-05,0.341,2000,county_full_trajectory
osi_target_t24h,P__tweedie_p17,4.6442989230736226e-06,-2.9293122423033695e-05,3.8292969741064405e-05,0.4,2000,county_full_trajectory
osi_target_t24h,P__quantile_q50,2.1422138297706728e-05,3.090632372161075e-06,4.282107927794757e-05,0.011,2000,county_full_trajectory
osi_target_t24h,P__quantile_q90,4.1921393131687246e-05,1.0157168816142363e-05,8.583139068079427e-05,0.001,2000,county_full_trajectory
osi_target_t24h,D__dart_huber,1.0287586829626008e-05,4.347824567538087e-06,1.780611196872906e-05,0.0,2000,county_full_trajectory
osi_target_t24h,D__tweedie_p13,5.6884628582484775e-06,-1.5436803892841148e-06,1.3090368652299705e-05,0.063,2000,county_full_trajectory
osi_target_t24h,D__tweedie_p15,5.340222760025215e-06,-2.1524981334459853e-06,1.319575028848399e-05,0.0775,2000,county_full_trajectory
osi_target_t24h,D__tweedie_p17,3.6600537983537407e-06,-4.233439593929284e-06,1.1322558192733073e-05,0.1705,2000,county_full_trajectory
osi_target_t24h,D__quantile_q50,7.560197690699086e-06,2.2243653396515627e-06,1.3292839306115e-05,0.002,2000,county_full_trajectory
osi_target_t24h,D__quantile_q90,1.2414426671478185e-05,1.9783485574712595e-06,2.632357357997138e-05,0.012,2000,county_full_trajectory
osi_target_t24h,PD__dart_huber__dart_huber,8.16865357466251e-06,8.128061652661967e-07,1.696033870280816e-05,0.0135,2000,county_full_trajectory
osi_target_t24h,PD__dart_huber__tweedie_p13,3.577666360644882e-06,-4.55049901495893e-06,1.2016950709546085e-05,0.2055,2000,county_full_trajectory
osi_target_t24h,PD__dart_huber__tweedie_p15,3.370225911616606e-06,-5.500482717559537e-06,1.2256744952633073e-05,0.227,2000,county_full_trajectory
osi_target_t24h,PD__dart_huber__tweedie_p17,8.586069815248731e-06,-6.36502784243612e-06,2.542120947667018e-05,0.1405,2000,county_full_trajectory
osi_target_t24h,PD__dart_huber__quantile_q50,4.781508125557832e-06,-3.8574975414541224e-07,1.0407794346711838e-05,0.0375,2000,county_full_trajectory
osi_target_t24h,PD__dart_huber__quantile_q90,6.6950318939277415e-06,-2.0556903801557167e-06,1.65894151970904e-05,0.0725,2000,county_full_trajectory
osi_target_t24h,PD__tweedie_p13__dart_huber,1.5383724677284216e-05,-1.3580155791822645e-05,4.807832184733905e-05,0.1575,2000,county_full_trajectory
osi_target_t24h,PD__tweedie_p13__tweedie_p13,1.938518725981553e-05,-1.798664532249414e-05,6.045970496921017e-05,0.1535,2000,county_full_trajectory
osi_target_t24h,PD__tweedie_p13__tweedie_p15,1.104885026708205e-06,-2.4659366210419942e-05,2.473779460476838e-05,0.4615,2000,county_full_trajectory
osi_target_t24h,PD__tweedie_p13__tweedie_p17,1.2026281617838475e-05,-3.435588737597346e-05,5.907836230445689e-05,0.3035,2000,county_full_trajectory
osi_target_t24h,PD__tweedie_p13__quantile_q50,6.480822905026787e-06,-2.0932034996349116e-05,3.580254529896745e-05,0.3205,2000,county_full_trajectory
osi_target_t24h,PD__tweedie_p13__quantile_q90,1.6507999775752444e-05,-1.0077720744911977e-05,4.921908373317943e-05,0.1215,2000,county_full_trajectory
osi_target_t24h,PD__tweedie_p15__dart_huber,1.3059156345389053e-05,-2.0694320448376e-05,4.847438634709538e-05,0.247,2000,county_full_trajectory
osi_target_t24h,PD__tweedie_p15__tweedie_p13,1.1668561713491094e-05,-3.135870192143254e-05,5.597149584556896e-05,0.3075,2000,county_full_trajectory
osi_target_t24h,PD__tweedie_p15__tweedie_p15,-5.654306486172281e-06,-3.9536601021549236e-05,2.454665382755366e-05,0.6275,2000,county_full_trajectory
osi_target_t24h,PD__tweedie_p15__tweedie_p17,5.026782658811013e-06,-4.4733020513258206e-05,5.3582831062168935e-05,0.418,2000,county_full_trajectory
osi_target_t24h,PD__tweedie_p15__quantile_q50,-1.102125631795986e-06,-3.193274231838915e-05,2.9889636385688546e-05,0.518,2000,county_full_trajectory
osi_target_t24h,PD__tweedie_p15__quantile_q90,3.3975746395126585e-05,-2.6747519807160563e-06,7.948648396007513e-05,0.0395,2000,county_full_trajectory
osi_target_t24h,PD__tweedie_p17__dart_huber,9.754927403050895e-06,-2.34719122214312e-05,4.4292845917540275e-05,0.301,2000,county_full_trajectory
osi_target_t24h,PD__tweedie_p17__tweedie_p13,3.967131683059108e-06,-3.9511806055743414e-05,4.867576875030239e-05,0.4365,2000,county_full_trajectory
osi_target_t24h,PD__tweedie_p17__tweedie_p15,-3.4717526358109957e-06,-3.355893605627156e-05,2.3807394727688826e-05,0.584,2000,county_full_trajectory
osi_target_t24h,PD__tweedie_p17__tweedie_p17,3.2422393074563183e-06,-4.555489620228896e-05,5.253889741956955e-05,0.456,2000,county_full_trajectory
osi_target_t24h,PD__tweedie_p17__quantile_q50,2.660795685727191e-06,-3.357039178678585e-05,3.8285481470281724e-05,0.443,2000,county_full_trajectory
osi_target_t24h,PD__tweedie_p17__quantile_q90,4.060817974443562e-06,-3.309874059189515e-05,4.505628075080155e-05,0.415,2000,county_full_trajectory
