horizon,candidate,pearson,spearman,n
osi_target_t24h,P__dart_huber,0.9998956519646586,0.9946165236866104,28680
osi_target_t24h,P__tweedie_p13,0.998910383943817,0.9772742657448037,28680
osi_target_t24h,P__tweedie_p15,0.9986137662468018,0.9699638577764442,28680
osi_target_t24h,P__tweedie_p17,0.9979684539584155,0.9600927033601513,28680
osi_target_t24h,P__quantile_q50,0.999496964513601,0.9883267675016888,28680
osi_target_t24h,P__quantile_q90,0.998994688916991,0.9863476719313179,28680
osi_target_t24h,D__dart_huber,0.9999113168504858,0.9949418828249352,28680
osi_target_t24h,D__tweedie_p13,0.9998771618956143,0.9937427754199644,28680
osi_target_t24h,D__tweedie_p15,0.9998712342070682,0.9935405590262786,28680
osi_target_t24h,D__tweedie_p17,0.999867593861552,0.9930102331955888,28680
osi_target_t24h,D__quantile_q50,0.9999097177938627,0.9945968150858199,28680
osi_target_t24h,D__quantile_q90,0.9998246859905613,0.9942278360930304,28680
osi_target_t24h,PD__dart_huber__dart_huber,0.9998502645972237,0.9921485005859544,28680
osi_target_t24h,PD__dart_huber__tweedie_p13,0.9998317310343838,0.9907062826116191,28680
osi_target_t24h,PD__dart_huber__tweedie_p15,0.9998196370463228,0.9899280026863175,28680
osi_target_t24h,PD__dart_huber__tweedie_p17,0.999637538587591,0.9856567160944983,28680
osi_target_t24h,PD__dart_huber__quantile_q50,0.9998703627050793,0.9924173032572389,28680
osi_target_t24h,PD__dart_huber__quantile_q90,0.9998197446879896,0.9952075032914588,28680
osi_target_t24h,PD__tweedie_p13__dart_huber,0.9988095162882393,0.9736826649122582,28680
osi_target_t24h,PD__tweedie_p13__tweedie_p13,0.9981540503807845,0.9678297020652096,28680
osi_target_t24h,PD__tweedie_p13__tweedie_p15,0.9991516779332972,0.9752612868860969,28680
osi_target_t24h,PD__tweedie_p13__tweedie_p17,0.9973560520373452,0.9524443878930383,28680
osi_target_t24h,PD__tweedie_p13__quantile_q50,0.9984815728585763,0.9634002771483543,28680
osi_target_t24h,PD__tweedie_p13__quantile_q90,0.9976080598034152,0.9648757917738097,28680
osi_target_t24h,PD__tweedie_p15__dart_huber,0.9982922265333487,0.961294090349368,28680
