fipsCode,stateAbbr,countyName,county_key,State,n_utilities,eia_county_names,old_n_utilities,changed
18001,IN,Adams,adams,IN,4,Adams,10,True
18003,IN,Allen,allen,IN,5,Allen,9,True
18005,IN,Bartholomew,bartholomew,IN,7,Bartholomew,7,False
18007,IN,Benton,benton,IN,6,Benton,6,False
18009,IN,Blackford,blackford,IN,2,Blackford,2,False
18011,IN,Boone,boone,IN,9,Boone,10,True
18013,IN,Brown,brown,IN,4,Brown,11,True
18015,IN,Carroll,carroll,IN,5,Carroll,9,True
18017,IN,Cass,cass,IN,6,Cass,6,False
18019,IN,Clark,clark,IN,4,Clark,9,True
18021,IN,Clay,clay,IN,5,Clay,8,True
18023,IN,Clinton,clinton,IN,5,Clinton,12,True
18025,IN,Crawford,crawford,IN,4,Crawford,12,True
18027,IN,Daviess,daviess,IN,5,Daviess,5,False
18029,IN,Dearborn,dearborn,IN,6,Dearborn,6,False
18031,IN,Decatur,decatur,IN,4,Decatur,4,False
18033,IN,DeKalb,dekalb,IN,6,DeKalb,6,False
18035,IN,Delaware,delaware,IN,4,Delaware,14,True
18037,IN,Dubois,dubois,IN,7,Dubois,7,False
18039,IN,Elkhart,elkhart,IN,6,Elkhart,6,False
18041,IN,Fayette,fayette,IN,4,Fayette,10,True
18043,IN,Floyd,floyd,IN,3,Floyd,3,False
18045,IN,Fountain,fountain,IN,5,Fountain,5,False
18047,IN,Franklin,franklin,IN,6,Franklin,20,True
18049,IN,Fulton,fulton,IN,5,Fulton,13,True
18051,IN,Gibson,gibson,IN,4,Gibson,4,False
18053,IN,Grant,grant,IN,4,Grant,6,True
18055,IN,Greene,greene,IN,6,Greene,11,True
18057,IN,Hamilton,hamilton,IN,6,Hamilton,8,True
18059,IN,Hancock,hancock,IN,6,Hancock,12,True
18061,IN,Harrison,harrison,IN,2,Harrison,8,True
18063,IN,Hendricks,hendricks,IN,7,Hendricks,7,False
18065,IN,Henry,henry,IN,10,Henry,17,True
18067,IN,Howard,howard,IN,3,Howard,3,False
18069,IN,Huntington,huntington,IN,5,Huntington,5,False
18071,IN,Jackson,jackson,IN,3,Jackson,8,True
18073,IN,Jasper,jasper,IN,5,Jasper,5,False
18075,IN,Jay,jay,IN,2,Jay,2,False
18077,IN,Jefferson,jefferson,IN,4,Jefferson,11,True
18079,IN,Jennings,jennings,IN,5,Jennings,5,False
18081,IN,Johnson,johnson,IN,7,Johnson,7,False
18083,IN,Knox,knox,IN,4,Knox,10,True
18085,IN,Kosciusko,kosciusko,IN,9,Kosciusko,9,False
18087,IN,LaGrange,lagrange,IN,6,Lagrange,1,True
18089,IN,Lake,lake,IN,2,Lake,4,True
18091,IN,LaPorte,laporte,IN,4,LaPorte,4,False
18093,IN,Lawrence,lawrence,IN,5,Lawrence,11,True
18095,IN,Madison,madison,IN,8,Madison,13,True
18097,IN,Marion,marion,IN,2,Marion,10,True
18099,IN,Marshall,marshall,IN,7,Marshall,8,True
