horizon,fold,train_rows,valid_rows,best_round,rmse,mae
osi_target_t01h,0,27313,6864,865,0.007143392332355623,0.0027494483810496444
osi_target_t01h,1,27456,6721,1537,0.009662435268334966,0.0033215745616218682
osi_target_t01h,2,27313,6864,977,0.013314057294964564,0.004011478345394748
osi_target_t01h,3,27313,6864,1808,0.016022007752832097,0.004150840972568965
osi_target_t01h,4,27313,6864,1986,0.011346088770853193,0.0032040177171124527
osi_target_t06h,0,26358,6624,1028,0.006900481826222276,0.0026600423149518767
osi_target_t06h,1,26496,6486,540,0.00933900856487993,0.0030721171557277524
osi_target_t06h,2,26358,6624,1988,0.013436616652069088,0.004073275348113721
osi_target_t06h,3,26358,6624,1437,0.013012927895499774,0.0038276768280969876
osi_target_t06h,4,26358,6624,1963,0.009078224899959771,0.002852130961690013
osi_target_t24h,0,22920,5760,838,0.005100071975746196,0.002027974098038394
osi_target_t24h,1,23040,5640,780,0.008089421509782967,0.0025727702697681872
osi_target_t24h,2,22920,5760,1894,0.013353654795995379,0.003591453951645203
osi_target_t24h,3,22920,5760,224,0.00721685120373629,0.0029411254136491012
osi_target_t24h,4,22920,5760,1046,0.007689871438333043,0.00253194344762606
osi_target_t48h,0,18336,4608,316,0.0036353827920288144,0.0014319263764036602
osi_target_t48h,1,18432,4512,136,0.005554256299293998,0.0017374514283030704
osi_target_t48h,2,18336,4608,1777,0.013960668718989596,0.0033236471041900783
osi_target_t48h,3,18336,4608,72,0.0052690472769029,0.002023850359895409
osi_target_t48h,4,18336,4608,463,0.006928955280460812,0.0019951824656411193
