horizon,rank,feature,importance,importance_fraction
osi_target_t01h,1,last_outage_pct,13.169782859474216,0.13169782859474208
osi_target_t01h,2,pressure_change_6h,10.48915002765601,0.10489150027656004
osi_target_t01h,3,t2m_at_t24h,10.085579090488872,0.10085579090488866
osi_target_t01h,4,last_P_t,9.984399536588702,0.09984399536588696
osi_target_t01h,5,hours_since_obs,9.871124700860591,0.09871124700860585
osi_target_t01h,6,cumul_gust_since_onset,5.918017364894958,0.05918017364894954
osi_target_t01h,7,storm_phase,4.758710320024069,0.04758710320024066
osi_target_t01h,8,last_osi,4.1888280260081805,0.04188828026008178
osi_target_t01h,9,tree_canopy_std,4.0152146445569725,0.040152146445569706
osi_target_t01h,10,gust_max_obs,3.409840324793965,0.03409840324793963
osi_target_t01h,11,gust_last_obs,1.8893365716183284,0.01889336571618327
osi_target_t01h,12,wind_sin_t,1.7549674808237665,0.017549674808237655
osi_target_t01h,13,min_t2m_next_48h,1.4819576549414182,0.014819576549414173
osi_target_t01h,14,min_t2m_next_24h,1.4561102288086831,0.014561102288086823
osi_target_t01h,15,pct_forest,1.3777772074716677,0.01377777207471667
osi_target_t01h,16,last_D_t,1.2778156700784906,0.0127781567007849
osi_target_t01h,17,total_tp_next_24h,1.2358482574045722,0.012358482574045714
osi_target_t01h,18,days_since_onset,1.2165694305302388,0.012165694305302382
osi_target_t01h,19,gust_gt30_since_onset,0.858213050965502,0.008582130509655016
osi_target_t01h,20,min_t2m_next_1h,0.5706435299728484,0.005706435299728481
osi_target_t01h,21,pre_event_mean_osi,0.5454865427786563,0.005454865427786559
osi_target_t01h,22,gust_x_hso,0.5422097105344614,0.005422097105344611
osi_target_t01h,23,osi_trend_last6h,0.5417764840200635,0.005417764840200632
osi_target_t01h,24,gust_t,0.5305334788287956,0.005305334788287953
osi_target_t01h,25,d2m_t,0.4796065905886948,0.004796065905886946
osi_target_t01h,26,total_tp_next_48h,0.44226523142803587,0.004422652314280356
osi_target_t01h,27,mslma_t,0.4214104789641967,0.004214104789641964
osi_target_t01h,28,gust_mean_next_48h,0.38991724207427764,0.003899172420742774
osi_target_t01h,29,t2m_at_t48h,0.3266830990704401,0.003266830990704399
osi_target_t01h,30,last_N_t,0.3131696400630721,0.003131696400630719
osi_target_t01h,31,gust_at_t6h,0.30783796112573625,0.0030783796112573607
osi_target_t01h,32,pct_wetland,0.2942251183647995,0.002942251183647993
osi_target_t01h,33,frac_zero_72h,0.25902143389709265,0.002590214338970925
osi_target_t01h,34,pop_density,0.2364020661063398,0.0023640206610633964
osi_target_t01h,35,gust_peak4h_mean_next_1h,0.23272309593635426,0.0023272309593635413
osi_target_t01h,36,pressure_change_3h,0.18966867449511385,0.0018966867449511373
osi_target_t01h,37,pct_developed,0.1895671279565464,0.0018956712795654628
osi_target_t01h,38,sp_t,0.18102382167347336,0.0018102382167347326
osi_target_t01h,39,cumul_tp_since_onset,0.17455424817893253,0.0017455424817893242
osi_target_t01h,40,gust_max_next_1h,0.1577298025594894,0.0015772980255948932
osi_target_t01h,41,gust_peak4h_mean_next_48h,0.14662630350164277,0.0014662630350164268
osi_target_t01h,42,gust_trend_last6h_obs,0.14631894266464418,0.001463189426646441
osi_target_t01h,43,osi_mean_72h,0.14378566043878674,0.0014378566043878665
osi_target_t01h,44,gust_gt30_next_48h,0.14265263035466427,0.0014265263035466418
osi_target_t01h,45,min_t2m_next_6h,0.1317487406012783,0.0013174874060127824
osi_target_t01h,46,pre_event_max_outage_pct,0.12293293909109569,0.0012293293909109563
osi_target_t01h,47,forest_x_customers,0.12290466038857444,0.0012290466038857436
osi_target_t01h,48,gust_mean_obs,0.12253953988785207,0.00122539539887852
osi_target_t01h,49,gust_max_last6h_obs,0.11548397621582393,0.0011548397621582386
osi_target_t01h,50,gust_mean_next_1h,0.11448026525462499,0.0011448026525462491
osi_target_t01h,51,n_utilities,0.10821459359018698,0.001082145935901869
osi_target_t01h,52,blh_t,0.10763438998969874,0.0010763438998969868
osi_target_t01h,53,tree_canopy_pct,0.10573177010868126,0.001057317701086812
osi_target_t01h,54,soil_moist_x_gust,0.10494768986015386,0.001049476898601538
osi_target_t01h,55,wind_speed_max_next_24h,0.10303564385410657,0.001030356438541065
osi_target_t01h,56,wind_speed_max_next_48h,0.10154135777109505,0.00101541357771095
osi_target_t01h,57,storm_onset_mean_osi,0.10015687435243399,0.0010015687435243393
osi_target_t01h,58,N_t_mean_72h,0.09951526210075616,0.0009951526210075611
osi_target_t01h,59,outage_pct_mean_72h,0.08430720323348351,0.0008430720323348346
osi_target_t01h,60,t2m_at_t6h,0.08207050906835354,0.000820705090683535
osi_target_t01h,61,N_t_max_72h,0.07754576010920698,0.0007754576010920694
osi_target_t01h,62,gust_at_t1h,0.07483856658609787,0.0007483856658609783
osi_target_t01h,63,osi_std_72h,0.07237874656773884,0.000723787465677388
osi_target_t01h,64,temp_change_6h,0.070296018199707,0.0007029601819970696
osi_target_t01h,65,gust_mean_next_24h,0.06937663431734344,0.000693766343173434
osi_target_t01h,66,t2m_at_t1h,0.06871926731747571,0.0006871926731747567
osi_target_t01h,67,outage_pct_max_72h,0.06746979793329076,0.0006746979793329072
osi_target_t01h,68,soil_moist_t,0.05763948718804304,0.0005763948718804301
osi_target_t01h,69,gust_peak4h_mean_next_6h,0.056291476461332014,0.0005629147646133198
osi_target_t01h,70,rural_urban_code,0.05624608084030734,0.0005624608084030731
osi_target_t01h,71,R_t_mean_72h,0.05548914872931045,0.0005548914872931042
osi_target_t01h,72,hours_since_peak,0.05071817204988262,0.0005071817204988259
osi_target_t01h,73,temp_c_t,0.04969902539960535,0.0004969902539960532
osi_target_t01h,74,log_customers,0.04969476913814364,0.0004969476913814361
osi_target_t01h,75,t2m_t,0.048955663069634774,0.0004895566306963475
osi_target_t01h,76,last_R_t,0.04868652707930321,0.00048686527079303183
osi_target_t01h,77,total_tp_next_6h,0.04521860165526314,0.00045218601655263116
osi_target_t01h,78,pct_water,0.04196940775608478,0.0004196940775608475
osi_target_t01h,79,gust_gt30_obs,0.041903120439670344,0.0004190312043967032
osi_target_t01h,80,wind_cos_t,0.04164199320205709,0.00041641993202057065
osi_target_t01h,81,R_t_max_72h,0.04019203647075488,0.00040192036470754856
osi_target_t01h,82,sdwe_t,0.038766097846201435,0.0003876609784620141
osi_target_t01h,83,wind_speed_at_t48h,0.037782833924439645,0.0003778283392443962
osi_target_t01h,84,dewpoint_c_t,0.037041515861099834,0.0003704151586109981
osi_target_t01h,85,gust_at_t48h,0.03470925689517641,0.0003470925689517639
osi_target_t01h,86,pct_agriculture,0.03151978200875482,0.000315197820087548
osi_target_t01h,87,gust_max_next_48h,0.03105097505163733,0.00031050975051637316
osi_target_t01h,88,gust_gt40_obs,0.029381375595215573,0.00029381375595215556
osi_target_t01h,89,gust_gt40_next_48h,0.02815870979395578,0.00028158709793955764
osi_target_t01h,90,soil_gust_x_phase,0.0267691393840591,0.00026769139384059086
osi_target_t01h,91,osi_max_72h,0.0247526738693705,0.00024752673869370487
osi_target_t01h,92,wind_speed_at_t24h,0.024323112195667265,0.00024323112195667252
osi_target_t01h,93,tp_at_t48h,0.024298725790130864,0.0002429872579013085
osi_target_t01h,94,hcc_t,0.023886199993091713,0.000238861999930917
osi_target_t01h,95,gust_peak4h_mean_next_24h,0.023331998917503986,0.00023331998917503974
osi_target_t01h,96,storm_onset_max_osi,0.021202012603161863,0.0002120201260316185
osi_target_t01h,97,csnow_t,0.020706870819844445,0.00020706870819844434
osi_target_t01h,98,gust_exceed_30,0.020468618504186634,0.00020468618504186623
osi_target_t01h,99,cumul_gust_obs,0.019899145874091403,0.00019899145874091391
osi_target_t01h,100,gust_mean_next_6h,0.019407097350278332,0.0001940709735027832
osi_target_t01h,101,gust_x_phase,0.018764482966542078,0.00018764482966542067
osi_target_t01h,102,wind_speed_max_next_6h,0.017694776274545625,0.00017694776274545615
osi_target_t01h,103,gust_max_next_24h,0.016575408320952213,0.00016575408320952204
osi_target_t01h,104,vpd_t,0.01655125941920848,0.0001655125941920847
osi_target_t01h,105,lcc_t,0.013068956109910866,0.00013068956109910858
osi_target_t01h,106,tp_at_t24h,0.01160833782134041,0.00011608337821340404
osi_target_t01h,107,gust_change_1h,0.011214718535696522,0.00011214718535696515
osi_target_t01h,108,gust_gt30_next_24h,0.010790642190315745,0.0001079064219031574
osi_target_t01h,109,tp_at_t6h,0.009098759962391043,9.098759962391038e-05
osi_target_t01h,110,gust_max_next_6h,0.007875832278828668,7.875832278828663e-05
osi_target_t01h,111,gust_at_t24h,0.00743792863726188,7.437928637261876e-05
osi_target_t01h,112,hour_of_day,0.0073815948837696295,7.381594883769625e-05
osi_target_t01h,113,is_snowing,0.0069161577764271,6.916157776427095e-05
osi_target_t01h,114,gust_change_3h,0.006700666889228308,6.700666889228305e-05
osi_target_t01h,115,hour_cos,0.006608144461459081,6.608144461459077e-05
osi_target_t01h,116,wind_speed_max_next_1h,0.0058658956018756946,5.865895601875691e-05
osi_target_t01h,117,wind_speed_at_t6h,0.00563913754409731,5.639137544097307e-05
osi_target_t01h,118,is_worsening,0.0049651483610854905,4.965148361085488e-05
osi_target_t01h,119,wind_speed_t,0.004455148427119912,4.45514842711991e-05
osi_target_t01h,120,wind_change_1h,0.004216974801014132,4.21697480101413e-05
osi_target_t01h,121,direct_rad_t,0.0040245804091820075,4.024580409182005e-05
osi_target_t01h,122,wind_speed_at_t1h,0.003255960981903732,3.25596098190373e-05
osi_target_t01h,123,gust_gt40_next_24h,0.002824634981978083,2.8246349819780812e-05
osi_target_t01h,124,gust_gt30_next_6h,0.0028209168765542616,2.82091687655426e-05
osi_target_t01h,125,diffuse_rad_t,0.002753644959918652,2.7536449599186503e-05
osi_target_t01h,126,r2_t,0.0026926329025503018,2.6926329025503003e-05
osi_target_t01h,127,mcc_t,0.002551064717340221,2.5510647173402198e-05
osi_target_t01h,128,gust_exceed30_x_hso,0.0018298223279449451,1.829822327944944e-05
osi_target_t01h,129,rain_t,0.0018109178214119595,1.8109178214119584e-05
osi_target_t01h,130,sdswrf_t,0.0012535760572470224,1.2535760572470218e-05
osi_target_t01h,131,hour_sin,0.00118192660394934,1.1819266039493393e-05
osi_target_t01h,132,total_tp_next_1h,0.0011145115505845726,1.114511550584572e-05
osi_target_t01h,133,gust_gt30_next_1h,0.0010752558711721357,1.0752558711721351e-05
osi_target_t01h,134,et0_t,0.0007477979911093534,7.477979911093529e-06
osi_target_t01h,135,is_metro,0.000718552081784024,7.185520817840236e-06
osi_target_t01h,136,gust_gt40_next_6h,0.0005992974201480658,5.992974201480655e-06
osi_target_t01h,137,tp_t,0.0004486232196123762,4.486232196123759e-06
osi_target_t01h,138,tp_at_t1h,0.00011309023990923963,1.1309023990923956e-06
osi_target_t01h,139,tcc_t,0.0,0.0
osi_target_t01h,140,icing_risk_t,0.0,0.0
osi_target_t01h,141,gust_gt40_next_1h,0.0,0.0
osi_target_t06h,1,last_P_t,15.124758553050322,0.15124758553050321
osi_target_t06h,2,forest_x_customers,8.3801105040065,0.08380110504006501
osi_target_t06h,3,min_t2m_next_48h,7.925663995268773,0.07925663995268774
osi_target_t06h,4,gust_peak4h_mean_next_48h,7.818813176288467,0.07818813176288467
osi_target_t06h,5,hours_since_obs,7.008366014652768,0.07008366014652768
osi_target_t06h,6,frac_zero_72h,6.770136655904877,0.06770136655904876
osi_target_t06h,7,last_outage_pct,6.364775583353058,0.06364775583353058
osi_target_t06h,8,cumul_gust_since_onset,5.417674923228803,0.054176749232288025
osi_target_t06h,9,last_D_t,4.588473990708236,0.04588473990708236
osi_target_t06h,10,N_t_max_72h,2.826344708116696,0.028263447081166963
osi_target_t06h,11,pct_forest,2.10804828793927,0.0210804828793927
osi_target_t06h,12,mslma_t,1.9322678310612205,0.019322678310612205
osi_target_t06h,13,last_osi,1.6605954470166664,0.016605954470166665
osi_target_t06h,14,pressure_change_6h,1.3138438910733945,0.013138438910733945
osi_target_t06h,15,t2m_at_t48h,1.1007652617658812,0.011007652617658813
osi_target_t06h,16,sp_t,1.067254969031582,0.01067254969031582
osi_target_t06h,17,gust_x_hso,0.9989027470862929,0.00998902747086293
osi_target_t06h,18,cumul_tp_since_onset,0.9836083531918228,0.009836083531918229
osi_target_t06h,19,gust_last_obs,0.9817142276908005,0.009817142276908004
osi_target_t06h,20,days_since_onset,0.9412653859621801,0.0094126538596218
osi_target_t06h,21,total_tp_next_24h,0.9185941670750599,0.009185941670750599
osi_target_t06h,22,gust_max_last6h_obs,0.8803169936660649,0.008803169936660648
osi_target_t06h,23,t2m_at_t6h,0.8740434606999811,0.00874043460699981
osi_target_t06h,24,total_tp_next_48h,0.6864579374108359,0.00686457937410836
osi_target_t06h,25,gust_max_next_1h,0.5780118434735105,0.0057801184347351054
osi_target_t06h,26,pct_wetland,0.5395112039193634,0.005395112039193633
osi_target_t06h,27,gust_gt30_since_onset,0.4921492067925926,0.004921492067925926
osi_target_t06h,28,pop_density,0.49202966206427134,0.004920296620642714
osi_target_t06h,29,osi_trend_last6h,0.4696200876723364,0.004696200876723363
osi_target_t06h,30,min_t2m_next_6h,0.4134661310390792,0.004134661310390792
osi_target_t06h,31,t2m_at_t24h,0.3950815279601349,0.003950815279601349
osi_target_t06h,32,last_N_t,0.3770904475225378,0.003770904475225378
osi_target_t06h,33,gust_mean_next_24h,0.33049799802060315,0.0033049799802060313
osi_target_t06h,34,wind_speed_max_next_48h,0.3298943743206366,0.003298943743206366
osi_target_t06h,35,gust_peak4h_mean_next_6h,0.2910713050245582,0.002910713050245582
osi_target_t06h,36,storm_phase,0.29002132724667107,0.0029002132724667107
osi_target_t06h,37,pre_event_mean_osi,0.2623920703101648,0.002623920703101648
osi_target_t06h,38,log_customers,0.2559707381658713,0.002559707381658713
osi_target_t06h,39,gust_max_next_6h,0.2507909365166395,0.0025079093651663945
osi_target_t06h,40,gust_gt30_next_48h,0.22884618415534722,0.002288461841553472
osi_target_t06h,41,gust_mean_next_48h,0.2102564974041244,0.002102564974041244
osi_target_t06h,42,temp_change_6h,0.20906997081014855,0.0020906997081014855
osi_target_t06h,43,gust_mean_next_6h,0.2016500563970347,0.002016500563970347
osi_target_t06h,44,pct_developed,0.19626009672107603,0.0019626009672107604
osi_target_t06h,45,gust_max_next_48h,0.1955178795501103,0.001955178795501103
osi_target_t06h,46,tree_canopy_pct,0.1736054243009851,0.001736054243009851
osi_target_t06h,47,osi_mean_72h,0.16768858021040547,0.0016768858021040548
osi_target_t06h,48,tree_canopy_std,0.16399183413844776,0.0016399183413844775
osi_target_t06h,49,wind_sin_t,0.1616561214037944,0.001616561214037944
osi_target_t06h,50,N_t_mean_72h,0.15255253230090732,0.0015255253230090733
osi_target_t06h,51,total_tp_next_6h,0.1495319159383513,0.001495319159383513
osi_target_t06h,52,n_utilities,0.14162020413926282,0.0014162020413926281
osi_target_t06h,53,gust_t,0.13755023676645006,0.0013755023676645006
osi_target_t06h,54,wind_speed_max_next_6h,0.1373800494516217,0.001373800494516217
osi_target_t06h,55,soil_moist_t,0.13528202412785048,0.0013528202412785048
osi_target_t06h,56,pre_event_max_outage_pct,0.11824286926457808,0.001182428692645781
osi_target_t06h,57,rural_urban_code,0.11778205940946233,0.0011778205940946233
osi_target_t06h,58,outage_pct_mean_72h,0.10936625443565856,0.0010936625443565857
osi_target_t06h,59,t2m_at_t1h,0.10009635354902083,0.0010009635354902083
osi_target_t06h,60,gust_max_obs,0.09784290524939492,0.0009784290524939491
osi_target_t06h,61,R_t_max_72h,0.09510526481842116,0.0009510526481842116
osi_target_t06h,62,d2m_t,0.0938018782465888,0.000938018782465888
osi_target_t06h,63,min_t2m_next_24h,0.08388369594154561,0.0008388369594154562
osi_target_t06h,64,storm_onset_mean_osi,0.08056726859207428,0.0008056726859207427
osi_target_t06h,65,pct_water,0.08048323433643564,0.0008048323433643565
osi_target_t06h,66,min_t2m_next_1h,0.07809563651649071,0.0007809563651649071
osi_target_t06h,67,soil_moist_x_gust,0.07590327511615892,0.0007590327511615892
osi_target_t06h,68,storm_onset_max_osi,0.07193697180819732,0.0007193697180819732
osi_target_t06h,69,gust_at_t6h,0.06878389295077734,0.0006878389295077735
osi_target_t06h,70,temp_c_t,0.06513498262298886,0.0006513498262298886
osi_target_t06h,71,R_t_mean_72h,0.06507263761375646,0.0006507263761375647
osi_target_t06h,72,gust_peak4h_mean_next_24h,0.06489339185160685,0.0006489339185160685
osi_target_t06h,73,wind_speed_max_next_24h,0.06378976759109702,0.0006378976759109701
osi_target_t06h,74,pct_agriculture,0.06301937043758214,0.0006301937043758214
osi_target_t06h,75,last_R_t,0.06285085639639557,0.0006285085639639557
osi_target_t06h,76,cumul_gust_obs,0.06064859441561626,0.0006064859441561626
osi_target_t06h,77,gust_trend_last6h_obs,0.059997636904525975,0.0005999763690452597
osi_target_t06h,78,osi_max_72h,0.05845227066516218,0.0005845227066516218
osi_target_t06h,79,hours_since_peak,0.058110418921446534,0.0005811041892144653
osi_target_t06h,80,gust_gt30_next_6h,0.05649516978454854,0.0005649516978454855
osi_target_t06h,81,gust_peak4h_mean_next_1h,0.05246288920048887,0.0005246288920048886
osi_target_t06h,82,gust_mean_obs,0.04852760446506652,0.0004852760446506652
osi_target_t06h,83,outage_pct_max_72h,0.04471370991927894,0.0004471370991927894
osi_target_t06h,84,dewpoint_c_t,0.04294770846124762,0.0004294770846124762
osi_target_t06h,85,gust_gt40_next_6h,0.04285885114705738,0.0004285885114705738
osi_target_t06h,86,r2_t,0.03672956823677796,0.00036729568236777964
