role,target_kind,target,fold,rounds,path,sha256
cv,direct_osi,osi_target_t01h,0,118,versions/v1.8/models/cv/lgbm_osi_t01h_v1.8_balanced_v1_fold0.txt,14af35ffd8ead509b94e3aa0f98853fa297b11bd4b5f0cdaa07462d18527ad2c
cv,direct_osi,osi_target_t01h,1,257,versions/v1.8/models/cv/lgbm_osi_t01h_v1.8_balanced_v1_fold1.txt,3a1951aa52ad6555afb74c3106229d5cbc6bd3f958d0e0d47cd65d85e1f97606
cv,direct_osi,osi_target_t01h,2,211,versions/v1.8/models/cv/lgbm_osi_t01h_v1.8_balanced_v1_fold2.txt,31b0e97d41c725ce8ee57311633eb136f645fee722ca39f5b3a375d8c672b8ff
cv,direct_osi,osi_target_t01h,3,279,versions/v1.8/models/cv/lgbm_osi_t01h_v1.8_balanced_v1_fold3.txt,932eab1bf1af54cf3017067c29c0a96526df045c0c30d69cb150ee61ed63efe1
cv,direct_osi,osi_target_t01h,4,166,versions/v1.8/models/cv/lgbm_osi_t01h_v1.8_balanced_v1_fold4.txt,358e28ca3e5a20ab7616c59b79667f4c2559037774c3397707a3f599eeda7b78
final,direct_osi,osi_target_t01h,-1,206,versions/v1.8/models/final/lgbm_osi_t01h_v1.8_balanced_v1_final.txt,97f2573557318fd6b2307e4dc96abaeb8d943c37999ad20173efcbab3eba0c5a
cv,direct_osi,osi_target_t06h,0,175,versions/v1.8/models/cv/lgbm_osi_t06h_v1.8_balanced_v1_fold0.txt,b758541cf4b95005a11c227b61c5bbf6b639771fcd3131d96bdce5e14774d91f
cv,direct_osi,osi_target_t06h,1,35,versions/v1.8/models/cv/lgbm_osi_t06h_v1.8_balanced_v1_fold1.txt,13905f97958a156771e27379ec9f13ae935aae20af3f088ecc02220bedbfea36
cv,direct_osi,osi_target_t06h,2,565,versions/v1.8/models/cv/lgbm_osi_t06h_v1.8_balanced_v1_fold2.txt,164d784d825444e75fae905b2eec46ef7dd79515b3a0275fcdb03c23ee5f8593
cv,direct_osi,osi_target_t06h,3,216,versions/v1.8/models/cv/lgbm_osi_t06h_v1.8_balanced_v1_fold3.txt,de8b6d0715795f18d1b32e0e15bc98c26be11e811e9e6b48db33cd2afcdc8b6c
cv,direct_osi,osi_target_t06h,4,383,versions/v1.8/models/cv/lgbm_osi_t06h_v1.8_balanced_v1_fold4.txt,9c9a970917e48734662106d734e559c74182e7d73ef779ab730176696845ca3e
final,direct_osi,osi_target_t06h,-1,274,versions/v1.8/models/final/lgbm_osi_t06h_v1.8_balanced_v1_final.txt,71b16eb33312fad78d93e86dd3c232da54c7b3e0637989d4d104ed1283295aea
cv,direct_osi,osi_target_t24h,0,152,versions/v1.8/models/cv/lgbm_osi_t24h_v1.8_balanced_v1_fold0.txt,b5c336ee739b03639a9a9fca0b0798bf4e6cc3f7ce965606c1a106272adb6646
