model,reference,horizon,metric,difference,change_pct,ci_2_5,ci_97_5,improvement_probability,replicates,unit
C1_component_osi,C0_direct_osi,osi_target_t01h,rmse,-0.00011395204699515306,-0.9512349969058032,-0.00020005662964014164,-3.4521616139953284e-05,0.9965,2000,county_full_trajectory
C1_component_osi,C0_direct_osi,osi_target_t01h,mae,-6.254052537297194e-05,-1.7423378159814762,-0.00011106698541733684,-1.436495928101811e-05,0.995,2000,county_full_trajectory
C2_equal_blend,C0_direct_osi,osi_target_t01h,rmse,-7.843888229963972e-05,-0.6547825329084711,-0.00012407168772882773,-3.890368740704308e-05,1.0,2000,county_full_trajectory
C2_equal_blend,C0_direct_osi,osi_target_t01h,mae,-5.658154026257035e-05,-1.5763244184155756,-8.055417448420293e-05,-3.33854694391138e-05,1.0,2000,county_full_trajectory
C2_equal_blend,C1_component_osi,osi_target_t01h,rmse,3.551316469551334e-05,0.29929950564053787,-7.45205680929362e-06,7.584798929689929e-05,0.0475,2000,county_full_trajectory
C2_equal_blend,C1_component_osi,osi_target_t01h,mae,5.958985110401591e-06,0.16895720280316606,-1.7537868885021375e-05,3.094712633968477e-05,0.3305,2000,county_full_trajectory
C3_aligned_component,C0_direct_osi,osi_target_t01h,rmse,-0.00030276539468297725,-2.5273880274102933,-0.0004800800865399807,-0.0001306958520604116,0.999,2000,county_full_trajectory
C3_aligned_component,C0_direct_osi,osi_target_t01h,mae,-8.719076085649674e-05,-2.4290771294051994,-0.00016691196835724883,-4.441435699568269e-06,0.9795,2000,county_full_trajectory
C3_aligned_component,C1_component_osi,osi_target_t01h,rmse,-0.0001888133476878242,-1.5912899372902412,-0.00034818962628978386,-3.8570950860017275e-05,0.995,2000,county_full_trajectory
C3_aligned_component,C1_component_osi,osi_target_t01h,mae,-2.46502354835248e-05,-0.6989168052233818,-8.706134678622909e-05,3.787438969998801e-05,0.7715,2000,county_full_trajectory
C1_component_osi,C0_direct_osi,osi_target_t06h,rmse,-0.00016443178928155291,-1.5400570335468156,-0.0003409019732362072,6.4063536553667495e-06,0.968,2000,county_full_trajectory
C1_component_osi,C0_direct_osi,osi_target_t06h,mae,-0.00016190660518317123,-4.559446957595348,-0.00022675451280208502,-9.741380948098472e-05,1.0,2000,county_full_trajectory
C2_equal_blend,C0_direct_osi,osi_target_t06h,rmse,-0.00010979756913665796,-1.0283566173796,-0.0001968595591030537,-2.4250275523266813e-05,0.9955,2000,county_full_trajectory
C2_equal_blend,C0_direct_osi,osi_target_t06h,mae,-0.00011700800449921701,-3.2950588366959965,-0.00014987280803480669,-8.31097127500646e-05,1.0,2000,county_full_trajectory
C2_equal_blend,C1_component_osi,osi_target_t06h,rmse,5.4634220144894954e-05,0.519704156584333,-3.288351682381677e-05,0.00014354587263529467,0.12,2000,county_full_trajectory
C2_equal_blend,C1_component_osi,osi_target_t06h,mae,4.489860068395421e-05,1.3247912764478453,1.3625088129942242e-05,7.651818078598297e-05,0.0015,2000,county_full_trajectory
C3_aligned_component,C0_direct_osi,osi_target_t06h,rmse,-0.0003563936535177243,-3.3379588898811097,-0.0005121867175317237,-0.00018700717170669836,1.0,2000,county_full_trajectory
C3_aligned_component,C0_direct_osi,osi_target_t06h,mae,-0.000250132488151708,-7.043973349998945,-0.00035006530111902505,-0.0001644796043814348,1.0,2000,county_full_trajectory
C3_aligned_component,C1_component_osi,osi_target_t06h,rmse,-0.00019196186423617138,-1.8260236621779002,-0.00036933460761906213,-4.044560029076638e-05,0.996,2000,county_full_trajectory
C3_aligned_component,C1_component_osi,osi_target_t06h,mae,-8.822588296853676e-05,-2.6032187714793653,-0.0001632807096967802,-2.330260771049231e-05,0.997,2000,county_full_trajectory
C1_component_osi,C0_direct_osi,osi_target_t24h,rmse,-9.100810108618289e-05,-1.0752588483536996,-0.00016787240403956923,-7.999671578626866e-06,0.984,2000,county_full_trajectory
C1_component_osi,C0_direct_osi,osi_target_t24h,mae,-1.7915649032914944e-05,-0.6088107596687986,-5.742276598087816e-05,2.141127460167734e-05,0.8075,2000,county_full_trajectory
C2_equal_blend,C0_direct_osi,osi_target_t24h,rmse,-6.0810888988589024e-05,-0.718479406567496,-9.89631347098265e-05,-2.0094549517844803e-05,0.998,2000,county_full_trajectory
C2_equal_blend,C0_direct_osi,osi_target_t24h,mae,-2.3222311779351294e-05,-0.7891421209289096,-4.3037903113756055e-05,-3.96636059651504e-06,0.9875,2000,county_full_trajectory
C2_equal_blend,C1_component_osi,osi_target_t24h,rmse,3.0197212097593865e-05,0.36065744285274093,-1.2675121596228346e-05,6.868261607069692e-05,0.09,2000,county_full_trajectory
C2_equal_blend,C1_component_osi,osi_target_t24h,mae,-5.30666274643635e-06,-0.18143596292430342,-2.5554720312550932e-05,1.4878631907446759e-05,0.7045,2000,county_full_trajectory
C3_aligned_component,C0_direct_osi,osi_target_t24h,rmse,-0.00013432836126449008,-1.5870868341458566,-0.00033829394971893135,5.585570356059801e-05,0.923,2000,county_full_trajectory
C3_aligned_component,C0_direct_osi,osi_target_t24h,mae,-0.00016408900697651493,-5.576083389841669,-0.0002489123708136383,-7.679527593319383e-05,1.0,2000,county_full_trajectory
C3_aligned_component,C1_component_osi,osi_target_t24h,rmse,-4.332026017830719e-05,-0.517391281325208,-0.000264466788568569,0.0001749127479231352,0.6575,2000,county_full_trajectory
C3_aligned_component,C1_component_osi,osi_target_t24h,mae,-0.00014617335794359998,-4.997699160397251,-0.00023105397414993728,-5.6896891626817286e-05,0.999,2000,county_full_trajectory
C1_component_osi,C0_direct_osi,osi_target_t48h,rmse,-5.098681820369603e-05,-0.6669812735540237,-0.00012438318662904327,1.6594045644632504e-05,0.9325,2000,county_full_trajectory
C1_component_osi,C0_direct_osi,osi_target_t48h,mae,3.600914805964358e-06,0.15635338210788774,-2.856540400533853e-05,3.6050008242826386e-05,0.4125,2000,county_full_trajectory
C2_equal_blend,C0_direct_osi,osi_target_t48h,rmse,-3.676229885808159e-05,-0.48090400175940795,-7.454886185236453e-05,-3.1934747575412005e-06,0.987,2000,county_full_trajectory
C2_equal_blend,C0_direct_osi,osi_target_t48h,mae,-1.119042149643314e-05,-0.48589326392343146,-2.769516105489878e-05,5.600194371495695e-06,0.906,2000,county_full_trajectory
C2_equal_blend,C1_component_osi,osi_target_t48h,rmse,1.4224519345614438e-05,0.18732670584296063,-1.995097617860358e-05,5.027438123684518e-05,0.221,2000,county_full_trajectory
C2_equal_blend,C1_component_osi,osi_target_t48h,mae,-1.4791336302397498e-05,-0.6412440392883356,-3.159867915850103e-05,1.3356333946489261e-06,0.9605,2000,county_full_trajectory
C3_aligned_component,C0_direct_osi,osi_target_t48h,rmse,2.2520592270696728e-05,0.2946018960016561,-0.0002450808951601159,0.00022953628806950653,0.462,2000,county_full_trajectory
C3_aligned_component,C0_direct_osi,osi_target_t48h,mae,-5.130757695861413e-05,-2.2277986615937495,-0.00011862940691556706,1.9929771120919954e-05,0.925,2000,county_full_trajectory
C3_aligned_component,C1_component_osi,osi_target_t48h,rmse,7.350741047439276e-05,0.9680398138345092,-0.00018516538155136913,0.0002933435788657994,0.3165,2000,county_full_trajectory
C3_aligned_component,C1_component_osi,osi_target_t48h,mae,-5.490849176457849e-05,-2.3804301606367706,-0.0001285278039583586,2.2107189766677876e-05,0.9285,2000,county_full_trajectory
