target_kind,target,fold,train_rows,valid_rows,best_round,rmse,mae,n
direct_osi,osi_target_t01h,0,27313,6864,118,0.0067469594960947645,0.0027580723020106143,6864
direct_osi,osi_target_t01h,1,27456,6721,257,0.010571187648977265,0.003787790201269374,6721
direct_osi,osi_target_t01h,2,27313,6864,211,0.013206768052934397,0.004068154497334365,6864
direct_osi,osi_target_t01h,3,27313,6864,279,0.016136740602161116,0.003986596635134533,6864
direct_osi,osi_target_t01h,4,27313,6864,166,0.011170562285658898,0.003350820073388493,6864
direct_osi,osi_target_t06h,0,26358,6624,175,0.006529433148236702,0.002649356683160755,6624
direct_osi,osi_target_t06h,1,26496,6486,35,0.010116678439245042,0.00403628527441689,6486
direct_osi,osi_target_t06h,2,26358,6624,565,0.013196947012427233,0.004088744442385513,6624
direct_osi,osi_target_t06h,3,26358,6624,216,0.01291030434777477,0.003863075553207695,6624
direct_osi,osi_target_t06h,4,26358,6624,383,0.009161450343277783,0.0031277184543612277,6624
direct_osi,osi_target_t24h,0,22920,5760,152,0.004676682993211646,0.002042712177853166,5760
direct_osi,osi_target_t24h,1,23040,5640,13,0.008743468525111582,0.003552848654410227,5640
direct_osi,osi_target_t24h,2,22920,5760,527,0.01294150909584878,0.003871927631508058,5760
direct_osi,osi_target_t24h,3,22920,5760,38,0.006038402494602367,0.0027716584191973394,5760
direct_osi,osi_target_t24h,4,22920,5760,453,0.00748451248944393,0.0024872075143957777,5760
direct_osi,osi_target_t48h,0,18336,4608,221,0.003639645418708036,0.001611630788902187,4608
direct_osi,osi_target_t48h,1,18432,4512,15,0.005772820147779022,0.0024399082030299116,4512
direct_osi,osi_target_t48h,2,18336,4608,255,0.013045199895381785,0.0033120782708388977,4608
direct_osi,osi_target_t48h,3,18336,4608,29,0.00498290913178981,0.002041272071917311,4608
direct_osi,osi_target_t48h,4,18336,4608,116,0.007076946288214522,0.0021132699621036117,4608
component,P_t_target_t01h,0,27313,6864,180,0.011056010442454016,0.004383174342809056,6864
component,P_t_target_t01h,1,27456,6721,375,0.016537056464557165,0.005794881625798198,6721
component,P_t_target_t01h,2,27313,6864,135,0.02099960428527385,0.006239679044881587,6864
component,P_t_target_t01h,3,27313,6864,271,0.025737501825893204,0.006202510575278208,6864
