horizon,rank,feature,importance,importance_fraction
osi_target_t01h,1,days_since_onset,0.15853610634803772,0.15853609144687653
osi_target_t01h,2,hours_since_obs,0.11451542377471924,0.11451540887355804
osi_target_t01h,3,last_outage_pct,0.08486958593130112,0.08486957848072052
osi_target_t01h,4,last_P_t,0.05941252410411835,0.05941251665353775
osi_target_t01h,5,last_osi,0.03389101102948189,0.03389100730419159
osi_target_t01h,6,gust_x_hso,0.027017466723918915,0.027017462998628616
osi_target_t01h,7,gust_mean_next_48h,0.02387041039764881,0.023870406672358513
osi_target_t01h,8,outage_pct_max_72h,0.020515957847237587,0.020515955984592438
osi_target_t01h,9,min_t2m_next_48h,0.019757580012083054,0.019757578149437904
osi_target_t01h,10,cumul_gust_since_onset,0.019714033231139183,0.019714031368494034
osi_target_t01h,11,t2m_at_t48h,0.015683213248848915,0.015683211386203766
osi_target_t01h,12,cumul_tp_since_onset,0.0130076352506876,0.01300763338804245
osi_target_t01h,13,gust_mean_next_24h,0.012887183576822281,0.012887181714177132
osi_target_t01h,14,soil_gust_x_phase,0.012770799919962883,0.012770798057317734
osi_target_t01h,15,last_D_t,0.012304798699915409,0.01230479683727026
osi_target_t01h,16,gust_gt30_frac_next_48h,0.011886573396623135,0.011886571533977985
osi_target_t01h,17,t2m_at_t24h,0.010688184760510921,0.010688183829188347
osi_target_t01h,18,gust_gt30_next_48h,0.009477895684540272,0.009477894753217697
osi_target_t01h,19,sdwe_t,0.009263219311833382,0.009263218380510807
osi_target_t01h,20,storm_onset_max_osi,0.007978067733347416,0.007978066802024841
osi_target_t01h,21,wind_speed_at_t48h,0.00795512180775404,0.007955120876431465
osi_target_t01h,22,gust_gt30_since_onset,0.006573405582457781,0.006573404651135206
osi_target_t01h,23,storm_onset_mean_osi,0.006566139869391918,0.006566138938069344
osi_target_t01h,24,total_tp_next_24h,0.006523950956761837,0.006523950025439262
osi_target_t01h,25,gust_x_phase,0.0064435903914272785,0.006443589460104704
osi_target_t01h,26,N_t_mean_72h,0.006257044617086649,0.006257043685764074
osi_target_t01h,27,osi_std_72h,0.006165509112179279,0.006165508180856705
osi_target_t01h,28,gust_last_obs,0.0060729063116014,0.006072905380278826
osi_target_t01h,29,log_customers,0.005916918627917767,0.005916917696595192
osi_target_t01h,30,osi_mean_72h,0.005860915873199701,0.005860914941877127
osi_target_t01h,31,tree_canopy_pct,0.005478885490447283,0.0054788850247859955
osi_target_t01h,32,pct_forest_classified,0.005426772870123386,0.005426772404462099
osi_target_t01h,33,gust_at_t48h,0.005375528708100319,0.005375528242439032
osi_target_t01h,34,total_tp_next_48h,0.005147929303348064,0.005147928837686777
osi_target_t01h,35,pct_forest,0.00502000842243433,0.005020007956773043
osi_target_t01h,36,gust_gt40_next_48h,0.005018484313040972,0.0050184838473796844
osi_target_t01h,37,gust_max_next_48h,0.005011523142457008,0.005011522676795721
osi_target_t01h,38,last_N_t,0.0047542136162519455,0.004754213150590658
osi_target_t01h,39,pct_wetland,0.004623590037226677,0.00462358957156539
osi_target_t01h,40,d2m_t,0.004573539365082979,0.004573538899421692
osi_target_t01h,41,pressure_change_6h,0.004413318354636431,0.004413317888975143
osi_target_t01h,42,soil_moist_x_gust,0.004371843300759792,0.004371842835098505
osi_target_t01h,43,mslma_t,0.004298442974686623,0.004298442509025335
osi_target_t01h,44,min_t2m_next_24h,0.004081138875335455,0.004081138409674168
osi_target_t01h,45,gust_mean_obs,0.004061788786202669,0.004061788320541382
osi_target_t01h,46,gust_max_last6h_obs,0.0038835552986711264,0.003883554833009839
osi_target_t01h,47,pop_density,0.003838286502286792,0.0038382860366255045
osi_target_t01h,48,frac_zero_72h,0.003779654623940587,0.0037796541582792997
osi_target_t01h,49,min_t2m_next_1h,0.003651523496955633,0.003651523031294346
osi_target_t01h,50,gust_peak4h_mean_next_48h,0.0036157681606709957,0.0036157676950097084
osi_target_t01h,51,osi_max_72h,0.003605665871873498,0.0036056654062122107
osi_target_t01h,52,dewpoint_c_t,0.0035679873544722795,0.0035679868888109922
osi_target_t01h,53,wind_speed_max_next_48h,0.0033672412391752005,0.003367240773513913
osi_target_t01h,54,N_t_max_72h,0.003339266637340188,0.0033392661716789007
osi_target_t01h,55,pre_event_mean_osi,0.0032500603701919317,0.0032500599045306444
osi_target_t01h,56,pct_unmapped,0.0032287321519106627,0.0032287316862493753
osi_target_t01h,57,outage_pct_mean_72h,0.0031836696434766054,0.003183669177815318
osi_target_t01h,58,gust_gt30_frac_next_24h,0.0031636941712349653,0.003163693705573678
osi_target_t01h,59,tree_canopy_std,0.0031332187354564667,0.0031332182697951794
osi_target_t01h,60,tp_rate_next_48h,0.003129978897050023,0.0031299784313887358
osi_target_t01h,61,pressure_change_3h,0.0029450885485857725,0.002945088082924485
osi_target_t01h,62,n_utilities,0.0028614734765142202,0.0028614732436835766
osi_target_t01h,63,gust_gt30_next_24h,0.0028534182347357273,0.0028534180019050837
osi_target_t01h,64,gust_mean_next_6h,0.0028371568769216537,0.00283715664409101
osi_target_t01h,65,is_snowing,0.0028315361123532057,0.002831535879522562
osi_target_t01h,66,t2m_t,0.0027982615865767,0.0027982613537460566
osi_target_t01h,67,wind_speed_max_next_24h,0.002783021656796336,0.0027830214239656925
osi_target_t01h,68,wind_sin_t,0.0027361048851162195,0.002736104652285576
osi_target_t01h,69,cumul_gust_obs,0.0026773116551339626,0.002677311422303319
osi_target_t01h,70,hcc_t,0.0026505286805331707,0.002650528447702527
osi_target_t01h,71,csnow_t,0.0025464349891990423,0.0025464347563683987
osi_target_t01h,72,gust_max_obs,0.0023867383133620024,0.0023867380805313587
osi_target_t01h,73,last_R_t,0.0023546162992715836,0.00235461606644094
osi_target_t01h,74,gust_gt30_frac_next_6h,0.0023254419211298227,0.002325441688299179
osi_target_t01h,75,window_len_next_48h,0.0023234861437231302,0.0023234859108924866
osi_target_t01h,76,gust_gt40_obs,0.002265450544655323,0.0022654503118246794
osi_target_t01h,77,osi_trend_last6h,0.002177425194531679,0.0021774249617010355
osi_target_t01h,78,pct_developed,0.0021539460867643356,0.002153945853933692
osi_target_t01h,79,gust_mean_next_1h,0.0021235488820821047,0.002123548649251461
osi_target_t01h,80,min_t2m_next_6h,0.0021230638958513737,0.00212306366302073
osi_target_t01h,81,gust_exceed_30,0.0020783827640116215,0.002078382531180978
osi_target_t01h,82,t2m_at_t6h,0.0020775371231138706,0.002077536890283227
osi_target_t01h,83,sp_t,0.0020606957841664553,0.0020606955513358116
osi_target_t01h,84,wind_cos_t,0.0020091792102903128,0.002009178977459669
osi_target_t01h,85,gust_max_next_1h,0.0020023842807859182,0.0020023840479552746
osi_target_t01h,86,tp_rate_next_6h,0.001990383956581354,0.0019903837237507105
osi_target_t01h,87,pre_event_max_outage_pct,0.0019646857399493456,0.001964685507118702
osi_target_t01h,88,soil_moist_t,0.0018883703742176294,0.0018883701413869858
osi_target_t01h,89,R_t_mean_72h,0.0018865471938624978,0.0018865469610318542
osi_target_t01h,90,total_tp_next_6h,0.0018500760197639465,0.0018500757869333029
osi_target_t01h,91,gust_gt30_obs,0.0017847216222435236,0.00178472138941288
osi_target_t01h,92,forest_x_customers,0.001775130396708846,0.0017751301638782024
osi_target_t01h,93,pct_agriculture,0.0017279776511713862,0.0017279774183407426
osi_target_t01h,94,gust_peak4h_mean_next_24h,0.0017237921711057425,0.0017237919382750988
osi_target_t01h,95,vpd_t,0.001712224679067731,0.0017122244462370872
osi_target_t01h,96,hours_since_peak,0.0016997996717691422,0.0016997994389384985
osi_target_t01h,97,tp_rate_next_1h,0.0016938921762630343,0.0016938919434323907
osi_target_t01h,98,gust_max_next_24h,0.0016815334092825651,0.0016815331764519215
osi_target_t01h,99,temp_change_6h,0.001647233497351408,0.0016472332645207644
osi_target_t01h,100,wind_speed_max_next_6h,0.00163585739210248,0.0016358571592718363
osi_target_t01h,101,gust_trend_last6h_obs,0.0015753157204017043,0.0015753154875710607
osi_target_t01h,102,gust_gt40_next_24h,0.0015490191290155053,0.0015490188961848617
osi_target_t01h,103,blh_t,0.00151618174277246,0.0015161815099418163
osi_target_t01h,104,tp_rate_next_24h,0.0015152690466493368,0.0015152688138186932
osi_target_t01h,105,t2m_at_t1h,0.0015055447584018111,0.0015055445255711675
osi_target_t01h,106,wind_speed_at_t6h,0.0014261192409321666,0.0014261191245168447
osi_target_t01h,107,hour_of_day,0.0013899455079808831,0.0013899453915655613
osi_target_t01h,108,rural_urban_code,0.0013407974038273096,0.0013407972874119878
osi_target_t01h,109,R_t_max_72h,0.0013297733385115862,0.0013297732220962644
osi_target_t01h,110,is_worsening,0.001314715831540525,0.0013147157151252031
osi_target_t01h,111,pct_water,0.0013092190492898226,0.0013092189328745008
osi_target_t01h,112,gust_peak4h_mean_next_6h,0.0012224457459524274,0.0012224456295371056
osi_target_t01h,113,gust_exceed30_x_hso,0.0012048766948282719,0.00120487657841295
osi_target_t01h,114,gust_t,0.0011867866851389408,0.001186786568723619
osi_target_t01h,115,tp_at_t48h,0.0011546004097908735,0.0011546002933755517
osi_target_t01h,116,gust_at_t6h,0.001150620519183576,0.0011506204027682543
osi_target_t01h,117,wind_speed_at_t24h,0.0011480238754302263,0.0011480237590149045
osi_target_t01h,118,lcc_t,0.00111750653013587,0.0011175064137205482
osi_target_t01h,119,is_metro,0.001113799400627613,0.0011137992842122912
osi_target_t01h,120,hour_sin,0.0010876531014218926,0.0010876529850065708
osi_target_t01h,121,gust_gt30_next_6h,0.0010578531073406339,0.001057852990925312
osi_target_t01h,122,gust_peak4h_mean_next_1h,0.0010149895679205656,0.0010149894515052438
osi_target_t01h,123,tp_at_t6h,0.0009763705311343074,0.0009763704147189856
osi_target_t01h,124,et0_t,0.0009651767322793603,0.0009651766158640385
osi_target_t01h,125,wind_speed_max_next_1h,0.0009566080407239497,0.0009566079243086278
osi_target_t01h,126,gust_max_next_6h,0.0009402722935192287,0.0009402721771039069
osi_target_t01h,127,tp_at_t24h,0.0009356586378999054,0.0009356585214845836
osi_target_t01h,128,r2_t,0.0009320341632701457,0.0009320340468548238
osi_target_t01h,129,direct_rad_t,0.0009178233449347317,0.0009178232285194099
osi_target_t01h,130,total_tp_next_1h,0.0008155438699759543,0.0008155437535606325
osi_target_t01h,131,gust_at_t24h,0.0008054340141825378,0.000805433897767216
osi_target_t01h,132,gust_change_3h,0.0007799492450430989,0.0007799491286277771
osi_target_t01h,133,mcc_t,0.0007647788734175265,0.0007647787570022047
osi_target_t01h,134,temp_c_t,0.000762558018323034,0.0007625579019077122
osi_target_t01h,135,wind_speed_t,0.0007622423581779003,0.0007622422417625785
osi_target_t01h,136,diffuse_rad_t,0.0007563035469502211,0.0007563034305348992
osi_target_t01h,137,gust_change_1h,0.0007359397714026272,0.0007359396549873054
osi_target_t01h,138,gust_gt40_next_6h,0.0006871310179121792,0.0006871309597045183
osi_target_t01h,139,sdswrf_t,0.000654578790999949,0.0006545787327922881
osi_target_t01h,140,wind_speed_at_t1h,0.0006407195469364524,0.0006407194887287915
osi_target_t01h,141,tp_t,0.0006239637150429189,0.000623963656835258
osi_target_t01h,142,tcc_t,0.000571883691009134,0.0005718836328014731
osi_target_t01h,143,hour_cos,0.0005552295478992164,0.0005552294896915555
osi_target_t01h,144,gust_at_t1h,0.0003947390941902995,0.0003947390359826386
osi_target_t01h,145,wind_change_1h,0.0003947345248889178,0.0003947344666812569
osi_target_t01h,146,tp_at_t1h,0.0003148270188830793,0.00031482698977924883
osi_target_t01h,147,gust_gt30_next_1h,0.00023896200582385063,0.00023896197672002017
osi_target_t01h,148,rain_t,0.00019728408369701356,0.0001972840545931831
osi_target_t01h,149,icing_risk_t,0.00011944284051423892,0.0001194428259623237
osi_target_t01h,150,gust_gt40_next_1h,8.90232840902172e-05,8.902327681425959e-05
osi_target_t01h,151,window_len_next_24h,5.687894736183807e-05,5.687894008588046e-05
osi_target_t01h,152,storm_phase,0.0,0.0
osi_target_t01h,153,window_len_next_6h,0.0,0.0
osi_target_t01h,154,is_full_next_6h,0.0,0.0
osi_target_t01h,155,gust_gt30_frac_next_1h,0.0,0.0
osi_target_t01h,156,has_weather_at_t1h,0.0,0.0
osi_target_t01h,157,is_full_next_24h,0.0,0.0
osi_target_t01h,158,has_weather_at_t6h,0.0,0.0
osi_target_t01h,159,window_len_next_1h,0.0,0.0
osi_target_t01h,160,is_full_next_1h,0.0,0.0
osi_target_t01h,161,is_full_next_48h,0.0,0.0
osi_target_t01h,162,has_weather_at_t24h,0.0,0.0
osi_target_t01h,163,has_weather_at_t48h,0.0,0.0
osi_target_t06h,1,hours_since_obs,0.07840423285961151,0.07840423285961151
osi_target_t06h,2,last_P_t,0.0696188285946846,0.0696188285946846
osi_target_t06h,3,last_outage_pct,0.04417495056986809,0.04417495056986809
osi_target_t06h,4,last_osi,0.04201553761959076,0.04201553761959076
osi_target_t06h,5,gust_gt30_frac_next_48h,0.03439820557832718,0.03439820557832718
osi_target_t06h,6,gust_x_hso,0.03162607178092003,0.03162607178092003
osi_target_t06h,7,gust_mean_next_48h,0.02963901311159134,0.02963901311159134
osi_target_t06h,8,last_D_t,0.029231972992420197,0.029231972992420197
osi_target_t06h,9,t2m_at_t48h,0.026560448110103607,0.026560448110103607
osi_target_t06h,10,outage_pct_max_72h,0.021026697009801865,0.021026697009801865
osi_target_t06h,11,gust_mean_next_24h,0.020789504051208496,0.020789504051208496
osi_target_t06h,12,cumul_tp_since_onset,0.01809481903910637,0.01809481903910637
osi_target_t06h,13,total_tp_next_24h,0.01769840717315674,0.01769840717315674
osi_target_t06h,14,cumul_gust_since_onset,0.014755995944142342,0.014755995944142342
osi_target_t06h,15,tp_rate_next_1h,0.014508578926324844,0.014508578926324844
osi_target_t06h,16,days_since_onset,0.01410455722361803,0.01410455722361803
osi_target_t06h,17,gust_peak4h_mean_next_48h,0.013502324931323528,0.013502324931323528
osi_target_t06h,18,d2m_t,0.011835195124149323,0.011835195124149323
osi_target_t06h,19,gust_x_phase,0.010746683925390244,0.010746683925390244
osi_target_t06h,20,tp_rate_next_24h,0.010398166254162788,0.010398166254162788
osi_target_t06h,21,outage_pct_mean_72h,0.010288222692906857,0.010288222692906857
osi_target_t06h,22,wind_cos_t,0.010153120383620262,0.010153120383620262
osi_target_t06h,23,gust_gt40_next_6h,0.010068806819617748,0.010068806819617748
osi_target_t06h,24,gust_gt30_next_48h,0.009470321238040924,0.009470321238040924
osi_target_t06h,25,pressure_change_6h,0.00929813738912344,0.00929813738912344
osi_target_t06h,26,gust_max_last6h_obs,0.009030393324792385,0.009030393324792385
osi_target_t06h,27,osi_mean_72h,0.00825929082930088,0.00825929082930088
osi_target_t06h,28,osi_std_72h,0.0082575473934412,0.0082575473934412
osi_target_t06h,29,mslma_t,0.00797207560390234,0.00797207560390234
osi_target_t06h,30,t2m_at_t24h,0.007835155352950096,0.007835155352950096
osi_target_t06h,31,wind_sin_t,0.007819917984306812,0.007819917984306812
osi_target_t06h,32,pct_forest_classified,0.007646594662219286,0.007646594662219286
osi_target_t06h,33,pct_forest,0.007427604403346777,0.007427604403346777
osi_target_t06h,34,storm_onset_mean_osi,0.007355641108006239,0.007355641108006239
osi_target_t06h,35,storm_onset_max_osi,0.007142924703657627,0.007142924703657627
osi_target_t06h,36,log_customers,0.006852025631815195,0.006852025631815195
osi_target_t06h,37,gust_at_t48h,0.006340606138110161,0.006340606138110161
osi_target_t06h,38,gust_last_obs,0.006323830224573612,0.006323830224573612
osi_target_t06h,39,pct_wetland,0.006321288645267487,0.006321288645267487
osi_target_t06h,40,tree_canopy_std,0.006273583509027958,0.006273583509027958
osi_target_t06h,41,soil_gust_x_phase,0.006229805760085583,0.006229805760085583
osi_target_t06h,42,wind_speed_at_t6h,0.006201933603733778,0.006201933603733778
osi_target_t06h,43,tree_canopy_pct,0.006100190803408623,0.006100190803408623
osi_target_t06h,44,N_t_mean_72h,0.005893433932214975,0.005893433932214975
osi_target_t06h,45,is_snowing,0.005793549586087465,0.005793549586087465
osi_target_t06h,46,wind_speed_max_next_48h,0.005757725797593594,0.005757725797593594
osi_target_t06h,47,min_t2m_next_24h,0.005754020530730486,0.005754020530730486
osi_target_t06h,48,min_t2m_next_48h,0.005551132373511791,0.005551132373511791
osi_target_t06h,49,frac_zero_72h,0.005416419357061386,0.005416419357061386
osi_target_t06h,50,pressure_change_3h,0.00522757088765502,0.00522757088765502
osi_target_t06h,51,gust_peak4h_mean_next_6h,0.005177266430109739,0.005177266430109739
osi_target_t06h,52,forest_x_customers,0.00513860210776329,0.00513860210776329
osi_target_t06h,53,osi_max_72h,0.0051011559553444386,0.0051011559553444386
osi_target_t06h,54,gust_gt30_since_onset,0.0050760903395712376,0.0050760903395712376
osi_target_t06h,55,pre_event_mean_osi,0.005008830223232508,0.005008830223232508
osi_target_t06h,56,gust_max_obs,0.00499678822234273,0.00499678822234273
osi_target_t06h,57,total_tp_next_48h,0.004985571373254061,0.004985571373254061
osi_target_t06h,58,sdwe_t,0.00482461741194129,0.00482461741194129
osi_target_t06h,59,pct_unmapped,0.004765124060213566,0.004765124060213566
