horizon,component,rmse,mae,rmse_std,mae_std,best_rounds,final_rounds,valid_rows
osi_target_t01h,P_t,0.019650596378643474,0.005393736991342655,0.005715123422209466,0.0008781549830852194,"[1364, 1953, 1445, 390, 1155]",1261,34177
osi_target_t01h,N_t,0.0042932651554545695,0.0007652179498835126,0.0015454096141053009,0.0001371053165122362,"[230, 270, 308, 214, 688]",342,34177
osi_target_t01h,D_t,0.017734425629295197,0.005306154478034444,0.004474890237513648,0.0007143330059972348,"[816, 1200, 1870, 449, 964]",1060,34177
osi_target_t01h,R_t,0.004078026204650615,0.0010128154299587988,0.0011035922867565135,0.00013007688146746376,"[97, 1443, 616, 185, 722]",613,34177
osi_target_t06h,P_t,0.016968493947465305,0.004985004867990245,0.0032695598663479756,0.0006751337590913806,"[1026, 324, 1961, 819, 519]",930,32982
osi_target_t06h,N_t,0.003725944991121181,0.0007209485093084178,0.001348248021498842,0.00012511014737086353,"[227, 549, 319, 97, 255]",289,32982
osi_target_t06h,D_t,0.017246435181536606,0.005178497201364894,0.00457881256132682,0.0008050297784031271,"[964, 140, 858, 438, 316]",543,32982
osi_target_t06h,R_t,0.004021523681047244,0.0009696233543773494,0.0011129174995219652,0.00012551932583062232,"[180, 498, 412, 181, 837]",422,32982
osi_target_t24h,P_t,0.01381976977570723,0.004038701598590404,0.004211916802703689,0.0007434453070208312,"[972, 34, 1999, 93, 959]",811,28680
osi_target_t24h,N_t,0.00377235699262326,0.000747459284542438,0.0015508068674226735,0.00016038930691241997,"[185, 824, 551, 67, 247]",375,28680
osi_target_t24h,D_t,0.011808146822889085,0.004047407911357629,0.003453751940067822,0.0007649558462695704,"[373, 1988, 1217, 137, 1367]",1016,28680
osi_target_t24h,R_t,0.003421680424421921,0.0008112965739265536,0.00131380129763133,0.00017085850953979344,"[200, 243, 765, 73, 819]",420,28680
osi_target_t48h,P_t,0.012246867681735562,0.003157703138697423,0.005437868720740856,0.0010264774776043216,"[718, 117, 1957, 145, 253]",638,22944
osi_target_t48h,N_t,0.0034259145226181458,0.0005746631182973279,0.0017094090195560944,0.00016138914431060596,"[312, 458, 675, 41, 331]",363,22944
osi_target_t48h,D_t,0.010821176834588603,0.0032943568933972286,0.004578788636623622,0.0010504824378439073,"[141, 416, 1912, 66, 845]",676,22944
osi_target_t48h,R_t,0.0032653745607769667,0.0006744742137620134,0.001400576272181122,0.00015252345863851497,"[94, 242, 377, 61, 369]",229,22944
