horizon,component,fold,train_rows,valid_rows,best_round,rmse,mae
osi_target_t01h,P_t,0,27313,6864,930,0.011400825446251745,0.004167889631938117
osi_target_t01h,P_t,1,27456,6721,497,0.01597922872671058,0.004933688207564284
osi_target_t01h,P_t,2,27313,6864,2523,0.021245845026026618,0.00625523487750734
osi_target_t01h,P_t,3,27313,6864,1025,0.026339405686160288,0.006315091283012701
osi_target_t01h,P_t,4,27313,6864,4263,0.017713703380898435,0.004918407798851302
osi_target_t01h,N_t,0,27313,6864,365,0.0016968232822744743,0.000519098953099638
osi_target_t01h,N_t,1,27456,6721,1393,0.003221002997006619,0.0007157673218866579
osi_target_t01h,N_t,2,27313,6864,1023,0.005752362153306536,0.000910740693508705
osi_target_t01h,N_t,3,27313,6864,515,0.005729862035035423,0.000826486535890541
osi_target_t01h,N_t,4,27313,6864,1436,0.0036180002307212027,0.0007474783600978679
osi_target_t01h,D_t,0,27313,6864,847,0.010528569070047641,0.004067612114742461
osi_target_t01h,D_t,1,27456,6721,2128,0.013795037938568698,0.0049069287509719076
osi_target_t01h,D_t,2,27313,6864,2149,0.01881251117697364,0.0061849349166523794
osi_target_t01h,D_t,3,27313,6864,2119,0.02373294775592916,0.006393337240574217
osi_target_t01h,D_t,4,27313,6864,3396,0.01777795656036627,0.005000433600882026
osi_target_t01h,R_t,0,27313,6864,147,0.002314845424855341,0.0007524601058109895
osi_target_t01h,R_t,1,27456,6721,1756,0.00311770791562428,0.0009308363617010961
osi_target_t01h,R_t,2,27313,6864,815,0.005270279168885155,0.0011106407092919424
osi_target_t01h,R_t,3,27313,6864,961,0.004848074773363756,0.0011059401690309847
osi_target_t01h,R_t,4,27313,6864,2127,0.003950660497177857,0.0009812998193143429
osi_target_t06h,P_t,0,26358,6624,1942,0.011291085351793812,0.00412241695171201
osi_target_t06h,P_t,1,26496,6486,915,0.01461155272781238,0.004667232624464721
osi_target_t06h,P_t,2,26358,6624,3484,0.021241084068497878,0.006143468770413764
osi_target_t06h,P_t,3,26358,6624,1758,0.019410691005587455,0.005718836614988592
osi_target_t06h,P_t,4,26358,6624,3212,0.014608144181753444,0.004420485975373403
osi_target_t06h,N_t,0,26358,6624,521,0.0017137941599037134,0.0005117531731019874
osi_target_t06h,N_t,1,26496,6486,272,0.003067558566197133,0.0006810612710379868
osi_target_t06h,N_t,2,26358,6624,1171,0.005861035153538422,0.0008922042322850079
osi_target_t06h,N_t,3,26358,6624,230,0.00312091368864728,0.0007099344874182497
osi_target_t06h,N_t,4,26358,6624,1189,0.0035441221164301028,0.0007297066538035302
osi_target_t06h,D_t,0,26358,6624,1200,0.010582094305876387,0.00407256065656043
osi_target_t06h,D_t,1,26496,6486,573,0.013800931453846319,0.004689770127684747
osi_target_t06h,D_t,2,26358,6624,1914,0.018872300391654363,0.006136643412276804
osi_target_t06h,D_t,3,26358,6624,1837,0.02227721821788118,0.005846602336240227
osi_target_t06h,D_t,4,26358,6624,3414,0.014097568831445063,0.004495662084123102
osi_target_t06h,R_t,0,26358,6624,273,0.0022687560561139436,0.0007372770814250133
osi_target_t06h,R_t,1,26496,6486,685,0.0030724352334528964,0.0008818567043313291
osi_target_t06h,R_t,2,26358,6624,334,0.0053339886076979835,0.001066644269422864
osi_target_t06h,R_t,3,26358,6624,756,0.0047279444816347846,0.0010502194830211004
osi_target_t06h,R_t,4,26358,6624,1166,0.0039017357401126746,0.0009348838869660461
osi_target_t24h,P_t,0,22920,5760,1376,0.008150576013377101,0.0031942947570056915
osi_target_t24h,P_t,1,23040,5640,774,0.01297963023807037,0.003873806470540711
osi_target_t24h,P_t,2,22920,5760,4635,0.021195626545671108,0.005558210976948086
osi_target_t24h,P_t,3,22920,5760,555,0.010654911668238948,0.004219544689139584
osi_target_t24h,P_t,4,22920,5760,3505,0.012388135570239104,0.0038393149687894423
osi_target_t24h,N_t,0,22920,5760,319,0.0016218264937948195,0.0004993486603835601
osi_target_t24h,N_t,1,23040,5640,607,0.0031898770504145356,0.0007076568415708437
osi_target_t24h,N_t,2,22920,5760,1367,0.006164793222261293,0.0009526356864948584
osi_target_t24h,N_t,3,22920,5760,239,0.002390709723359347,0.0006928945154961415
osi_target_t24h,N_t,4,22920,5760,1301,0.0037418212994054442,0.0007557399938507974
osi_target_t24h,D_t,0,22920,5760,1183,0.007769335089946984,0.003161139383801103
osi_target_t24h,D_t,1,23040,5640,657,0.011305074017971515,0.0037209719046924403
osi_target_t24h,D_t,2,22920,5760,1873,0.01802184542478219,0.005425080574541352
osi_target_t24h,D_t,3,22920,5760,283,0.009728273530365823,0.003996319509055136
osi_target_t24h,D_t,4,22920,5760,2462,0.010001805029071586,0.003772391075774817
osi_target_t24h,R_t,0,22920,5760,139,0.001561070635944822,0.0005530517766546381
osi_target_t24h,R_t,1,23040,5640,443,0.002708873143266052,0.0007378215352828271
osi_target_t24h,R_t,2,22920,5760,534,0.0055169894217867695,0.0010236663179455058
osi_target_t24h,R_t,3,22920,5760,110,0.0024574332662513076,0.0007894057652483666
osi_target_t24h,R_t,4,22920,5760,299,0.0036179746257694045,0.000787261877424122
osi_target_t48h,P_t,0,18336,4608,855,0.005886676340855726,0.0023153212789724566
osi_target_t48h,P_t,1,18432,4512,118,0.00885577838541382,0.0026156575094207876
osi_target_t48h,P_t,2,18336,4608,1759,0.021903425772130843,0.004924899457517978
osi_target_t48h,P_t,3,18336,4608,210,0.008305150567063447,0.003078014683696207
osi_target_t48h,P_t,4,18336,4608,777,0.011146441422434736,0.00301097234159423
osi_target_t48h,N_t,0,18336,4608,1286,0.0014770760988706425,0.0003812099801028428
osi_target_t48h,N_t,1,18432,4512,110,0.0023542527384621398,0.0005158570717728692
osi_target_t48h,N_t,2,18336,4608,1342,0.0063387556823908415,0.0008146070591559346
osi_target_t48h,N_t,3,18336,4608,84,0.0019989697891885016,0.0005229296959639609
