horizon,fold,valid_rows,rmse,mae
osi_target_t01h,0,6864,0.007046926229358894,0.0026087351513350257
osi_target_t01h,1,6721,0.009825834968992243,0.003193495686687006
osi_target_t01h,2,6864,0.013358660342521117,0.004041682479661149
osi_target_t01h,3,6864,0.01644782195575371,0.004069096375680718
osi_target_t01h,4,6864,0.01133769880830866,0.003135033501438338
osi_target_t06h,0,6624,0.007035801288005562,0.0026033388384671856
osi_target_t06h,1,6486,0.00927891564983433,0.0030355104700049195
osi_target_t06h,2,6624,0.013386996622044149,0.003982920148209526
osi_target_t06h,3,6624,0.012966420851141804,0.0036580974996989085
osi_target_t06h,4,6624,0.009189680939079964,0.0028210941541330966
osi_target_t24h,0,5760,0.005149858402341229,0.002008297899960961
osi_target_t24h,1,5640,0.008111081592407874,0.0024991580769560475
osi_target_t24h,2,5760,0.013237247734704046,0.003593762568201669
osi_target_t24h,3,5760,0.006668729994555101,0.002655121867583615
osi_target_t24h,4,5760,0.0074783575655542585,0.002451687532291036
osi_target_t48h,0,4608,0.0036656048494272866,0.0014467355421973404
osi_target_t48h,1,4512,0.005579361218667163,0.0017102553937856108
osi_target_t48h,2,4608,0.013775251397318817,0.003240971346779752
osi_target_t48h,3,4608,0.005167987933996664,0.0019909009222500297
osi_target_t48h,4,4608,0.006861590518680627,0.0019513416390734418
