horizon,component,rank,feature,importance,importance_fraction
osi_target_t01h,P_t,1,hours_since_obs,14.720122194300506,0.14720122194300497
osi_target_t01h,P_t,2,last_outage_pct,11.210002924229304,0.11210002924229298
osi_target_t01h,P_t,3,last_P_t,9.661902920890753,0.09661902920890748
osi_target_t01h,P_t,4,pressure_change_6h,8.029306043591726,0.08029306043591722
osi_target_t01h,P_t,5,t2m_at_t48h,6.033441419113214,0.060334414191132106
osi_target_t01h,P_t,6,min_t2m_next_24h,5.12181522983435,0.051218152298343464
osi_target_t01h,P_t,7,osi_mean_72h,4.446552843869152,0.0444655284386915
osi_target_t01h,P_t,8,last_osi,4.404394636327479,0.04404394636327476
osi_target_t01h,P_t,9,cumul_gust_since_onset,3.1306536525031006,0.03130653652503099
osi_target_t01h,P_t,10,rural_urban_code,2.699215658465837,0.026992156584658356
osi_target_t01h,P_t,11,last_D_t,2.5394628067860956,0.02539462806786094
osi_target_t01h,P_t,12,gust_last_obs,2.4211861623815,0.024211861623814983
osi_target_t01h,P_t,13,gust_gt30_next_48h,1.778783064306093,0.017787830643060918
osi_target_t01h,P_t,14,t2m_at_t24h,1.7525507025908562,0.017525507025908552
osi_target_t01h,P_t,15,storm_phase,1.5059081528307041,0.015059081528307032
osi_target_t01h,P_t,16,gust_mean_next_24h,1.401461186018717,0.01401461186018716
osi_target_t01h,P_t,17,mslma_t,1.35436826079734,0.013543682607973392
osi_target_t01h,P_t,18,gust_x_hso,1.2536828107830278,0.01253682810783027
osi_target_t01h,P_t,19,gust_max_next_48h,1.0925850076181511,0.010925850076181505
osi_target_t01h,P_t,20,pct_agriculture,1.0792061917996072,0.010792061917996067
osi_target_t01h,P_t,21,pct_forest,0.9478462102591131,0.009478462102591125
osi_target_t01h,P_t,22,wind_sin_t,0.92336254440226,0.009233625444022594
osi_target_t01h,P_t,23,min_t2m_next_48h,0.7993400753009966,0.007993400753009961
osi_target_t01h,P_t,24,pct_forest_classified,0.7768653759975779,0.0077686537599757745
osi_target_t01h,P_t,25,total_tp_next_24h,0.775096335821433,0.007750963358214326
osi_target_t01h,P_t,26,t2m_at_t1h,0.6846253731745126,0.006846253731745122
osi_target_t01h,P_t,27,frac_zero_72h,0.6635152537196907,0.0066351525371969025
osi_target_t01h,P_t,28,gust_max_last6h_obs,0.5440379476814308,0.005440379476814305
osi_target_t01h,P_t,29,tree_canopy_std,0.4308987534416887,0.004308987534416884
osi_target_t01h,P_t,30,gust_gt30_since_onset,0.4161021759955377,0.004161021759955375
osi_target_t01h,P_t,31,is_full_next_48h,0.3969129795840546,0.003969129795840544
osi_target_t01h,P_t,32,osi_trend_last6h,0.3649957425374108,0.003649957425374106
osi_target_t01h,P_t,33,pre_event_mean_osi,0.27191992618981137,0.002719199261898112
osi_target_t01h,P_t,34,last_N_t,0.26500578692481347,0.002650057869248133
osi_target_t01h,P_t,35,gust_mean_next_48h,0.2620173829741176,0.002620173829741174
osi_target_t01h,P_t,36,pct_wetland,0.25481393540884484,0.002548139354088447
osi_target_t01h,P_t,37,min_t2m_next_6h,0.251536849419966,0.0025153684941996587
osi_target_t01h,P_t,38,soil_moist_x_gust,0.2514254057670362,0.0025142540576703607
osi_target_t01h,P_t,39,wind_speed_at_t48h,0.24330602283636,0.0024330602283635983
osi_target_t01h,P_t,40,N_t_mean_72h,0.2240959555809362,0.0022409595558093606
