horizon,model,rmse,mae,n,fipsCode,component
osi_target_t01h,lightgbm,0.012108668249731171,0.006560954528584384,143,18009,P_t
osi_target_t01h,xgboost,0.01069801021929213,0.00493857978599895,143,18009,P_t
osi_target_t01h,catboost,0.010840105008005767,0.005272403101220061,143,18009,P_t
osi_target_t01h,simple_average,0.010492326137407519,0.0054647867155875,143,18009,P_t
osi_target_t01h,static_convex,0.011017930935596502,0.005764008112105087,143,18009,P_t
osi_target_t01h,safe_convex,0.011017930935596502,0.005764008112105087,143,18009,P_t
osi_target_t01h,lightgbm,0.04528297668484686,0.02055586668246204,143,18013,P_t
osi_target_t01h,xgboost,0.04636007287092776,0.01912604207397932,143,18013,P_t
osi_target_t01h,catboost,0.046244829256699614,0.01887611463462341,143,18013,P_t
osi_target_t01h,simple_average,0.045767412944886815,0.019470410248150695,143,18013,P_t
osi_target_t01h,static_convex,0.04546706047377893,0.01988932248535517,143,18013,P_t
osi_target_t01h,safe_convex,0.04546706047377893,0.01988932248535517,143,18013,P_t
osi_target_t01h,lightgbm,0.0031239521292773147,0.0011583884898806397,143,18023,P_t
osi_target_t01h,xgboost,0.001016888847333148,0.00039162777828658245,143,18023,P_t
osi_target_t01h,catboost,0.0018265593379663734,0.0009185602669394495,143,18023,P_t
osi_target_t01h,simple_average,0.0018748147157885925,0.0008080012549246758,143,18023,P_t
osi_target_t01h,static_convex,0.00197448941281913,0.0008074771613406136,143,18023,P_t
osi_target_t01h,safe_convex,0.0019744894128191698,0.0008074771613406253,143,18023,P_t
osi_target_t01h,lightgbm,0.022498781374279332,0.003595417021605293,143,18025,P_t
osi_target_t01h,xgboost,0.02325036780741905,0.0036402145522007345,143,18025,P_t
osi_target_t01h,catboost,0.023709294880186714,0.0032666552842024483,143,18025,P_t
osi_target_t01h,simple_average,0.023114903575331257,0.003467113290394454,143,18025,P_t
osi_target_t01h,static_convex,0.0228147346722314,0.0035686113321056496,143,18025,P_t
osi_target_t01h,safe_convex,0.0228147346722314,0.0035686113321056505,143,18025,P_t
osi_target_t01h,lightgbm,0.006664031969284206,0.0028764044080085813,143,18027,P_t
osi_target_t01h,xgboost,0.0034898805535828136,0.0014816736096973614,143,18027,P_t
osi_target_t01h,catboost,0.004551665909065111,0.0018436124406279587,143,18027,P_t
osi_target_t01h,simple_average,0.004763922448465794,0.0019738777154372513,143,18027,P_t
osi_target_t01h,static_convex,0.005206272322729699,0.0021757986554415726,143,18027,P_t
osi_target_t01h,safe_convex,0.0052062723227297115,0.0021757986554415782,143,18027,P_t
osi_target_t01h,lightgbm,0.0025701883827210573,0.0008976297039949451,143,18029,P_t
osi_target_t01h,xgboost,0.0026417333500003484,0.0009242415414525352,143,18029,P_t
osi_target_t01h,catboost,0.002502661850261805,0.000983930043018105,143,18029,P_t
osi_target_t01h,simple_average,0.002510473954387285,0.0009227767173750561,143,18029,P_t
osi_target_t01h,static_convex,0.002520707605363095,0.0009065320939956571,143,18029,P_t
osi_target_t01h,safe_convex,0.002520707605363095,0.0009065320939956571,143,18029,P_t
osi_target_t01h,lightgbm,0.005275834433088581,0.0019278504364588327,143,18033,P_t
osi_target_t01h,xgboost,0.005417648742587665,0.0018647650064213376,143,18033,P_t
osi_target_t01h,catboost,0.005280365178980585,0.0017418666973557178,143,18033,P_t
osi_target_t01h,simple_average,0.0052377347600043225,0.0017599078776301589,143,18033,P_t
osi_target_t01h,static_convex,0.00521743012869579,0.0018023777580552169,143,18033,P_t
osi_target_t01h,safe_convex,0.00521743012869579,0.0018023777580552169,143,18033,P_t
osi_target_t01h,lightgbm,0.003457495663648937,0.0016620446840945001,143,18035,P_t
osi_target_t01h,xgboost,0.0029674363394221396,0.0012508114893081516,143,18035,P_t
osi_target_t01h,catboost,0.0036643345272683774,0.0016840535161604614,143,18035,P_t
osi_target_t01h,simple_average,0.0032315458873038968,0.0014500399681945159,143,18035,P_t
osi_target_t01h,static_convex,0.0032957100713167627,0.0015209176666408626,143,18035,P_t
osi_target_t01h,safe_convex,0.0032957100713167627,0.0015209176666408626,143,18035,P_t
osi_target_t01h,lightgbm,0.005856444791094214,0.002439159897883462,143,18037,P_t
osi_target_t01h,xgboost,0.0037780660804361084,0.0013319401196155687,143,18037,P_t
osi_target_t01h,catboost,0.0038585136627886187,0.0015283471286583492,143,18037,P_t
osi_target_t01h,simple_average,0.004360241042277057,0.0017053169991621544,143,18037,P_t
osi_target_t01h,static_convex,0.004535792691346098,0.0017968640026619668,143,18037,P_t
osi_target_t01h,safe_convex,0.004535792691346141,0.0017968640026619898,143,18037,P_t
osi_target_t01h,lightgbm,0.003254024820334204,0.0024265271410862134,143,18039,P_t
osi_target_t01h,xgboost,0.0031288576458504682,0.0023545395857472702,143,18039,P_t
osi_target_t01h,catboost,0.001957659900462407,0.0013963887211889312,143,18039,P_t
osi_target_t01h,simple_average,0.002686322695840688,0.0020541259607931685,143,18039,P_t
osi_target_t01h,static_convex,0.0025673530970483052,0.0019552461591062663,143,18039,P_t
osi_target_t01h,safe_convex,0.0025673530970483217,0.0019552461591062793,143,18039,P_t
osi_target_t01h,lightgbm,0.008448935399155786,0.00357235030687587,143,18041,P_t
osi_target_t01h,xgboost,0.00852307435298853,0.0031503762975499325,143,18041,P_t
osi_target_t01h,catboost,0.00902296971220062,0.0033055948814560907,143,18041,P_t
osi_target_t01h,simple_average,0.008625483805843362,0.003332814506668075,143,18041,P_t
osi_target_t01h,static_convex,0.008452698451876307,0.0033838147544491574,143,18041,P_t
osi_target_t01h,safe_convex,0.008452698451876305,0.003383814754449159,143,18041,P_t
osi_target_t01h,lightgbm,0.0036294687033996873,0.001670547127996801,143,18043,P_t
osi_target_t01h,xgboost,0.004071665499696401,0.0019270666506086042,143,18043,P_t
osi_target_t01h,catboost,0.0026911328842210824,0.00126461244391121,143,18043,P_t
osi_target_t01h,simple_average,0.0033353929185537304,0.001613962824674479,143,18043,P_t
osi_target_t01h,static_convex,0.0031809589008938892,0.0015322112420920063,143,18043,P_t
osi_target_t01h,safe_convex,0.003180958900893901,0.0015322112420920102,143,18043,P_t
osi_target_t01h,lightgbm,0.0029451302760471294,0.0012762293521599005,143,18045,P_t
osi_target_t01h,xgboost,0.0027654760226176753,0.0009144236110109049,143,18045,P_t
osi_target_t01h,catboost,0.0038896471718930506,0.0014508946708236597,143,18045,P_t
osi_target_t01h,simple_average,0.00281658390047476,0.0011065661259258217,143,18045,P_t
osi_target_t01h,static_convex,0.0026737321354898987,0.0010549775908608376,143,18045,P_t
osi_target_t01h,safe_convex,0.0026737321354898913,0.001054977590860837,143,18045,P_t
osi_target_t01h,lightgbm,0.006598204370092617,0.002730394571102944,143,18047,P_t
osi_target_t01h,xgboost,0.006568622518515293,0.0025290247929889713,143,18047,P_t
osi_target_t01h,catboost,0.006303092226102827,0.0021775829382104078,143,18047,P_t
osi_target_t01h,simple_average,0.00621617619437026,0.0024746010533669505,143,18047,P_t
osi_target_t01h,static_convex,0.006228477124487576,0.0024476477524368483,143,18047,P_t
osi_target_t01h,safe_convex,0.006228477124487584,0.002447647752436856,143,18047,P_t
osi_target_t01h,lightgbm,0.001917960871337482,0.0006764173127374595,143,18051,P_t
osi_target_t01h,xgboost,0.002247179424178451,0.0005166928990251462,143,18051,P_t
osi_target_t01h,catboost,0.0023592448325623046,0.0005550849951669647,143,18051,P_t
osi_target_t01h,simple_average,0.002115287885516318,0.000571558651341812,143,18051,P_t
