component,horizon,model,rmse,mae,n
P_t,osi_target_t01h,lightgbm,0.019011034549594547,0.005552310557267929,34177
P_t,osi_target_t01h,xgboost,0.01921777726681279,0.005319670619825819,34177
P_t,osi_target_t01h,catboost,0.019420503530957377,0.005259035700457182,34177
P_t,osi_target_t01h,simple_average,0.0188430025427056,0.005204067660661006,34177
P_t,osi_target_t01h,static_convex,0.019007166949095686,0.005325604963394654,34177
P_t,osi_target_t01h,safe_convex,0.019007166949095676,0.005325604963394655,34177
N_t,osi_target_t01h,lightgbm,0.0042650244372151695,0.000912361696640493,34177
N_t,osi_target_t01h,xgboost,0.004299627499781151,0.0007440321429845711,34177
N_t,osi_target_t01h,catboost,0.004294407578858788,0.0008112905755812315,34177
N_t,osi_target_t01h,simple_average,0.004259250201934139,0.000811834108215399,34177
N_t,osi_target_t01h,static_convex,0.004267910929521468,0.0008541296794828998,34177
N_t,osi_target_t01h,safe_convex,0.004267910929521468,0.0008541296794829006,34177
D_t,osi_target_t01h,lightgbm,0.017174857982931127,0.005329974174653355,34177
D_t,osi_target_t01h,xgboost,0.01753175232867922,0.005312338532186307,34177
D_t,osi_target_t01h,catboost,0.01773367439324324,0.0053380307949292384,34177
D_t,osi_target_t01h,simple_average,0.01701232040213076,0.005124862428892627,34177
D_t,osi_target_t01h,static_convex,0.017360207906332286,0.005231040036411561,34177
D_t,osi_target_t01h,safe_convex,0.017360207906332286,0.005231040036411562,34177
R_t,osi_target_t01h,lightgbm,0.004083139896598338,0.00112588053583681,34177
R_t,osi_target_t01h,xgboost,0.004052298272170543,0.0009764253873031945,34177
R_t,osi_target_t01h,catboost,0.004055632656336686,0.001012984910327153,34177
R_t,osi_target_t01h,simple_average,0.004040450417965078,0.0010267511484016883,34177
R_t,osi_target_t01h,static_convex,0.004039993493529932,0.001009510485075993,34177
R_t,osi_target_t01h,safe_convex,0.004039993493529932,0.0010095104850759936,34177
P_t,osi_target_t06h,lightgbm,0.01652157662305222,0.0054301636924241935,32982
P_t,osi_target_t06h,xgboost,0.01663526327619972,0.00501594113953661,32982
P_t,osi_target_t06h,catboost,0.017450706859059573,0.005124708433597487,32982
P_t,osi_target_t06h,simple_average,0.016484139047883543,0.005051659973828309,32982
P_t,osi_target_t06h,static_convex,0.0164704388726548,0.0051824357742001215,32982
P_t,osi_target_t06h,safe_convex,0.0164704388726548,0.005182435774200122,32982
N_t,osi_target_t06h,lightgbm,0.0037219957474193405,0.0008477534810406517,32982
N_t,osi_target_t06h,xgboost,0.0037172969791309245,0.0007050318409037745,32982
