horizon,model,rmse,mae,n,fipsCode
osi_target_t01h,lightgbm,0.006863248154107063,0.003857836851968732,143,18009
osi_target_t01h,xgboost,0.005919236006572173,0.00294871377647999,143,18009
osi_target_t01h,catboost,0.006367005528544002,0.0032568907881366242,143,18009
osi_target_t01h,simple_average,0.005997871281311685,0.003253143713872886,143,18009
osi_target_t01h,static_convex,0.006253301556118954,0.0034118265318534543,143,18009
osi_target_t01h,safe_convex,0.006253301556118954,0.0034118265318534543,143,18009
osi_target_t01h,v1.8_rule,0.006423160936726885,0.003654681472668231,143,18009
osi_target_t01h,lightgbm,0.028688388073820233,0.013518837603349616,143,18013
osi_target_t01h,xgboost,0.029079379465882623,0.012733375703213687,143,18013
osi_target_t01h,catboost,0.02917428676003501,0.013073659456984948,143,18013
osi_target_t01h,simple_average,0.02892228604858302,0.01303528217392457,143,18013
osi_target_t01h,static_convex,0.02877861258668815,0.013209107331690636,143,18013
osi_target_t01h,safe_convex,0.02877861258668815,0.013209107331690636,143,18013
osi_target_t01h,v1.8_rule,0.02968268551958135,0.013822389651887194,143,18013
osi_target_t01h,lightgbm,0.0019255002168724101,0.0007255859337754497,143,18023
osi_target_t01h,xgboost,0.0009728087010671742,0.00039244088978038753,143,18023
osi_target_t01h,catboost,0.0011913256352840218,0.0005376084314838151,143,18023
osi_target_t01h,simple_average,0.0013229382605167233,0.000533827558744729,143,18023
osi_target_t01h,static_convex,0.00140596979690031,0.0005549498732502176,143,18023
osi_target_t01h,safe_convex,0.0014059697969003282,0.0005549498732502231,143,18023
osi_target_t01h,v1.8_rule,0.0016363039960650702,0.0007306372337483934,143,18023
osi_target_t01h,lightgbm,0.011786092931485697,0.002254855360251751,143,18025
osi_target_t01h,xgboost,0.012406637544763684,0.0023016685691852985,143,18025
osi_target_t01h,catboost,0.012751120912864441,0.002294277103744969,143,18025
osi_target_t01h,simple_average,0.012296442672096475,0.0022586588101292005,143,18025
osi_target_t01h,static_convex,0.012057083686791264,0.002265116805404849,143,18025
osi_target_t01h,safe_convex,0.012057083686791264,0.002265116805404851,143,18025
osi_target_t01h,v1.8_rule,0.011980142895370948,0.002160708280293888,143,18025
osi_target_t01h,lightgbm,0.004063049090825526,0.0016835483717183351,143,18027
osi_target_t01h,xgboost,0.002355856151233474,0.0009474075231911798,143,18027
osi_target_t01h,catboost,0.003095213153051295,0.0012688518204446147,143,18027
osi_target_t01h,simple_average,0.003110204704221062,0.0012479200320574691,143,18027
osi_target_t01h,static_convex,0.0033526123357714107,0.001347803581811026,143,18027
osi_target_t01h,safe_convex,0.003352612335771427,0.0013478035818110334,143,18027
osi_target_t01h,v1.8_rule,0.0032104120777484216,0.0012785406803098244,143,18027
osi_target_t01h,lightgbm,0.0014064918480582054,0.0005064592688977011,143,18029
osi_target_t01h,xgboost,0.0014013933344288268,0.0005091126049433588,143,18029
osi_target_t01h,catboost,0.001430277732755273,0.0005218138212579695,143,18029
osi_target_t01h,simple_average,0.0013814465866552718,0.000495237548033632,143,18029
osi_target_t01h,static_convex,0.0014054690999983827,0.0005080608122766718,143,18029
osi_target_t01h,safe_convex,0.0014054690999983825,0.0005080608122766717,143,18029
osi_target_t01h,v1.8_rule,0.0016949005838364716,0.0009156654578061941,143,18029
osi_target_t01h,lightgbm,0.0032547337772298695,0.0013368327691174004,143,18033
osi_target_t01h,xgboost,0.003368564803329684,0.001362232424164502,143,18033
osi_target_t01h,catboost,0.0032018583830186386,0.0012611706356252463,143,18033
osi_target_t01h,simple_average,0.0032453568575220057,0.0012982703491869272,143,18033
osi_target_t01h,static_convex,0.0032292055481531203,0.0013011449004428236,143,18033
osi_target_t01h,safe_convex,0.0032292055481531203,0.0013011449004428236,143,18033
osi_target_t01h,v1.8_rule,0.003185070436265886,0.0013173914892495244,143,18033
osi_target_t01h,lightgbm,0.0020826997865709186,0.0010397775773435469,143,18035
osi_target_t01h,xgboost,0.0018101943165810478,0.0008765531199731606,143,18035
osi_target_t01h,catboost,0.0022246305553477934,0.001060724778741041,143,18035
osi_target_t01h,simple_average,0.0019845957912449676,0.0009495288764371379,143,18035
osi_target_t01h,static_convex,0.0020392073076342873,0.0009985220110890897,143,18035
osi_target_t01h,safe_convex,0.002039207307634287,0.0009985220110890897,143,18035
osi_target_t01h,v1.8_rule,0.0021506864566633484,0.001263056891516061,143,18035
osi_target_t01h,lightgbm,0.0035385681427169053,0.0014864189195236304,143,18037
osi_target_t01h,xgboost,0.0023400855497254544,0.0009379786627769232,143,18037
osi_target_t01h,catboost,0.0022730019401635245,0.0009141732631087876,143,18037
osi_target_t01h,simple_average,0.0026672198337531496,0.001083915308413472,143,18037
osi_target_t01h,static_convex,0.0028040318248206578,0.0011456322069098592,143,18037
osi_target_t01h,safe_convex,0.0028040318248206833,0.0011456322069098698,143,18037
osi_target_t01h,v1.8_rule,0.0028047970558023297,0.0011892401881683267,143,18037
osi_target_t01h,lightgbm,0.002181445308790908,0.0016105357955875014,143,18039
osi_target_t01h,xgboost,0.0020119684795788396,0.001291063493853898,143,18039
osi_target_t01h,catboost,0.0012368077615044694,0.0007321412791633747,143,18039
osi_target_t01h,simple_average,0.0017607468305315063,0.0011762840056484204,143,18039
osi_target_t01h,static_convex,0.0017107243604467365,0.001194966107236149,143,18039
osi_target_t01h,safe_convex,0.001710724360446744,0.0011949661072361548,143,18039
osi_target_t01h,v1.8_rule,0.0021143529131854473,0.001611954302498564,143,18039
osi_target_t01h,lightgbm,0.004910956860505827,0.002036774553310916,143,18041
osi_target_t01h,xgboost,0.004891692639854,0.0017465811869635123,143,18041
osi_target_t01h,catboost,0.005237114047016995,0.0018970263978758917,143,18041
osi_target_t01h,simple_average,0.004990994011540072,0.0018415589477272312,143,18041
osi_target_t01h,static_convex,0.004892777459969176,0.0019120046201640435,143,18041
osi_target_t01h,safe_convex,0.004892777459969177,0.0019120046201640461,143,18041
osi_target_t01h,v1.8_rule,0.005170684999334257,0.0020739991525561665,143,18041
osi_target_t01h,lightgbm,0.0020473721609309816,0.0008339166349942983,143,18043
