horizon,component,rmse,mae,n
osi_target_t01h,P_t,0.019011034549594547,0.005552310557267929,34177
osi_target_t01h,N_t,0.0042650244372151695,0.000912361696640493,34177
osi_target_t01h,D_t,0.017174857982931127,0.005329974174653355,34177
osi_target_t01h,R_t,0.004083139896598338,0.00112588053583681,34177
osi_target_t06h,P_t,0.01652157662305222,0.0054301636924241935,32982
osi_target_t06h,N_t,0.0037219957474193405,0.0008477534810406517,32982
osi_target_t06h,D_t,0.016202205544816124,0.005208948207432927,32982
osi_target_t06h,R_t,0.004051399038536567,0.0011060740219348505,32982
osi_target_t24h,P_t,0.01350204992139251,0.004607591748952404,28680
osi_target_t24h,N_t,0.0037461377320231674,0.0008662008682637331,28680
osi_target_t24h,D_t,0.011650479869733367,0.004443898902259999,28680
osi_target_t24h,R_t,0.0034468815271313288,0.0009254091468686018,28680
osi_target_t48h,P_t,0.012221488099174468,0.003660085672865705,22944
osi_target_t48h,N_t,0.003435584367091952,0.0006558757591678592,22944
osi_target_t48h,D_t,0.010598166807220042,0.003614442225445917,22944
osi_target_t48h,R_t,0.003280293626646243,0.0007568025942804183,22944
