model,horizon,fold,rmse,mae,n
C0_direct_osi,osi_target_t01h,0,0.0067469594960947645,0.0027580723020106143,6864
C0_direct_osi,osi_target_t01h,1,0.010571187648977265,0.003787790201269374,6721
C0_direct_osi,osi_target_t01h,2,0.013206768052934397,0.004068154497334365,6864
C0_direct_osi,osi_target_t01h,3,0.016136740602161116,0.003986596635134533,6864
C0_direct_osi,osi_target_t01h,4,0.011170562285658898,0.003350820073388493,6864
C0_direct_osi,osi_target_t06h,0,0.006529433148236702,0.002649356683160755,6624
C0_direct_osi,osi_target_t06h,1,0.010116678439245042,0.00403628527441689,6486
C0_direct_osi,osi_target_t06h,2,0.013196947012427233,0.004088744442385513,6624
C0_direct_osi,osi_target_t06h,3,0.01291030434777477,0.003863075553207695,6624
C0_direct_osi,osi_target_t06h,4,0.009161450343277783,0.0031277184543612277,6624
C0_direct_osi,osi_target_t24h,0,0.004676682993211646,0.002042712177853166,5760
C0_direct_osi,osi_target_t24h,1,0.008743468525111582,0.003552848654410227,5640
C0_direct_osi,osi_target_t24h,2,0.01294150909584878,0.003871927631508058,5760
C0_direct_osi,osi_target_t24h,3,0.006038402494602367,0.0027716584191973394,5760
C0_direct_osi,osi_target_t24h,4,0.00748451248944393,0.0024872075143957777,5760
C0_direct_osi,osi_target_t48h,0,0.003639645418708036,0.001611630788902187,4608
C0_direct_osi,osi_target_t48h,1,0.005772820147779022,0.0024399082030299116,4512
C0_direct_osi,osi_target_t48h,2,0.013045199895381785,0.0033120782708388977,4608
C0_direct_osi,osi_target_t48h,3,0.00498290913178981,0.002041272071917311,4608
C0_direct_osi,osi_target_t48h,4,0.007076946288214522,0.0021132699621036117,4608
C1_component_osi,osi_target_t01h,0,0.006792135675419083,0.0027117181343635556,6864
C1_component_osi,osi_target_t01h,1,0.010394031007585717,0.003736048291987056,6721
C1_component_osi,osi_target_t01h,2,0.013199582726079857,0.004058094431534855,6864
C1_component_osi,osi_target_t01h,3,0.01598384731890706,0.00388308347644183,6864
C1_component_osi,osi_target_t01h,4,0.010926029142568386,0.003250011719113783,6864
C1_component_osi,osi_target_t06h,0,0.006460413653255098,0.0026348069137584877,6624
C1_component_osi,osi_target_t06h,1,0.010015997135935885,0.003603339288412284,6486
C1_component_osi,osi_target_t06h,2,0.013236500382429165,0.004054925000934751,6624
C1_component_osi,osi_target_t06h,3,0.012486283687207729,0.003675960414701846,6624
C1_component_osi,osi_target_t06h,4,0.008898765770182658,0.002980969110041736,6624
C1_component_osi,osi_target_t24h,0,0.004676006104653076,0.002068686988798557,5760
C1_component_osi,osi_target_t24h,1,0.008690387584105909,0.003610778243058664,5640
C1_component_osi,osi_target_t24h,2,0.012820869372120618,0.0038387573473299555,5760
C1_component_osi,osi_target_t24h,3,0.005827216074762783,0.0026500630695669306,5760
C1_component_osi,osi_target_t24h,4,0.007410450047646712,0.0024700706125642463,5760
C1_component_osi,osi_target_t48h,0,0.003637505972180902,0.0016125080878000183,4608
C1_component_osi,osi_target_t48h,1,0.005771282327149259,0.0025272190094480502,4512
C1_component_osi,osi_target_t48h,2,0.012997021644656546,0.00326727110669638,4608
C1_component_osi,osi_target_t48h,3,0.004975131815818199,0.0020181512944894894,4608
C1_component_osi,osi_target_t48h,4,0.006897809540513561,0.0021127583284630555,4608
C2_equal_blend,osi_target_t01h,0,0.006733405555580235,0.002706474975371693,6864
C2_equal_blend,osi_target_t01h,1,0.010462353732485682,0.003744018067725045,6721
C2_equal_blend,osi_target_t01h,2,0.013182195975500122,0.004034817640935184,6864
C2_equal_blend,osi_target_t01h,3,0.016041129832075462,0.0039044460792480185,6864
C2_equal_blend,osi_target_t01h,4,0.011027416937651621,0.0032790361071845533,6864
C2_equal_blend,osi_target_t06h,0,0.006466027282469552,0.0026151887396627855,6624
