model,horizon,fipsCode,rmse,mae,n
C0_direct_osi,osi_target_t01h,18009,0.006256834706350866,0.0036198742515877584,143
C0_direct_osi,osi_target_t01h,18013,0.029471662597514547,0.01407085954041402,143
C0_direct_osi,osi_target_t01h,18023,0.002058984012400446,0.000786341027492084,143
C0_direct_osi,osi_target_t01h,18025,0.012095207115966854,0.0022349361008693392,143
C0_direct_osi,osi_target_t01h,18027,0.004142764779934102,0.0017739396907414766,143
C0_direct_osi,osi_target_t01h,18029,0.0014552097772302611,0.0005605980359918303,143
C0_direct_osi,osi_target_t01h,18033,0.0031828350413569528,0.0013693729303158716,143
C0_direct_osi,osi_target_t01h,18035,0.002015549305068993,0.0010267258002306626,143
C0_direct_osi,osi_target_t01h,18037,0.002839190132880574,0.0012068972133943273,143
C0_direct_osi,osi_target_t01h,18039,0.002598117715360012,0.001835912967877539,143
C0_direct_osi,osi_target_t01h,18041,0.0048005126966090194,0.002267376457745212,143
C0_direct_osi,osi_target_t01h,18043,0.0019067710692957094,0.0007486425063514836,143
C0_direct_osi,osi_target_t01h,18045,0.0018238897293067862,0.0007553127206778156,143
C0_direct_osi,osi_target_t01h,18047,0.0034243281432008235,0.0013138008900310996,143
C0_direct_osi,osi_target_t01h,18051,0.0010598162800244371,0.0003584430726011389,143
C0_direct_osi,osi_target_t01h,18059,0.001268164523440576,0.00038103683205561306,143
C0_direct_osi,osi_target_t01h,18061,0.0037969545419216087,0.0015661278956771206,143
C0_direct_osi,osi_target_t01h,18065,0.0021048680305794792,0.0011209849053901563,143
C0_direct_osi,osi_target_t01h,18067,0.0017041766154121023,0.0005488336755966541,143
C0_direct_osi,osi_target_t01h,18069,0.001269723210098765,0.0007200791473329222,143
C0_direct_osi,osi_target_t01h,18071,0.0034851221729675116,0.001353056659294996,143
C0_direct_osi,osi_target_t01h,18073,0.003635707140377221,0.002038366486228988,143
C0_direct_osi,osi_target_t01h,18077,0.004759174613840734,0.0014198757725685158,143
