target_kind,target,rank,feature,importance_gain,importance_fraction
direct_osi,osi_target_t01h,1,hours_since_obs,39.97189513966441,0.2931256978205323
direct_osi,osi_target_t01h,2,last_P_t,17.66055387533561,0.12951005101251545
direct_osi,osi_target_t01h,3,last_osi,12.875334224358085,0.09441862378555292
direct_osi,osi_target_t01h,4,last_outage_pct,12.302269301755587,0.09021616966754342
direct_osi,osi_target_t01h,5,N_t_mean_72h,5.825582186749671,0.04272071258406179
direct_osi,osi_target_t01h,6,last_D_t,4.133908332849387,0.03031516920973198
direct_osi,osi_target_t01h,7,gust_x_hso,3.8903712505853036,0.028529239947824206
direct_osi,osi_target_t01h,8,gust_x_phase,3.0870879325666465,0.02263852642725961
direct_osi,osi_target_t01h,9,cumul_gust_since_onset,3.030053184949793,0.02222027379908691
direct_osi,osi_target_t01h,10,t2m_at_t48h,2.3595830390113406,0.017303518446123354
direct_osi,osi_target_t01h,11,last_N_t,2.0495307892851997,0.015029813840818916
direct_osi,osi_target_t01h,12,pct_forest,1.9737735081725987,0.014474263351818412
direct_osi,osi_target_t01h,13,min_t2m_next_24h,1.3049352258094586,0.009569474935813685
direct_osi,osi_target_t01h,14,osi_trend_last6h,1.1769729491788894,0.00863108981544397
direct_osi,osi_target_t01h,15,gust_gt30_since_onset,1.0943914617964765,0.008025495408887882
direct_osi,osi_target_t01h,16,t2m_at_t6h,0.9388854463468306,0.006885123927007961
direct_osi,osi_target_t01h,17,last_R_t,0.9065776877105236,0.006648201602905108
direct_osi,osi_target_t01h,18,min_t2m_next_48h,0.8716259692446329,0.006391890341466454
direct_osi,osi_target_t01h,19,pct_unmapped,0.8230309194041183,0.006035528506598397
direct_osi,osi_target_t01h,20,pressure_change_6h,0.8053248641081154,0.005905684780246288
direct_osi,osi_target_t01h,21,pop_density,0.7377784654963762,0.00541034711464027
direct_osi,osi_target_t01h,22,pct_wetland,0.6989875472208951,0.0051258818685249695
direct_osi,osi_target_t01h,23,wind_sin_t,0.6250593338772887,0.004583744473006131
direct_osi,osi_target_t01h,24,gust_max_last6h_obs,0.6186536412569694,0.004536769639493878
direct_osi,osi_target_t01h,25,total_tp_next_24h,0.591013030934846,0.0043340728906770334
direct_osi,osi_target_t01h,26,log_customers,0.5544485442223959,0.004065934723957963
direct_osi,osi_target_t01h,27,gust_peak4h_mean_next_48h,0.5292347362992587,0.003881034432982054
direct_osi,osi_target_t01h,28,cumul_tp_since_onset,0.4603068591095507,0.003375565977460365
direct_osi,osi_target_t01h,29,t2m_at_t24h,0.44505836903408635,0.0032637443017939386
direct_osi,osi_target_t01h,30,sp_t,0.4215610130340792,0.0030914312590829647
direct_osi,osi_target_t01h,31,gust_last_obs,0.42023514611355495,0.0030817082858554537
