target_kind,target,rmse,mae,n,rmse_std,mae_std,best_rounds,final_rounds
direct_osi,osi_target_t01h,0.011979379161386963,0.0035894603675201875,34177,0.00309686817445442,0.00048463427425445645,"[118, 257, 211, 279, 166]",206
direct_osi,osi_target_t06h,0.010676993494381172,0.0035510141183561625,32982,0.002478655008936394,0.0005681846959100519,"[175, 35, 565, 216, 383]",274
direct_osi,osi_target_t24h,0.008463831869463107,0.0029427287130505816,28680,0.00283290031974345,0.000675635853303886,"[152, 13, 527, 38, 453]",236
direct_osi,osi_target_t48h,0.007644415252022217,0.0023030616654518086,22944,0.003267121490206086,0.0005691170702373089,"[221, 15, 255, 29, 116]",127
component,P_t_target_t01h,0.019011034549594547,0.005552310557267929,34177,0.004874641636518395,0.0007050880571125984,"[180, 375, 135, 271, 197]",231
component,N_t_target_t01h,0.0042650244372151695,0.000912361696640493,34177,0.0014943543376311483,0.00011705509849434969,"[21, 327, 195, 319, 206]",213
component,D_t_target_t01h,0.017174857982931127,0.005329974174653355,34177,0.00407178863637436,0.0007345160849497034,"[280, 202, 239, 651, 392]",352
component,R_t_target_t01h,0.004083139896598338,0.00112588053583681,34177,0.0010783478411436759,0.0001222199861695889,"[35, 186, 131, 67, 155]",114
component,P_t_target_t06h,0.01652157662305222,0.0054301636924241935,32982,0.003801624224902952,0.0008386952454549983,"[175, 35, 201, 99, 269]",155
component,N_t_target_t06h,0.0037219957474193405,0.0008477534810406517,32982,0.0012908624141736691,0.00010170447977807419,"[25, 94, 458, 22, 54]",130
component,D_t_target_t06h,0.016202205544816124,0.005208948207432927,32982,0.0039005167803651437,0.000713787713379612,"[137, 167, 582, 211, 194]",258
component,R_t_target_t06h,0.004051399038536567,0.0011060740219348505,32982,0.0010692067290643194,9.555118579780315e-05,"[28, 140, 203, 54, 330]",151
component,P_t_target_t24h,0.01350204992139251,0.004607591748952404,28680,0.004415972427358659,0.0009215522190676857,"[218, 12, 303, 39, 331]",180
component,N_t_target_t24h,0.0037461377320231674,0.0008662008682637331,28680,0.001487155262825271,0.00012082780054789767,"[21, 117, 462, 26, 120]",149
component,D_t_target_t24h,0.011650479869733367,0.004443898902259999,28680,0.0039001250487063275,0.0010405983305964575,"[142, 10, 358, 43, 443]",199
component,R_t_target_t24h,0.0034468815271313288,0.0009254091468686018,28680,0.0012956647004610021,0.00011299838586638689,"[20, 135, 161, 13, 110]",87
component,P_t_target_t48h,0.012221488099174468,0.003660085672865705,22944,0.0052241062421146504,0.0007920756680458865,"[310, 9, 336, 27, 194]",175
component,N_t_target_t48h,0.003435584367091952,0.0006558757591678592,22944,0.0016832907654069477,0.0001381582425104254,"[142, 45, 480, 19, 79]",153
component,D_t_target_t48h,0.010598166807220042,0.003614442225445917,22944,0.0042233513526593,0.0007813968700840623,"[229, 15, 787, 33, 180]",248
component,R_t_target_t48h,0.003280293626646243,0.0007568025942804183,22944,0.0014135260593952314,0.00013885228217786603,"[30, 52, 123, 23, 117]",69
