cv_seed,horizon,target_day,fipsCode,variant,low_loss_controls,high_loss_controls,control_max_osi_peak,control_mean_osi_peak,control_max_osi_mean,query_osi_peak,query_osi_mean,query_P_mean,control_mean_P_mean,control_max_P_mean
42,1,3,18009,context,2,3,0.1808,0.07274,0.07080434782608695,0.0675,0.029430434782608695,0.04134267713043478,0.04598051725217391,0.10453321695652172
42,1,3,18009,source_cache_rank,1,3,0.1808,0.07118,0.06725652173913042,0.0675,0.029430434782608695,0.04134267713043478,0.04522797485217392,0.093206965
42,1,3,18013,context,4,1,0.0921,0.02006,0.014569565217391302,0.0079,0.0003652173913043478,2.0350695652173913e-05,0.004538641095652174,0.01980476391304348
42,1,3,18013,source_cache_rank,4,1,0.0921,0.01912,0.014569565217391302,0.0079,0.0003652173913043478,2.0350695652173913e-05,0.004262366373913044,0.01980476391304348
42,1,3,18023,context,5,0,0.0058,0.0022600000000000003,0.002656521739130434,0.0,0.0,0.0,0.001170614617391304,0.0038789821304347815
42,1,3,18023,source_cache_rank,5,0,0.0088,0.00424,0.0012391304347826087,0.0,0.0,0.0,0.0005995361739130434,0.0017384487391304347
42,1,3,18025,context,5,0,0.0002,0.00012000000000000002,3.478260869565218e-05,0.0002,6.521739130434783e-05,9.490621739130433e-05,2.377386086956522e-05,5.172460869565217e-05
42,1,3,18025,source_cache_rank,5,0,0.0002,0.0001,3.478260869565218e-05,0.0002,6.521739130434783e-05,9.490621739130433e-05,2.1296121739130435e-05,5.172460869565217e-05
42,1,3,18027,context,5,0,0.0002,0.0001,1.739130434782609e-05,0.0,0.0,0.0,1.2543391304347826e-05,2.9010608695652173e-05
42,1,3,18027,source_cache_rank,5,0,0.0013,0.00033999999999999997,9.565217391304347e-05,0.0,0.0,0.0,3.0261434782608693e-05,0.00010597273913043479
42,1,3,18029,context,5,0,0.0008,0.00030000000000000003,0.000191304347826087,0.0001,1.3043478260869566e-05,2.1043478260869562e-05,4.83123391304348e-05,0.0002191992608695653
42,1,3,18029,source_cache_rank,5,0,0.0007,0.00017999999999999998,4.782608695652174e-05,0.0001,1.3043478260869566e-05,2.1043478260869562e-05,8.208191304347826e-06,2.2362434782608696e-05
42,1,3,18033,context,4,0,0.0126,0.0062,0.009573913043478263,0.0018,0.0009304347826086956,0.0012778108695652175,0.004556667008695651,0.014316082217391302
42,1,3,18033,source_cache_rank,2,0,0.0262,0.012460000000000002,0.01967826086956522,0.0018,0.0009304347826086956,0.0012778108695652175,0.012210140295652174,0.02935048891304348
42,1,3,18035,context,3,0,0.0479,0.01386,0.02062173913043478,0.0151,0.006943478260869566,0.009542968434782608,0.008392491286956521,0.02911176104347826
42,1,3,18035,source_cache_rank,5,0,0.0097,0.004739999999999999,0.003913043478260869,0.0151,0.006943478260869566,0.009542968434782608,0.0027264652608695646,0.005508320652173912
42,1,3,18037,context,5,0,0.0002,8e-05,1.739130434782609e-05,0.0001,4.347826086956522e-06,7.278521739130435e-06,1.1772113043478261e-05,2.6992391304347826e-05
42,1,3,18037,source_cache_rank,5,0,0.0002,6.000000000000001e-05,2.608695652173913e-05,0.0001,4.347826086956522e-06,7.278521739130435e-06,9.73871304347826e-06,3.964826086956521e-05
42,1,3,18039,context,4,0,0.0206,0.00618,0.006660869565217392,0.0045,0.002395652173913043,0.003431946913043479,0.0036149797130434784,0.008921280434782608
42,1,3,18039,source_cache_rank,4,0,0.0152,0.0059,0.010791304347826087,0.0045,0.002395652173913043,0.003431946913043479,0.005940858704347826,0.016026239217391304
42,1,3,18041,context,5,0,0.0044,0.00112,0.002656521739130434,0.0005,3.0434782608695656e-05,4.460486956521739e-05,0.0007877837478260867,0.0038789821304347815
42,1,3,18041,source_cache_rank,4,0,0.0111,0.00324,0.004391304347826088,0.0005,3.0434782608695656e-05,4.460486956521739e-05,0.0014079508521739133,0.006081628391304349
42,1,3,18043,context,5,0,0.0012,0.00026,0.00031304347826086954,0.0007,8.695652173913044e-05,0.00010675043478260869,8.77182695652174e-05,0.00040456439130434786
42,1,3,18043,source_cache_rank,5,0,0.0004,0.00017999999999999998,5.652173913043478e-05,0.0007,8.695652173913044e-05,0.00010675043478260869,3.622347826086956e-05,9.68051304347826e-05
42,1,3,18045,context,5,0,0.0058,0.0014399999999999999,0.0012304347826086956,0.0001,4.347826086956522e-06,0.0,0.00038577197391304345,0.0017384487391304347
42,1,3,18045,source_cache_rank,5,0,0.0041,0.00102,0.0006565217391304348,0.0001,4.347826086956522e-06,0.0,0.00020387833043478262,0.0008887708695652175
42,1,3,18047,context,5,0,0.0013,0.00048000000000000007,9.565217391304347e-05,0.0007,4.782608695652174e-05,2.2362434782608696e-05,4.183905217391305e-05,0.00010597273913043479
42,1,3,18047,source_cache_rank,5,0,0.0047,0.00114,0.001095652173913043,0.0007,4.782608695652174e-05,2.2362434782608696e-05,0.00030152658260869565,0.0013813736086956522
42,1,3,18051,context,5,0,0.0002,6.000000000000001e-05,1.739130434782609e-05,0.0001,4.347826086956522e-06,9.045304347826086e-06,8.256591304347825e-06,2.9010608695652173e-05
42,1,3,18051,source_cache_rank,5,0,0.0002,8e-05,1.739130434782609e-05,0.0001,4.347826086956522e-06,9.045304347826086e-06,9.712295652173914e-06,2.9010608695652173e-05
42,1,3,18059,context,5,0,0.003,0.00104,0.0020217391304347826,0.0004,6.521739130434783e-05,7.887991304347825e-05,0.0006800172173913043,0.0028391005217391304
42,1,3,18059,source_cache_rank,5,0,0.003,0.0012000000000000001,0.0020217391304347826,0.0004,6.521739130434783e-05,7.887991304347825e-05,0.0007058653043478261,0.0028391005217391304
42,1,3,18061,context,5,0,0.0002,0.00012000000000000002,2.173913043478261e-05,0.0003,3.0434782608695646e-05,4.506791304347826e-05,1.5564052173913043e-05,4.062434782608695e-05
42,1,3,18061,source_cache_rank,5,0,0.0007,0.0002,8.695652173913044e-05,0.0003,3.0434782608695646e-05,4.506791304347826e-05,2.962994782608696e-05,0.00010675043478260869
42,1,3,18065,context,5,0,0.0058,0.0019,0.0020217391304347826,0.0001,1.3043478260869566e-05,2.1086956521739132e-05,0.0009570304869565216,0.0028391005217391304
42,1,3,18065,source_cache_rank,5,0,0.0088,0.00366,0.002656521739130434,0.0001,1.3043478260869566e-05,2.1086956521739132e-05,0.0011838219565217388,0.0038789821304347815
42,1,3,18067,context,5,0,0.0004,0.00012000000000000002,6.521739130434783e-05,0.002,0.0003956521739130435,0.0005249739130434783,3.475215652173913e-05,7.887991304347825e-05
42,1,3,18067,source_cache_rank,4,0,0.0151,0.0038199999999999996,0.006943478260869566,0.002,0.0003956521739130435,0.0005249739130434783,0.002506696860869565,0.009542968434782608
42,1,3,18069,context,5,0,0.0058,0.0013999999999999998,0.0012304347826086956,0.0044,0.002656521739130434,0.0038789821304347815,0.0003846483913043478,0.0017384487391304347
42,1,3,18069,source_cache_rank,5,0,0.0058,0.00242,0.0012304347826086956,0.0044,0.002656521739130434,0.0038789821304347815,0.0003808838,0.0017384487391304347
42,1,3,18071,context,5,0,0.0001,6.000000000000001e-05,8.695652173913044e-06,0.0002,1.739130434782609e-05,2.6992391304347826e-05,5.757791304347826e-06,1.2388695652173914e-05
42,1,3,18071,source_cache_rank,5,0,0.0002,0.0001,3.478260869565218e-05,0.0002,1.739130434782609e-05,2.6992391304347826e-05,2.075231304347826e-05,5.172460869565217e-05
42,1,3,18073,context,3,0,0.0231,0.00974,0.006786956521739131,0.0032,0.0021000000000000007,0.003032590826086958,0.004939788895652174,0.00920471147826087
42,1,3,18073,source_cache_rank,5,0,0.0097,0.004739999999999999,0.003913043478260869,0.0032,0.0021000000000000007,0.003032590826086958,0.00185313752173913,0.005508320652173912
42,1,3,18077,context,5,0,0.0001,6.000000000000001e-05,1.3043478260869566e-05,0.0,0.0,0.0,1.0582330434782609e-05,2.1043478260869562e-05
42,1,3,18077,source_cache_rank,5,0,0.0002,8e-05,1.739130434782609e-05,0.0,0.0,0.0,9.331921739130435e-06,2.6992391304347826e-05
42,1,3,18083,context,5,0,0.0002,8e-05,1.739130434782609e-05,0.0,0.0,0.0,1.0065652173913043e-05,2.9010608695652173e-05
42,1,3,18083,source_cache_rank,5,0,0.0005,0.00017999999999999998,6.521739130434783e-05,0.0,0.0,0.0,2.4427356521739128e-05,7.680234782608696e-05
42,1,3,18085,context,3,1,0.0533,0.015380000000000001,0.03270434782608696,0.0077,0.0036,0.00498251447826087,0.012757516243478258,0.047400342565217385
42,1,3,18085,source_cache_rank,4,0,0.0115,0.00538,0.003556521739130436,0.0077,0.0036,0.00498251447826087,0.0021879680434782603,0.004791546304347826
42,1,3,18087,context,4,0,0.022,0.006500000000000001,0.013221739130434782,0.0033,0.001973913043478261,0.0029789262608695653,0.005647924573913044,0.02032668243478261
42,1,3,18087,source_cache_rank,4,0,0.022,0.00746,0.013221739130434782,0.0033,0.001973913043478261,0.0029789262608695653,0.006922894652173914,0.02032668243478261
42,1,3,18089,context,3,0,0.0206,0.0076,0.010791304347826087,0.0174,0.007795652173913044,0.011147082217391304,0.005188203756521738,0.016026239217391304
42,1,3,18089,source_cache_rank,2,0,0.0206,0.011179999999999999,0.010791304347826087,0.0174,0.007795652173913044,0.011147082217391304,0.00769013672173913,0.016026239217391304
42,1,3,18091,context,4,0,0.0375,0.0101,0.029660869565217386,0.002,0.0008565217391304349,0.0011210949999999997,0.010981583608695653,0.04468412569565217
42,1,3,18091,source_cache_rank,2,0,0.0206,0.010679999999999999,0.007795652173913044,0.002,0.0008565217391304349,0.0011210949999999997,0.005324691869565217,0.011147082217391304
42,1,3,18093,context,5,0,0.0002,8e-05,2.608695652173913e-05,0.0,0.0,0.0,1.4303286956521738e-05,3.964826086956521e-05
42,1,3,18093,source_cache_rank,5,0,0.0002,0.00014,3.478260869565218e-05,0.0,0.0,0.0,2.7568947826086956e-05,5.172460869565217e-05
42,1,3,18095,context,5,0,0.0004,0.00014,6.521739130434783e-05,0.003,0.0020217391304347826,0.0028391005217391304,2.7195704347826083e-05,7.887991304347825e-05
42,1,3,18095,source_cache_rank,3,0,0.0207,0.00766,0.009234782608695652,0.003,0.0020217391304347826,0.0028391005217391304,0.004632942,0.012987485173913045
42,1,3,18097,context,5,0,0.0012,0.0007199999999999999,0.00031304347826086954,0.0009,0.00037826086956521747,0.0005242049130434783,0.0001906786782608696,0.00040456439130434786
42,1,3,18097,source_cache_rank,5,0,0.002,0.0008,0.0003956521739130435,0.0009,0.00037826086956521747,0.0005242049130434783,0.00022136988695652175,0.0005249739130434783
42,1,3,18099,context,4,0,0.0375,0.009559999999999999,0.029660869565217386,0.0035,0.0012869565217391303,0.0017382485652173906,0.010767548765217391,0.04468412569565217
42,1,3,18099,source_cache_rank,3,0,0.022,0.008299999999999998,0.013221739130434782,0.0035,0.0012869565217391303,0.0017382485652173906,0.005615218634782609,0.02032668243478261
42,1,3,18101,context,5,0,0.0013,0.00035999999999999997,9.565217391304347e-05,0.0,0.0,0.0,4.8686799999999996e-05,0.00010597273913043479
42,1,3,18101,source_cache_rank,5,0,0.0013,0.0004,9.565217391304347e-05,0.0,0.0,0.0,5.624467826086956e-05,0.00010597273913043479
42,1,3,18103,context,3,0,0.0216,0.0106,0.009039130434782609,0.0088,0.0012391304347826087,0.0010498960869565217,0.006179496234782609,0.013053155260869562
42,1,3,18103,source_cache_rank,5,0,0.0077,0.00276,0.0036,0.0088,0.0012391304347826087,0.0010498960869565217,0.0010100328086956522,0.00498251447826087
42,1,3,18105,context,5,0,0.0007,0.00016,8.695652173913044e-05,0.0,0.0,2.2782608695652176e-06,2.737460869565217e-05,0.00010675043478260869
42,1,3,18105,source_cache_rank,5,0,0.0007,0.00024000000000000003,8.695652173913044e-05,0.0,0.0,2.2782608695652176e-06,4.6735634782608685e-05,0.00010675043478260869
42,1,3,18107,context,5,0,0.0058,0.00132,0.0012304347826086956,0.0006,5.652173913043478e-05,9.535860869565218e-05,0.00035216223478260866,0.0017384487391304347
42,1,3,18107,source_cache_rank,5,0,0.0005,0.00012000000000000002,5.217391304347826e-05,0.0006,5.652173913043478e-05,9.535860869565218e-05,1.0617921739130436e-05,5.308960869565218e-05
42,1,3,18109,context,5,0,0.0004,0.00012000000000000002,6.521739130434783e-05,0.0,0.0,0.0,2.4078713043478255e-05,7.887991304347825e-05
42,1,3,18109,source_cache_rank,5,0,0.0001,4e-05,1.739130434782609e-05,0.0,0.0,0.0,1.069455652173913e-05,2.1043478260869562e-05
42,1,3,18111,context,1,4,0.5087,0.23648000000000002,0.29458260869565217,0.0092,0.0041869565217391306,0.005458378130434782,0.20483854335652177,0.4307427500434784
42,1,3,18111,source_cache_rank,4,0,0.0111,0.00502,0.004391304347826088,0.0092,0.0041869565217391306,0.005458378130434782,0.0019677990695652174,0.006081628391304349
42,1,3,18113,context,4,0,0.0126,0.00518,0.009573913043478263,0.0032,0.0025130434782608697,0.003775786000000002,0.004717259791304347,0.014316082217391302
