cv_seed,horizon,target_day,fipsCode,excluded_fold,variant,feature,value,train_min,train_max,outside
42,1,3,18013,1,context,last_P_t,0.000187248,0.0,0.824241807,False
42,1,3,18013,1,context,last_D_t,0.094498018,0.0,0.904657711,False
42,1,3,18013,1,context,last_N_t,0.0,0.0,0.065400654,False
42,1,3,18013,1,context,last_R_t,0.000187248,0.0,0.058582059,False
42,1,3,18013,1,context,osi_max_72h,0.133,0.0001,0.6505,False
42,1,3,18013,1,context,osi_mean_72h,0.014481944444444443,4.166666666666667e-06,0.2653,False
42,1,3,18013,1,context,osi_trend_last6h,-0.02262857142857143,-0.0558542857142857,0.019237142857142855,False
42,1,3,18013,1,context,gust_max,19.4,12.3,47.2,False
42,1,3,18013,1,context,gust_mean,11.117391304347825,8.130434782608695,27.44782608695652,False
42,1,3,18013,1,context,gust_hours_gt30,0.0,0.0,14.0,False
42,1,3,18013,1,context,tp_sum,0.0,0.0,1.5,False
42,1,3,18013,1,context,soil_mean,0.43421739130434783,0.2402608695652174,0.4819565217391304,False
42,1,3,18013,1,context,prior24_gust_max,44.9,24.1,70.0,False
42,1,3,18013,1,context,prior24_tp_sum,0.8,0.0,7.6000000000000005,False
42,1,3,18013,1,context,customers_at_cutoff,10681.0,1233.0,696427.0,False
42,1,3,18013,1,context,pop_density,49.59943762132853,8.369152432816666,11939.655837338518,False
42,1,3,18013,1,context,pct_forest,83.22,0.97,88.72,False
42,1,3,18013,1,context,n_utilities,4.0,1.0,11.0,False
42,1,3,39119,1,context,last_P_t,0.320568513,0.0,0.824241807,False
42,1,3,39119,1,context,last_D_t,0.31014651,0.0,0.904657711,False
42,1,3,39119,1,context,last_N_t,0.005212858,0.0,0.065400654,False
42,1,3,39119,1,context,last_R_t,0.010834373,0.0,0.058582059,False
42,1,3,39119,1,context,osi_max_72h,0.2065,0.0001,0.6505,False
42,1,3,39119,1,context,osi_mean_72h,0.01916527777777778,4.166666666666667e-06,0.2653,False
42,1,3,39119,1,context,osi_trend_last6h,0.007077142857142868,-0.0558542857142857,0.019237142857142855,False
42,1,3,39119,1,context,gust_max,24.9,12.3,47.2,False
42,1,3,39119,1,context,gust_mean,12.856521739130434,8.130434782608695,27.44782608695652,False
42,1,3,39119,1,context,gust_hours_gt30,0.0,0.0,14.0,False
42,1,3,39119,1,context,tp_sum,0.0,0.0,1.5,False
42,1,3,39119,1,context,soil_mean,0.2871739130434782,0.2402608695652174,0.4819565217391304,False
42,1,3,39119,1,context,prior24_gust_max,59.7,24.1,70.0,False
42,1,3,39119,1,context,prior24_tp_sum,0.1,0.0,7.6000000000000005,False
