cv_seed,fipsCode,target_day,horizon,n,T_sse,T_bias
42,18013,4,1,24,0.09157276937287558,-0.04279520607454068
42,18013,4,6,24,0.09157276937287558,-0.04279520607454068
42,18013,4,24,24,0.08726926274303122,-0.04136065481175769
42,39115,7,1,24,0.14262989,-0.030245833333333333
42,39115,7,6,24,0.14262989,-0.030245833333333333
42,39115,7,24,24,0.14262989,-0.030245833333333333
42,39115,7,48,24,0.14262989,-0.030245833333333333
42,39117,3,1,23,0.016714778609488334,-0.0014977642752341885
42,39117,3,6,18,0.008764115363442612,0.008512585971198479
42,39119,4,1,24,0.04424228848116778,0.04179082835796045
42,39119,4,6,24,0.04424228848116778,0.04179082835796045
42,39119,4,24,24,0.06977356112989931,0.0527012030330267
42,42053,3,1,23,1.2605006965419794,-0.17178761786670568
42,42053,3,6,18,0.6503712801764279,-0.13108248963107674
42,42131,3,1,23,0.03541676082030162,-0.016318362456465046
42,42131,3,6,18,0.03541675082030162,-0.02084568536103867
42,54007,6,1,24,0.06742412950411872,-0.048083974701122446
42,54007,6,6,24,0.06742412950411872,-0.048083974701122446
42,54007,6,24,24,0.05790019457225813,-0.045318628051656124
42,54007,6,48,24,0.07245425957591098,-0.049299903874659844
42,54013,6,1,24,0.1743714851718876,-0.08021505128720129
42,54013,6,6,24,0.1743714851718876,-0.08021505128720129
42,54013,6,24,24,0.16326213478419907,-0.0780002978708979
42,54013,6,48,24,0.15124984314631168,-0.07487290419231464
42,54015,6,1,24,0.20841419761938595,-0.08204930762673217
42,54015,6,6,24,0.20841419761938595,-0.08204930762673217
42,54015,6,24,24,0.19575701980524285,-0.08024483293209704
42,54015,6,48,24,0.1926034711797324,-0.07706237537633619
42,54041,5,1,24,0.028929431448063075,-0.013050321930603763
42,54041,5,6,24,0.028929431448063075,-0.013050321930603763
42,54041,5,24,24,0.030102833374367872,-0.014832250220835714
42,54041,5,48,24,0.02920066052950873,-0.010338199568003071
20260917,18013,4,1,24,0.08319017374652576,-0.04043750431631789
20260917,18013,4,6,24,0.08319017374652576,-0.04043750431631789
20260917,18013,4,24,24,0.07568903622489774,-0.03905541034988506
20260917,39115,7,1,24,0.14262989,-0.030245833333333333
20260917,39115,7,6,24,0.14262989,-0.030245833333333333
20260917,39115,7,24,24,0.14262989,-0.030245833333333333
20260917,39115,7,48,24,0.14262989,-0.030245833333333333
20260917,39117,3,1,23,0.009710505968838263,-0.001360797570920833
20260917,39117,3,6,18,0.004943477893726315,0.005203362892122433
20260917,39119,4,1,24,0.002432914763534414,0.009474832789241253
20260917,39119,4,6,24,0.002432914763534414,0.009474832789241253
20260917,39119,4,24,24,0.000692842912779512,-0.0014787739061619032
20260917,42053,3,1,23,1.2903561162504746,-0.17378697966751758
20260917,42053,3,6,18,0.661640883382615,-0.1320776638130728
20260917,42131,3,1,23,0.0354177375170738,-0.016117142189817333
20260917,42131,3,6,18,0.03541090010141568,-0.0208841001970721
20260917,54007,6,1,24,0.08742271980736531,-0.055124080296303585
20260917,54007,6,6,24,0.08742271980736531,-0.055124080296303585
20260917,54007,6,24,24,0.09000329588394435,-0.056415264524048485
20260917,54007,6,48,24,0.08535032835152366,-0.05417559659516615
20260917,54013,6,1,24,0.19779553334056058,-0.08544252224811134
20260917,54013,6,6,24,0.19779553334056058,-0.08544252224811134
20260917,54013,6,24,24,0.17577452685988063,-0.08094922937353281
20260917,54013,6,48,24,0.17842374478700257,-0.08131282255106197
20260917,54015,6,1,24,0.21422482390845643,-0.08312984523032393
20260917,54015,6,6,24,0.21422482390845643,-0.08312984523032393
20260917,54015,6,24,24,0.199759857123101,-0.0811683423506121
20260917,54015,6,48,24,0.2026298946038739,-0.0798356417781665
20260917,54041,5,1,24,0.029063622114718607,-0.014446326471257343
20260917,54041,5,6,24,0.029063622114718607,-0.014446326471257343
20260917,54041,5,24,24,0.02897264970377333,-0.014245028252561178
20260917,54041,5,48,24,0.029887717912912927,-0.014884952946705174
20260918,18013,4,1,24,0.08847468005481345,-0.041944636747818766
20260918,18013,4,6,24,0.08847468005481345,-0.041944636747818766
20260918,18013,4,24,24,0.08526853851951668,-0.04144746852597035
20260918,39115,7,1,24,0.14262989,-0.030245833333333333
20260918,39115,7,6,24,0.14262989,-0.030245833333333333
20260918,39115,7,24,24,0.14263338205359488,-0.030111155341296773
20260918,39115,7,48,24,0.14262989,-0.030245833333333333
20260918,39117,3,1,23,0.014413313643035573,0.0008538852408447969
20260918,39117,3,6,18,0.007762202737633508,0.009917740241810767
20260918,39119,4,1,24,0.045792062510454194,0.042614190519958656
20260918,39119,4,6,24,0.045792062510454194,0.042614190519958656
20260918,39119,4,24,24,0.06844622234228522,0.05212957236064298
20260918,42053,3,1,23,1.305476772459201,-0.17604778782307456
20260918,42053,3,6,18,0.6812489197100601,-0.13534907246570238
20260918,42131,3,1,23,0.03611820866206335,-0.016531375875163012
20260918,42131,3,6,18,0.036118198662063346,-0.0211178691738194
20260918,54007,6,1,24,0.06503869176669055,-0.04697853734526314
20260918,54007,6,6,24,0.06503869176669055,-0.04697853734526314
20260918,54007,6,24,24,0.05790919788022871,-0.04493766892165949
20260918,54007,6,48,24,0.06738767155030467,-0.04763632866093312
20260918,54013,6,1,24,0.058991272716745896,-0.040750791621150875
20260918,54013,6,6,24,0.058991272716745896,-0.040750791621150875
20260918,54013,6,24,24,0.04674636119059935,-0.03603661678605522
20260918,54013,6,48,24,0.12256001494584187,-0.06278612465272267
20260918,54015,6,1,24,0.08111952627251,-0.03777735607845949
20260918,54015,6,6,24,0.08111952627251,-0.03777735607845949
20260918,54015,6,24,24,0.09043984767862707,-0.0428383260054049
20260918,54015,6,48,24,0.10880899429575899,-0.04543850552984033
20260918,54041,5,1,24,0.0286647560634141,-0.013597289307684729
