fipsCode,target_hour,P_t,N_t,D_t,R_t,osi,gust,outageCount,customersTracked
18013,0,0.0,0.0,0.0,0.0,0.0,22.9,0,10682
18013,1,0.0,0.0,0.0,0.0,0.0,30.4,0,10682
18013,2,0.0,0.0,0.0,0.0,0.0,27.4,0,10682
18013,3,0.0,0.0,0.0,0.0,0.0,29.5,0,10682
18013,4,0.0,0.0,0.0,0.0,0.0,29.6,0,10682
18013,5,0.0,0.005336079,0.0,0.0,0.0019,35.5,0,10682
18013,6,0.016008238,0.005336079,0.00266804,0.0,0.0089,41.7,171,10682
18013,7,0.016008238,0.005336079,0.005336079,0.005304874,0.0091,27.3,171,10682
18013,8,9.36e-05,0.013792673,0.005351682,0.005304874,0.0057,45.9,1,10682
18013,9,0.041471635,0.014572802,0.012263621,0.005304874,0.0242,31.1,443,10682
18013,10,0.04381202,0.014572802,0.019565624,0.002371591,0.0273,26.0,468,10682
18013,11,0.036697248,0.000780129,0.025681832,0.006053798,0.0208,27.1,392,10682
18013,12,0.025650627,0.0,0.027288897,0.010079261,0.0161,21.1,274,10682
18013,13,0.013574237,0.000686513,0.02688323,0.00770767,0.0116,23.7,145,10682
18013,14,0.015633776,0.000686513,0.029473257,0.00655308,0.0132,20.8,167,10682
18013,15,0.008050927,0.000686513,0.023903139,0.002777258,0.0092,17.4,86,10682
18013,16,0.007302003,0.0,0.017818136,0.005148849,0.0069,23.9,78,10682
18013,17,0.000187231,6.24e-05,0.011733134,0.002621232,0.0028,24.2,2,10682
18013,18,0.000374462,0.000124821,0.007520439,0.002371591,0.0018,29.8,4,10682
18013,19,0.000561693,0.002309181,0.005351682,0.0,0.0024,23.1,6,10682
18013,20,0.007114773,0.003463771,0.003931848,0.0,0.005,23.1,76,10682
18013,21,0.010765774,0.003401361,0.004384323,0.002277975,0.0064,23.2,115,10682
18013,22,0.003931848,0.001217001,0.00382263,0.002309181,0.0027,19.5,42,10682
18013,23,0.003838233,0.000249641,0.00443113,0.002309181,0.0025,18.6,41,10682
18013,24,0.004587156,0.000249641,0.005133246,0.001248206,0.0031,20.7,49,10682
18013,25,0.000936154,0.000249641,0.005195656,0.001217001,0.0016,20.8,10,10682
18013,26,0.000936154,0.0,0.004165887,0.001497847,0.0013,19.6,10,10682
18013,27,9.36e-05,0.0,0.002387193,0.000312051,0.0006,18.3,1,10682
18013,28,0.0,0.0,0.001731885,0.000312051,0.0004,16.7,0,10682
18013,29,0.0,0.0,0.00109218,3.12e-05,0.0003,11.5,0,10682
18013,30,0.0,0.0,0.000327654,0.0,0.0001,9.0,0,10682
18013,31,0.0,0.0,0.000171628,0.0,0.0,10.4,0,10682
18013,32,0.0,0.0,1.56e-05,0.0,0.0,7.1,0,10681
18013,33,0.0,0.0,0.0,0.0,0.0,4.3,0,10681
18013,34,0.0,0.0,0.0,0.0,0.0,12.8,0,10681
18013,35,0.0,3.12e-05,0.0,0.0,0.0,11.7,0,10681
18013,36,9.36e-05,0.001217115,1.56e-05,0.0,0.0005,18.0,1,10681
18013,37,0.003651344,0.001217115,0.000624161,0.000592953,0.002,21.9,39,10681
18013,38,0.001872484,0.001185906,0.000936242,0.00081141,0.0013,25.9,20,10681
18013,39,0.001217115,0.0,0.001139094,0.00081141,0.0007,18.7,13,10681
18013,40,0.001217115,0.0,0.001341947,0.000218456,0.0008,19.8,13,10681
18013,41,0.001217115,0.0,0.001544799,6.24e-05,0.0009,13.8,13,10681
18013,42,0.001029866,0.0,0.001700839,0.000405705,0.0008,11.8,11,10681
18013,43,0.0,3.12e-05,0.001092282,0.000405705,0.0002,9.5,0,10681
18013,44,9.36e-05,3.12e-05,0.000795806,0.000343289,0.0002,6.7,1,10681
18013,45,9.36e-05,6.24e-05,0.000608557,0.0,0.0002,5.6,1,10681
18013,46,0.000187248,3.12e-05,0.000436913,3.12e-05,0.0002,5.2,2,10681
18013,47,9.36e-05,3.12e-05,0.000249665,6.24e-05,0.0001,4.5,1,10681
18013,48,0.0,0.0,7.8e-05,6.24e-05,0.0,7.9,0,10681
18013,49,0.0,0.0,7.8e-05,3.12e-05,0.0,14.0,0,10681
18013,50,0.0,0.0,6.24e-05,0.0,0.0,12.2,0,10681
18013,51,0.0,0.0,4.68e-05,0.0,0.0,20.3,0,10681
18013,52,0.0,0.0,1.56e-05,0.0,0.0,21.9,0,10681
18013,53,0.0,0.0,0.0,0.0,0.0,31.5,0,10681
18013,54,0.0,0.0,0.0,0.0,0.0,26.0,0,10681
18013,55,0.0,0.0,0.0,0.0,0.0,33.8,0,10681
18013,56,0.0,0.00290235,0.0,0.0,0.001,42.0,0,10681
18013,57,0.00870705,0.003089598,0.001451175,0.0,0.0049,38.8,93,10681
18013,58,0.009268795,0.003401679,0.002995974,0.0,0.0056,36.9,99,10681
18013,59,0.010205037,0.000499329,0.004696814,0.0,0.0054,30.7,109,10681
18013,60,0.010205037,0.000499329,0.006397653,0.0,0.0059,43.3,109,10681
18013,61,0.010766782,0.000187248,0.008192117,0.000530537,0.0064,39.7,115,10681
18013,62,0.009175171,0.076803046,0.009721312,0.000530537,0.0329,44.9,98,10681
18013,63,0.239022563,0.076615798,0.048107231,0.01451175,0.133,39.9,2553,10681
18013,64,0.197078925,0.076615798,0.079408919,0.016821147,0.1238,32.5,2105,10681
