horizon,model,population,n,baseline_rmse,baseline_mae,baseline_sse,baseline_bias,candidate_rmse,candidate_mae,candidate_sse,candidate_bias,rmse_delta,rmse_change_pct,sse_reduction,changed_predictions,counties,replicates,seed,ci_low,ci_high,bootstrap_fraction_delta_lt0,bootstrap_fraction_delta_eq0
osi_target_t01h,C0_direct_osi,all_counties,34177,0.012759870025031421,0.003695229860606358,5.564503751994501,-0.00013604419005281795,0.012759870025031421,0.003695229860606358,5.564503751994501,-0.00013604419005281795,0.0,0.0,0.0,0,239,2000,20260910,0.0,0.0,0.0,1.0
osi_target_t01h,C1_component_osi,all_counties,34177,0.012558336438867274,0.003613873794336044,5.390116670898358,-0.00015412355979224293,0.012530149408855662,0.0036121356941583027,5.36594772510522,-0.0001516277802003405,-2.818703001161195e-05,-0.22444875679851206,0.02416894579313844,55,239,2000,20260910,-9.098457173437537e-05,1.0950677230749756e-07,0.891,0.0
osi_target_t01h,C1_component_osi,exclude_Morrow_diagnostic_only,34034,0.012116747121051225,0.0035415408293391387,4.996720796114154,-8.082141823775566e-05,0.012116673359531812,0.0035412035915547094,4.9966599605462445,-7.972331751221479e-05,-7.376151941324016e-08,-0.0006087567783308323,6.083556790947853e-05,53,238,2000,20260910,-3.6427798880325075e-07,1.619057543466963e-07,0.713,0.0
osi_target_t01h,C2_equal_blend,all_counties,34177,0.012635408060633228,0.003628944183232871,5.456478929220308,-0.00015585451137951193,0.012620771486413536,0.0036280031624805367,5.443844924522615,-0.00015463171443037734,-1.4636574219692791e-05,-0.11583776439555438,0.012634004697693157,50,239,2000,20260910,-4.714905583169584e-05,2.932816840967881e-08,0.938,0.0
osi_target_t01h,C3_aligned_component,all_counties,34177,0.012503692436569555,0.0035807924882082544,5.343311626088162,-0.000175898679650797,0.012475381943844085,0.0035790543880305126,5.319142680295023,-0.00017340290005889454,-2.831049272546994e-05,-0.22641705935336764,0.02416894579313844,55,239,2000,20260910,-9.199834993656514e-05,1.1032941002967573e-07,0.891,0.0
osi_target_t01h,v18_rule,all_counties,34177,0.012503692436569555,0.0035807924882082544,5.343311626088162,-0.000175898679650797,0.012475381943844085,0.0035790543880305126,5.319142680295023,-0.00017340290005889454,-2.831049272546994e-05,-0.22641705935336764,0.02416894579313844,55,239,2000,20260910,-9.199834993656514e-05,1.1032941002967573e-07,0.891,0.0
osi_target_t01h,v18_rule,exclude_Morrow_diagnostic_only,34034,0.012061664835432874,0.0035093787048679596,4.951394240271289,-0.0001006400772525506,0.012061590737062951,0.00350904146708353,4.95133340470338,-9.954197652700971e-05,-7.409836992253171e-08,-0.0006143295385285796,6.083556790859035e-05,53,238,2000,20260910,-3.663097205811646e-07,1.622345650147124e-07,0.713,0.0
osi_target_t06h,C0_direct_osi,all_counties,32982,0.010952654068962227,0.0034380841791316467,3.9565415367329306,-0.00015486075676127798,0.010952654068962227,0.0034380841791316467,3.9565415367329306,-0.00015486075676127798,0.0,0.0,0.0,0,239,2000,20260910,0.0,0.0,0.0,1.0
osi_target_t06h,C1_component_osi,all_counties,32982,0.010966347987999515,0.003422562010786772,3.966441316211243,-0.00014707171468243395,0.010966347987999515,0.003422562010786772,3.966441316211243,-0.00014707171468243395,0.0,0.0,0.0,0,239,2000,20260910,0.0,0.0,0.0,1.0
osi_target_t06h,C2_equal_blend,all_counties,32982,0.010939154506346983,0.003405799143069776,3.946794371529492,-0.00016643418141634906,0.010939154506346983,0.003405799143069776,3.946794371529492,-0.00016643418141634906,0.0,0.0,0.0,0,239,2000,20260910,0.0,0.0,0.0,1.0
osi_target_t06h,C3_aligned_component,all_counties,32982,0.010870630226386284,0.003348082840773493,3.897502779293824,-0.0001761207036780813,0.010870630226386284,0.003348082840773493,3.897502779293824,-0.0001761207036780813,0.0,0.0,0.0,0,239,2000,20260910,0.0,0.0,0.0,1.0
osi_target_t06h,v18_rule,all_counties,32982,0.010870630226386284,0.003348082840773493,3.897502779293824,-0.0001761207036780813,0.010870630226386284,0.003348082840773493,3.897502779293824,-0.0001761207036780813,0.0,0.0,0.0,0,239,2000,20260910,0.0,0.0,0.0,1.0
osi_target_t24h,C0_direct_osi,all_counties,28680,0.00865942183518786,0.0029175849835404396,2.150586621385807,-0.00012945774455302454,0.00865942183518786,0.0029175849835404396,2.150586621385807,-0.00012945774455302454,0.0,0.0,0.0,0,239,2000,20260910,0.0,0.0,0.0,1.0
osi_target_t24h,C1_component_osi,all_counties,28680,0.008710411518259539,0.002956278833563109,2.175987989683848,-9.541737739903497e-05,0.008710411518259539,0.002956278833563109,2.175987989683848,-9.541737739903497e-05,0.0,0.0,0.0,0,239,2000,20260910,0.0,0.0,0.0,1.0
osi_target_t24h,C2_equal_blend,all_counties,28680,0.00866343794071386,0.0029172561365550147,2.1525819014005796,-0.00012246009912659733,0.00866343794071386,0.0029172561365550147,2.1525819014005796,-0.00012246009912659733,0.0,0.0,0.0,0,239,2000,20260910,0.0,0.0,0.0,1.0
osi_target_t24h,C3_aligned_component,all_counties,28680,0.008410169280340137,0.0027594718016332926,2.028563569251658,-0.0001881983710133386,0.008410169280340137,0.0027594718016332926,2.028563569251658,-0.0001881983710133386,0.0,0.0,0.0,0,239,2000,20260910,0.0,0.0,0.0,1.0
osi_target_t24h,v18_rule,all_counties,28680,0.008710411518259539,0.002956278833563109,2.175987989683848,-9.541737739903497e-05,0.008710411518259539,0.002956278833563109,2.175987989683848,-9.541737739903497e-05,0.0,0.0,0.0,0,239,2000,20260910,0.0,0.0,0.0,1.0
