horizon,model,fipsCode,countyName,fold,n,baseline_rmse,baseline_mae,baseline_sse,baseline_bias,candidate_rmse,candidate_mae,candidate_sse,candidate_bias,rmse_delta,rmse_change_pct,sse_reduction,changed_predictions,fraction_of_total_sse_reduction
osi_target_t01h,v18_rule,39117,Morrow County,4,143,0.052351514015340675,0.020577272923198345,0.3919173858168728,-0.018087446050433435,0.050715804600786875,0.0202421295734124,0.36780927559164295,-0.01775230270064749,-0.0016357094145538,-3.124473943722972,0.02410811022522985,2,0.9974829035395565
osi_target_t01h,v18_rule,39161,Van Wert County,4,143,0.0067207704374533245,0.003612840039746597,0.006459132004031356,-0.0011396040306410986,0.006679063005510063,0.0035983915573000553,0.0063792132163149546,-0.0011251555481945565,-4.170743194326174e-05,-0.6205751607112786,7.991878771640166e-05,1,0.0033066724713781553
osi_target_t01h,v18_rule,54023,Grant County,4,143,0.0009681626231350128,0.0004812802323082451,0.00013403945767150065,0.0003004809865889005,0.0009225641796241139,0.00045895652918192387,0.00012171082717014854,0.0003274879977133923,-4.55984435108989e-05,-4.70979176651608,1.2328630501352118e-05,1,0.0005101021205836885
osi_target_t01h,v18_rule,42083,McKean County,2,143,0.0034551495047826825,0.0020275595868066176,0.0017071423083572024,-2.336561373596758e-05,0.003444853080695652,0.002005639460932492,0.0016969828229037004,-1.4454878618416893e-06,-1.02964240870306e-05,-0.2980022737881005,1.0159485453502086e-05,3,0.0004203528586003273
osi_target_t01h,v18_rule,42061,Huntingdon County,0,143,0.0017147384765547234,0.0009590120095048813,0.0004204669101457416,0.0007818280717645928,0.001696628443579137,0.0009389452094470497,0.00041163237480533227,0.0008040081383348905,-1.8110032975586455e-05,-1.0561396518012134,8.834535340409308e-06,3,0.0003655325067143575
osi_target_t01h,v18_rule,39113,Montgomery County,2,143,0.0012700320331042359,0.0007223921096378117,0.00023065633521085566,-0.0006551561674113411,0.0012539814843863114,0.0007130827733053437,0.00022486314753526865,-0.0006458468310788732,-1.605054871792449e-05,-1.2637908572032952,5.793187675587016e-06,1,0.00023969550534685334
osi_target_t01h,v18_rule,18131,Pulaski County,0,143,0.017731889052878022,0.004058709963187861,0.04496204418185128,-0.003606076367357613,0.017730834207560324,0.004044749389225856,0.04495669488252677,-0.003587338439993127,-1.0548453176981165e-06,-0.005948860352966712,5.349299324504397e-06,1,0.00022132944358802233
osi_target_t01h,v18_rule,39131,Pike County,2,143,0.005626915602886404,0.0021262429340764464,0.004527691625886924,-0.0015517437715729034,0.005624845073451543,0.0021173298052076426,0.00452436014034749,-0.0015428306427040996,-2.0705294348603853e-06,-0.03679688093772837,3.331485539433826e-06,3,0.00013784157438838886
osi_target_t01h,v18_rule,39141,Ross County,0,143,0.0026387069801827655,0.0016281616751286892,0.0009956767573989307,0.0014967961633053127,0.0026347320003693446,0.0016187523753962633,0.0009926792180691454,0.0015062054630377384,-3.974979813420841e-06,-0.15064119825632938,2.9975393297852846e-06,1,0.00012402441361907847
osi_target_t01h,v18_rule,42013,Blair County,0,143,0.0014831041318546926,0.001005695469436798,0.000314542494827198,0.0006747785437154199,0.0014762763982057107,0.0010035806598140537,0.0003116530565575894,0.0006768933533381642,-6.8277336489818916e-06,-0.46036778553394386,2.8894382696085987e-06,1,0.00011955168811826759
osi_target_t01h,v18_rule,18141,St. Joseph County,4,143,0.0013954921216484417,0.0008725218249928428,0.0002784779514063503,0.0004185580754411072,0.001389670481439786,0.0008703739994686862,0.0002761593187188673,0.0004207059009652638,-5.821640208655658e-06,-0.41717470979190097,2.3186326874829848e-06,1,9.593437410667895e-05
osi_target_t01h,v18_rule,39027,Clinton County,4,143,0.0014373757302526327,0.0007191022013759277,0.0002954450055584584,0.00026318170545498206,0.0014323350526758204,0.0007137193359112129,0.0002933764695467098,0.00028848760347169485,-5.040677576812359e-06,-0.3506861477288514,2.068536011748585e-06,3,8.558652203754144e-05
osi_target_t01h,v18_rule,54037,Jefferson County,1,143,0.0031367885569917016,0.0011634557089171577,0.001407040270532194,9.953892766913391e-05,0.0031351038869812777,0.001156103350026563,0.0014055293226496117,0.00011875999535196554,-1.6846700104239387e-06,-0.05370683996754888,1.5109478825822437e-06,2,6.25160855386255e-05
osi_target_t01h,v18_rule,42041,Cumberland County,3,143,0.0024433191691532255,0.0012374186977894158,0.0008536826244162799,0.00108092400000035,0.00244247150507148,0.001233352615033846,0.0008530903885913182,0.0010880467284335913,-8.476640817453238e-07,-0.03469313761570447,5.922358249616606e-07,1,2.450399905856866e-05
