fipsCode,countyName,sse_reduction_split42,sse_reduction_split20260917,sse_reduction_split20260918,confirmation_improved_splits,confirmation_worsened_splits
18009,Blackford County,0.0,0.0,0.0,0,0
18013,Brown County,-3.488820568506301e-05,-5.9258151467345144e-05,-3.9971050636494754e-05,0,2
18023,Clinton County,0.0,0.0,0.0,0,0
18025,Crawford County,0.0,0.0,0.0,0,0
18027,Daviess County,0.0,0.0,0.0,0,0
18029,Dearborn County,0.0,0.0,0.0,0,0
18033,DeKalb County,0.0,0.0,0.0,0,0
18035,Delaware County,0.0,0.0,0.0,0,0
18037,Dubois County,0.0,0.0,0.0,0,0
18039,Elkhart County,0.0,0.0,0.0,0,0
18041,Fayette County,0.0,0.0,0.0,0,0
18043,Floyd County,0.0,0.0,0.0,0,0
18045,Fountain County,0.0,0.0,0.0,0,0
18047,Franklin County,0.0,-4.4058609784862826e-07,-8.235874390104692e-07,0,2
18051,Gibson County,0.0,0.0,0.0,0,0
18059,Hancock County,0.0,0.0,0.0,0,0
18061,Harrison County,0.0,0.0,0.0,0,0
18065,Henry County,0.0,0.0,0.0,0,0
18067,Howard County,0.0,0.0,0.0,0,0
18069,Huntington County,0.0,0.0,0.0,0,0
18071,Jackson County,0.0,0.0,0.0,0,0
18073,Jasper County,9.854237011318887e-06,0.0,6.616942809567917e-06,1,0
18077,Jefferson County,0.0,0.0,0.0,0,0
18083,Knox County,0.0,0.0,0.0,0,0
18085,Kosciusko County,0.0,0.0,0.0,0,0
18087,LaGrange County,0.0,0.0,0.0,0,0
18089,Lake County,0.0,0.0,0.0,0,0
18091,LaPorte County,0.0,-3.7480632272520256e-08,0.0,0,1
18093,Lawrence County,0.0,0.0,0.0,0,0
18095,Madison County,0.0,0.0,0.0,0,0
18097,Marion County,0.0,0.0,0.0,0,0
18099,Marshall County,0.0,0.0,0.0,0,0
18101,Martin County,0.0,0.0,0.0,0,0
18103,Miami County,3.2825487803148784e-06,0.0,3.4027692199828548e-06,1,0
18105,Monroe County,0.0,0.0,0.0,0,0
18107,Montgomery County,0.0,0.0,0.0,0,0
18109,Morgan County,0.0,0.0,0.0,0,0
18111,Newton County,1.0565253468034028e-05,0.0,0.0,0,0
18113,Noble County,0.0,0.0,0.0,0,0
18117,Orange County,0.0,0.0,0.0,0,0
18121,Parke County,-1.5353256183070485e-05,0.0,0.0,0,0
18123,Perry County,0.0,0.0,0.0,0,0
18125,Pike County,0.0,0.0,0.0,0,0
18127,Porter County,8.975671367441717e-06,0.0,3.4356498328857272e-06,1,0
18129,Posey County,0.0,0.0,0.0,0,0
18131,Pulaski County,-4.947482880435228e-06,5.349299324504397e-06,-9.846558471568456e-06,1,1
18133,Putnam County,0.0,0.0,0.0,0,0
18135,Randolph County,0.0,0.0,0.0,0,0
18137,Ripley County,0.0,0.0,0.0,0,0
18139,Rush County,0.0,0.0,0.0,0,0
18141,St. Joseph County,0.0,2.3186326874829848e-06,1.471729902828621e-06,2,0
18143,Scott County,0.0,0.0,0.0,0,0
18145,Shelby County,0.0,0.0,0.0,0,0
18147,Spencer County,0.0,0.0,0.0,0,0
18149,Starke County,0.0,0.0,0.0,0,0
18151,Steuben County,0.0,0.0,0.0,0,0
18153,Sullivan County,0.0,0.0,0.0,0,0
18155,Switzerland County,0.0,0.0,0.0,0,0
18157,Tippecanoe County,0.0,0.0,0.0,0,0
18159,Tipton County,0.0,0.0,0.0,0,0
18161,Union County,0.0,-5.812379652409775e-07,-4.001413688090299e-07,0,2
18163,Vanderburgh County,0.0,0.0,0.0,0,0
